Date,Preference_Driven,VOO
2021-02-02,1014315.4274557529,1014373.8947630352
2021-02-03,1015164.08305152,1015385.8782878406
2021-02-04,1025946.217872467,1026751.787807439
2021-02-05,1030901.5704702933,1030858.6012939955
2021-02-08,1040012.9540715255,1038464.8859599482
2021-02-09,1040420.8912748042,1037626.1162709044
2021-02-10,1040033.7225979452,1037221.4750532595
2021-02-11,1041294.2611594565,1038898.7290708264
2021-02-12,1046568.0687956611,1044191.4057591644
2021-02-16,1046674.7738095328,1043207.6729258588
2021-02-17,1045288.4704349153,1043439.385668262
2021-02-18,1041216.7255149276,1038985.5737891411
2021-02-19,1043389.3028960499,1037076.7021493446
2021-02-22,1035730.5709070055,1028920.8131214851
2021-02-23,1036042.4484050783,1030222.4375742943
2021-02-24,1048360.433210985,1041617.3587467798
2021-02-25,1021451.8120064182,1016629.5745550488
2021-02-26,1016546.8448097467,1011047.7325395741
2021-03-01,1042936.4966324546,1035717.4348714546
2021-03-02,1033811.8281174011,1027706.3187475104
2021-03-03,1020628.8614325796,1014142.1820206315
2021-03-04,1006398.8362670877,1001648.5277251996
2021-03-05,1026397.807045191,1020013.4747237634
2021-03-08,1022841.0878749967,1015009.7731222156
2021-03-09,1036362.0938808902,1029210.0735687955
2021-03-10,1044835.3445455438,1035572.7570877131
2021-03-11,1056684.544133283,1046505.0137367797
2021-03-12,1058592.3267032602,1047979.7569051776
2021-03-15,1064468.1444941927,1054053.3702171317
2021-03-16,1061244.786642522,1052867.0314144837
2021-03-17,1064734.6118405103,1056309.1451293193
2021-03-18,1049346.4872375978,1040778.3988173902
2021-03-19,1048639.2331816254,1038927.6456035413
2021-03-22,1057235.566148804,1047141.0823363079
2021-03-23,1048330.8776103233,1039448.0480722141
2021-03-24,1041876.9134270989,1033692.9922209774
2021-03-25,1049151.3480867564,1039505.8811376414
2021-03-26,1068706.7773790546,1056464.191011962
2021-03-29,1066492.8500154475,1055825.9346484465
2021-03-30,1062369.8285892494,1053126.4241273468
2021-03-31,1067620.5584607131,1057305.624065861
2021-04-01,1079849.1593712207,1068508.5927284248
2021-04-05,1095458.7927157083,1083919.6778622165
2021-04-06,1094508.5611157378,1083310.4331515876
2021-04-07,1094672.6128395433,1084674.361317974
2021-04-08,1101136.5132845228,1089956.6699074113
2021-04-09,1108251.6654444973,1097793.0502728194
2021-04-12,1109485.0386891577,1098286.4386122464
2021-04-13,1112396.8078966208,1101275.5900613498
2021-04-14,1108178.8127464824,1097734.836726698
2021-04-15,1119669.6376364836,1109518.0384470033
2021-04-16,1124001.5564864627,1113407.2169768203
2021-04-19,1116705.5591176467,1107921.6365768267
2021-04-20,1108917.8436825904,1099795.4250430681
2021-04-21,1120076.9114232422,1110127.5685181525
2021-04-22,1108713.5621187193,1099940.3881873302
2021-04-23,1122135.1149326928,1111665.7568422083
2021-04-26,1124340.9813888054,1114074.67523357
2021-04-27,1122746.8658185187,1113726.5353989252
