Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2020-07-01,124.70137083535359,91.02353585112213,22.698412698412696,72.22222222222223,47.22222222222222
2020-07-02,249.29861468766143,182.22830382861628,45.571159088499336,144.9272087328403,94.76764842454782
2020-07-06,375.0451474571558,273.9444209390682,68.55248027976178,218.28875037576523,142.55298556184107
2020-07-07,502.70693875335735,366.79177490457107,91.94255285763018,293.00205187194365,191.07973799767623
2020-07-08,628.5273591553282,458.7793600069334,115.14679534974418,366.83669954063475,239.10334496376726
2020-07-09,755.1539373089618,551.2435408378833,138.6855758815313,441.4051932498516,287.48348086386994
2020-07-10,880.0270088184964,642.8354403873255,162.31302511628803,515.500539588,335.6170419433453
2020-07-13,1006.5323436699978,735.368815131071,185.9418821105058,590.194524558919,384.23377893802586
2020-07-14,1132.7702352856822,827.4889542815115,209.01771743197537,664.2898708970674,432.410666325509
2020-07-15,1260.6000965407375,920.7997746945131,232.37938368559918,739.2542210691339,481.23233161824896
2020-07-16,1390.1535791297276,1015.0428508598947,255.9327246259145,815.010308974081,530.4871715813067
2020-07-17,1519.3022888715805,1109.1472347295182,279.26227774327515,890.3415490901684,579.5987159002418
2020-07-20,1648.810274351682,1203.5435508482985,302.7548338945378,965.9431378692824,628.8402225663702
2020-07-21,1778.367011690326,1298.1468573668465,326.80157865327993,1042.1530152747362,678.4916024054476
2020-07-22,1909.0224434996123,1393.1450649289914,350.67578360227924,1118.6525744065968,728.2462724722495
2020-07-23,2040.1608316425627,1488.5705930969202,374.6932189479163,1195.4610904448214,778.284179782027
2020-07-24,2170.700900329715,1583.4127819031412,398.21314796669037,1271.458535686785,827.7239619117752
2020-07-27,2300.6184780481726,1677.656543105471,421.52685803246663,1347.0504827413902,876.8438775298598
2020-07-28,2431.927341108086,1772.6887739319861,445.2047875430254,1423.4534840541353,926.3219742393461
2020-07-29,2562.546720456637,1867.3446497249236,468.5945144544269,1499.3350962970264,975.4935101060481
2020-07-30,2694.678564961718,1963.0187661921486,492.3738806605936,1576.1822288476487,1025.2598557867796
2020-07-31,2825.840592545592,2058.172300376127,516.2311937184634,1652.5272888536763,1074.8445746668203
2020-08-03,2959.864158656827,2155.033449235757,540.4705410437031,1728.5730254087882,1124.8441563456397
2020-08-04,3095.279612742254,2252.6063376723127,565.1245657277109,1805.507074054017,1175.158642538343
2020-08-05,3231.5075497063126,2350.6938487137345,589.8211106233855,1882.8273291685264,1225.6847209147654
2020-08-06,3368.7152635012985,2449.3853578054286,614.6692582024261,1960.6689568147688,1276.5256872282416
2020-08-07,3506.0385955221655,2548.160681301958,639.704459444412,2038.8485244243245,1327.7082135982403
2020-08-10,3643.633702609571,2647.195440321989,664.4446152842022,2116.7577599089745,1378.9173844596576
2020-08-11,3782.1211277654747,2746.811516091607,689.0665964593258,2194.8794110189942,1430.2898370965663
2020-08-12,3920.935390657696,2846.230953830529,713.3250788989758,2272.7596799848156,1481.2474269346965
2020-08-13,4061.5914392856284,2946.643570705563,738.0358503667095,2351.8082514282896,1532.9031223401907
2020-08-14,4201.600126715285,3046.7301684272247,762.8592511544256,2430.6444155154545,1584.4705240234996
2020-08-17,4341.395786202271,3146.8278850103115,787.6234259739581,2509.335722201295,1636.0379257068084
2020-08-18,4481.662451885826,3247.240929085129,812.6264112894,2588.509801444592,1687.7719300572187
2020-08-19,4621.685168539233,3347.4505546099194,837.7399796278272,2667.751471988176,1739.6142197867935
2020-08-20,4761.0782273669,3447.321416514939,862.7416527704379,2746.597269530789,1791.2365736615495
2020-08-21,4899.975691769291,3546.9701267267724,887.9897499444065,2825.4623835986617,1843.0222203630171
2020-08-24,5038.542856952013,3646.6519775092606,913.3839865816983,2904.4047224222695,1894.9928037055652
2020-08-25,5179.082968035005,3747.3501855722993,938.9097927357806,2984.1678068428887,1947.491558005546
2020-08-26,5319.619373188789,3848.17837077522,964.5860179929215,3064.2108733819828,2000.1735691611675
2020-08-27,5460.522667875689,3949.2720706909845,990.7238627781674,3144.881528534555,2053.3937194746613
2020-08-28,5601.04575495247,4050.479622887952,1016.8489372773882,3225.368742849647,2106.72050853554
2020-08-31,5742.645940652721,4152.394417156111,1043.1623231523545,3306.4449127276985,2160.3938417531604
2020-09-01,5882.228122862027,4253.772356913261,1067.284373133532,3387.0576513807346,2213.8789119124804
2020-09-02,6022.307764360672,4355.610771298836,1091.7582546477904,3468.27867039105,2267.8638066499348
2020-09-03,6164.210951486312,4458.676858403233,1116.5050450645788,3550.41694320313,2322.635111728159
2020-09-04,6303.003627437111,4559.414045775171,1139.9788780059712,3630.0931115291423,2375.51038109352
2020-09-08,6441.923213708832,4659.953254700801,1163.082963896589,3709.469948135179,2427.9624771426634
2020-09-09,6578.3464841051555,4758.388143415433,1185.2457066225147,3787.0122854067477,2478.973389117291
2020-09-10,6716.932034253739,4858.417526268664,1208.1064423533433,3865.973949024675,2530.9906251850666
2020-09-11,6853.6680097528715,4957.01449425624,1230.49860256584,3943.825243202608,2582.098169027369
2020-09-14,6991.42751539601,5056.000264246458,1252.777770565383,4021.9855025559646,2633.2440550774595
2020-09-15,7130.734640791139,5156.422663133657,1275.470979812039,4101.130631818553,2685.0546996385656
2020-09-16,7270.5999542373875,5257.228755473276,1298.4489601509451,4180.7392253824,2737.131910677278
2020-09-17,7410.680328895366,5358.003364576086,1321.0976310255817,4260.212628076612,2788.9991927408814
2020-09-18,7550.551089542279,5458.176031007645,1343.464619147983,4339.261199520086,2840.413314002798
2020-09-21,7689.301411872607,5557.425946621327,1365.521169657742,4417.614582780734,2891.2292990334654
2020-09-22,7825.0607368662895,5655.106698310227,1387.6349888382235,4494.82584340918,2941.493800558111
2020-09-23,7960.850116916101,5753.1373100208275,1410.0678510600897,4572.3961383742,2992.266459280771
2020-09-24,8094.653735220137,5849.478294242486,1431.8396544380005,4648.472073538151,3041.862853774741
2020-09-25,8228.499323522645,5945.9426713175735,1453.7239639978077,4724.586815402889,3091.595885552784
2020-09-28,8363.30969249296,6043.499382468384,1476.1084898575361,4801.536079119384,3142.125301397646
2020-09-29,8500.373917413417,6142.4817480792435,1498.8927613538096,4879.698298240072,3193.5010859773847
2020-09-30,8636.84478430977,6241.0536862352255,1521.6461197688088,4957.579112963885,3244.5838861381085
2020-10-01,8775.219744824471,6337.717975768462,1544.6045726154105,5035.828669901263,3296.059899757632
2020-10-02,8914.107541924954,6434.7794905202845,1567.8159735666864,5114.708941156979,3347.862184070809
2020-10-05,9052.872305211738,6531.664301322048,1590.5272595837694,5193.084626073716,3399.1825909871304
2020-10-06,9193.936415182856,6630.020913244093,1613.67510336034,5272.750904603406,3451.399832034456
2020-10-07,9333.95449148777,6727.643223617229,1636.4605602881713,5351.602068766264,3502.8875654727885
2020-10-08,9475.779114318573,6826.545706687215,1659.6446428104475,5431.569142639633,3555.258738963486
2020-10-09,9618.957895237836,6926.287358464251,1682.9543516690233,5512.1960627313765,3608.0933895697394
2020-10-12,9762.7846534095,7026.474030183756,1706.5991706332575,5593.434314463712,3661.398219856479
2020-10-13,9907.444291447078,7127.336856334355,1730.775329618342,5675.565285695397,3715.5630450323542
2020-10-14,10050.87923804769,7227.565505187973,1754.8736946540587,5757.162546957125,3769.3815415502772
2020-10-15,10194.067387494486,7327.502182964073,1778.8075687015873,5838.400798689461,3822.8637162899577
2020-10-16,10336.590889760046,7427.313334212084,1802.5761319860446,5919.250892454246,3876.2823244122014
2020-10-19,10479.510102710685,7527.165548002852,1826.2985876201647,6000.139809457941,3929.6557551470873
