Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2020-07-01,999542.9966534539,1001988.6693691096,1007630.2077168351,1006684.4286085577,1006844.3195786598
2020-07-02,1008507.8162147988,1007763.6265341813,1012445.0984341152,1015775.1919789605,1011924.7864367985
2020-07-06,1023842.1799177056,1021485.6737077978,1031207.0006528243,1034491.8668701622,1027625.3457000386
2020-07-07,1009410.7561891155,1011075.8298541507,1022657.0479874439,1022325.890797261,1016970.5004583981
2020-07-08,1015924.2728523635,1017497.944081218,1037277.650461608,1032486.8359737719,1024520.524943351
2020-07-09,1002457.4253282362,1008450.6197994549,1041273.9187790452,1025935.5646820543,1019298.9405065371
2020-07-10,1015322.3519087313,1018772.8050002807,1042033.9381619501,1034224.4072896478,1029530.9010638228
2020-07-13,1012721.8453016767,1011247.0295815484,1018497.5691397703,1025935.5646820542,1020216.4387937605
2020-07-14,1025539.0155474684,1025492.3451178672,1030997.399059374,1037967.9254593814,1033870.5591403762
2020-07-15,1038965.0960356725,1037879.1727599114,1038708.1821404726,1048930.4479146514,1043043.669805928
2020-07-16,1035743.6843635644,1034958.2933102953,1028815.5369917535,1043047.9400689033,1040009.1738127428
2020-07-17,1038832.0211363708,1039623.633675816,1035186.96718085,1046791.22924927,1042761.3176356602
2020-07-20,1039566.0407564956,1043085.9093775102,1059846.2194683014,1055213.6871524374,1051440.9848275199
2020-07-21,1047990.1243347817,1047739.1822206362,1052081.6608639346,1059224.6649026854,1053628.307296984
2020-07-22,1052053.229897642,1053311.1699954646,1058476.3183677113,1063502.5297600308,1059626.272442346
2020-07-23,1046933.1323543822,1046129.2986103198,1035742.3418595692,1052272.3187348796,1046960.0921593738
2020-07-24,1041736.2431549252,1038701.8154246724,1027103.2733138674,1046657.7284483797,1040186.4483829691
2020-07-27,1052513.4164612065,1047564.3824912527,1042859.4352875876,1057887.7104841638,1047771.459730297
2020-07-28,1046978.6546584765,1041858.075205056,1030453.7048070336,1050668.4772092607,1041279.5830595718
2020-07-29,1059075.182018932,1055040.9575013558,1046909.6653489833,1064037.2199316924,1053875.5555919597
2020-07-30,1051489.774499095,1049996.2717943941,1050176.7687592763,1057085.4462373038,1050029.3409890984
2020-07-31,1041694.4644883971,1049548.9255823444,1067887.329713358,1052940.9676861651,1058814.670845588
2020-08-03,1052142.6869549179,1058448.2299882972,1085978.9877592572,1065240.6735493233,1065483.237021951
2020-08-04,1058520.5555049793,1063543.3753518302,1088175.357165697,1070588.1477393592,1069964.0126771796
2020-08-05,1065962.6519607909,1070710.6447322106,1094453.5468775397,1077807.152024895,1076632.2278147899
2020-08-06,1067150.8784961866,1072197.8760033415,1104238.0507797822,1082486.3207476954,1083865.2643058533
2020-08-07,1069335.2752939134,1074302.5345143783,1091344.2421085134,1078743.2605566953,1084429.5005947184
2020-08-10,1076062.694184654,1079344.8985353499,1086714.6439207154,1081684.399984886,1087887.232311011
2020-08-11,1078020.2135782621,1075359.3934877536,1070256.487542157,1078342.185680607,1079101.9024545217
2020-08-12,1092512.795340215,1087519.0668140147,1090875.0186142968,1094518.6815250227,1093885.3144692911
2020-08-13,1087396.9730200411,1084619.327966824,1095280.2179628904,1091577.6565915155,1092015.565058305
2020-08-14,1085791.3923221524,1084184.1621356183,1092991.5283383767,1089571.9387270245,1092015.565058305
2020-08-17,1089496.007924127,1088554.7177892558,1103246.6961256834,1096256.4818302654,1095543.6215380998
2020-08-18,1087779.8805504947,1087235.4512494048,1108636.3966618571,1097192.3613726986,1097836.7236851112
2020-08-19,1082636.2148054831,1082634.2270248474,1103953.8017769442,1091711.042897722,1093179.258524245
2020-08-20,1078977.9023881808,1081438.6100671096,1115422.040297698,1091978.5024782363,1096637.2242663729
2020-08-21,1076536.7906139256,1081724.9545467775,1122715.3253321776,1093047.7683268767,1100553.5296069009
2020-08-24,1091967.0584966242,1092950.1031128755,1129104.86451993,1104411.9381316516,1111738.3263525376
2020-08-25,1092101.1847587111,1095073.292705215,1135913.3463518082,1108288.6136182256,1115619.0597661028
2020-08-26,1094957.9832931284,1099294.9517595228,1157190.5855002746,1116978.30211254,1127014.947815164
2020-08-27,1092513.4821530064,1101138.0111782036,1156498.7163129721,1114438.352055121,1129273.1801127186
2020-08-28,1100910.905459532,1108974.5162041797,1164898.2156232973,1122593.121388407,1136611.762255494
2020-08-31,1091914.4199273922,1103234.8129610736,1168991.6529339915,1116176.3813497308,1132625.015138546
2020-09-01,1095930.547810932,1109963.8036291243,1185759.5730814987,1124598.7247582146,1143209.535616684
2020-09-02,1110864.529206039,1125505.5589821774,1199116.9291883458,1137299.1620134106,1159862.9310682751
2020-09-03,1085761.8078332222,1094213.1144318688,1137893.2989816912,1103208.4845140202,1119711.586560598
2020-09-04,1086294.944706095,1088977.4369432712,1119852.1559679175,1099063.8914681983,1110750.2692759763
2020-09-08,1066769.484978239,1064536.1149141444,1074565.72732613,1073663.1314524896,1080231.077109757
2020-09-09,1083469.5290240576,1082678.216383808,1108273.0362149507,1093315.342402074,1101541.4696705437
2020-09-10,1068867.0196830574,1066474.4900300363,1085714.2628834732,1077940.9963098348,1082277.3990134634
2020-09-11,1076814.9303553826,1069573.0027263092,1080414.7861590448,1082218.9756618636,1083089.3516489747
2020-09-14,1088821.620798785,1085078.34858306,1100304.1614706453,1095855.6359435432,1097166.5907057803
2020-09-15,1092923.6360764029,1089458.1621008748,1114261.270190259,1102272.8339609534,1102811.5278786195
2020-09-16,1094806.1785187148,1089038.3506785948,1098410.6940851114,1100400.960381403,1098365.973111601
2020-09-17,1093166.7251227072,1082462.4908995824,1084482.7706001783,1094518.6815250218,1088769.6267229414
2020-09-18,1084379.4000737127,1072770.3703135005,1069662.6475424373,1084892.99899359,1076103.2124141336
2020-09-21,1061014.8305869333,1055415.503564696,1072053.6032924475,1069078.9933169438,1064424.7381689693
2020-09-22,1061572.9917119555,1061245.400482548,1087471.07821389,1074050.2379771979,1075185.71412691
2020-09-23,1045441.0635200002,1040357.8633054254,1055557.2386229574,1053359.1022700847,1050276.589284073
2020-09-24,1045882.2928680482,1041820.0836874575,1060945.991303724,1053896.4258194657,1053170.084711501
2020-09-25,1053545.350572336,1055138.8063840573,1085112.0624927059,1065451.3437668507,1070034.688479434
2020-09-28,1071187.7718008242,1072047.661915548,1104410.1241982628,1082246.1109018386,1087957.7911003476
2020-09-29,1066313.1499418854,1067069.250815672,1103022.4019094058,1078349.7423297134,1081753.415168267
2020-09-30,1069345.1458147198,1074628.4756420136,1112601.9456430045,1083455.4037483253,1090080.2884134387
2020-10-01,1073403.5348966133,1080674.4660110238,1124930.8101437285,1092188.3712329802,1096989.5501613894
2020-10-02,1072202.0976493396,1076607.0206378675,1100981.946241974,1085201.791154826,1086785.0876397493
2020-10-05,1090175.4439273537,1094481.173803079,1121974.5519841576,1103071.5488726266,1105776.8692374788
2020-10-06,1081814.4879812815,1084736.4186926128,1104380.8492605735,1091785.3499472735,1090328.4728117553
2020-10-07,1096136.8764957576,1101210.3818182917,1123638.4741149365,1107236.407477417,1109036.6150971227
2020-10-08,1106920.5786224396,1111199.4630330806,1129753.0710001253,1116372.7397318287,1118851.4246030182
