Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2023-07-03,33449.07988636856,33421.416266615764,33373.91910146298,33441.954987258556,33398.410993713296
2023-07-05,33397.74040673315,33288.961354387524,33295.442038523404,33255.326941630956,33325.51595888195
2023-07-06,33063.697752492146,32980.41201044015,33031.3399145324,32848.71840645278,33055.364229763676
2023-07-07,32951.69328985078,32973.29693054222,32914.827884370156,32937.01470792575,32979.997380734116
2023-07-10,33073.29527344849,33150.40468442476,33043.220850257545,33042.51150760127,33069.946067948134
2023-07-11,33358.97879008576,33439.70710462928,33273.210584986686,33330.17618033818,33283.4803566563
2023-07-12,33512.96410762162,33640.61518138864,33476.58186831564,33720.969094995155,33546.94469316229
2023-07-13,33691.00964008177,33823.88541218964,33694.0503475876,34111.798362218586,33821.88541842591
2023-07-14,33572.705056134444,33720.39707968166,33692.093931505005,33990.52977885796,33796.477024405925
2023-07-17,33518.98786875423,33757.12945519639,33765.90482564202,34089.2163283479,33915.92689767432
2023-07-18,33747.548483076964,33991.92592143047,34021.23556701315,34297.9029323803,34174.50986802793
2023-07-19,33975.45113660312,34169.32014993515,34131.95257326582,34331.307331113545,34249.781644289505
2023-07-20,34114.58455204437,34212.94973800505,34078.397344471836,34100.06078535645,34027.96882572147
2023-07-21,34218.95398399596,34261.73755225152,34103.99617369639,34116.28115248876,34033.6697636238
2023-07-24,34380.70017479144,34376.177249444896,34234.5736833348,34242.47071052063,34179.31432514062
2023-07-25,34394.06773898401,34403.675851278735,34302.17756576984,34348.05708618127,34281.59355981448
2023-07-26,34411.90075344263,34462.90403150989,34274.31316105888,34412.39899782873,34291.398689911104
2023-07-27,34259.10828796461,34205.67299763958,34066.17759701785,34188.03734790955,34060.58667089273
2023-07-28,34502.99241381846,34435.60963839266,34349.318589655515,34544.52640924033,34393.65056150744
2023-07-31,67889.56431744414,67897.80284348619,67712.71805112572,68031.09169855581,67860.44433123151
2023-08-01,67598.8945525389,67629.10325834,67338.52309093183,67623.7556731093,67654.04098356944
