Rebalance_Date,ETF,Weight
2021-06-30,XLP,0.4
2021-06-30,SCHF,0.287693
2021-06-30,SCHD,0.0
2021-06-30,QYLD,0.0
2021-06-30,VIG,0.0
2021-06-30,DIVO,0.0
2021-06-30,XLV,0.0
2021-06-30,USPX,0.222394
2021-06-30,USMV,0.0
2021-06-30,PTLC,0.089912
2021-06-30,VYM,0.0
2021-06-30,SPY,0.0
2021-06-30,VT,0.0
2021-06-30,DGRO,0.0
2021-06-30,FHLC,0.0
2021-06-30,USMC,0.0
2021-06-30,SPYV,0.0
2021-06-30,VUG,0.0
2021-06-30,PBUS,0.0
2021-06-30,SCHC,0.0
2021-06-30,DGRW,0.0
2021-06-30,FNDF,0.0
2021-06-30,VO,0.0
2021-06-30,EQWL,0.0
2021-06-30,VOT,0.0
2021-06-30,IMCG,0.0
2021-06-30,ILCG,0.0
2021-06-30,XLK,0.0
2021-06-30,VB,0.0
2021-06-30,SPYD,0.0
2021-06-30,SPMD,0.0
2021-06-30,SPSM,0.0
2021-08-02,XLP,0.4
2021-08-02,SCHF,0.298319
2021-08-02,SCHD,0.0
2021-08-02,QYLD,0.0
2021-08-02,VIG,0.0
2021-08-02,XLV,0.0
2021-08-02,DIVO,0.0
2021-08-02,USPX,0.178874
2021-08-02,USMV,0.0
2021-08-02,PTLC,0.122807
2021-08-02,SPY,0.0
2021-08-02,VYM,0.0
2021-08-02,VT,0.0
2021-08-02,DGRO,0.0
2021-08-02,FHLC,0.0
2021-08-02,USMC,0.0
2021-08-02,DGRW,0.0
2021-08-02,SPYV,0.0
2021-08-02,SCHC,0.0
2021-08-02,IXJ,0.0
2021-08-02,PBUS,0.0
2021-08-02,VUG,0.0
2021-08-02,FNDF,0.0
2021-08-02,EQWL,0.0
2021-08-02,VO,0.0
2021-08-02,VOT,0.0
2021-08-02,IMCG,0.0
2021-08-02,ILCG,0.0
2021-08-02,XLK,0.0
2021-08-02,VB,0.0
2021-08-02,SPYD,0.0
2021-08-02,SPMD,0.0
2021-08-02,SPSM,0.0
2021-08-31,XLP,0.4
2021-08-31,SCHF,0.273861
2021-08-31,QYLD,0.0
2021-08-31,SCHD,0.0
2021-08-31,VIG,0.0
2021-08-31,DIVO,0.0
2021-08-31,USPX,0.214296
2021-08-31,XLV,0.0
2021-08-31,USMV,0.0
2021-08-31,PTLC,0.111842
2021-08-31,SPY,0.0
2021-08-31,VYM,0.0
2021-08-31,VT,0.0
2021-08-31,DGRO,0.0
2021-08-31,FHLC,0.0
2021-08-31,USMC,0.0
2021-08-31,SCHC,0.0
2021-08-31,IXJ,0.0
2021-08-31,DGRW,0.0
2021-08-31,SPYV,0.0
2021-08-31,PBUS,0.0
2021-08-31,SPYG,0.0
2021-08-31,FNDF,0.0
2021-08-31,EQWL,0.0
2021-08-31,VO,0.0
2021-08-31,XLK,0.0
2021-08-31,VOT,0.0
2021-08-31,IMCG,0.0
2021-08-31,ILCG,0.0
2021-08-31,VOE,0.0
2021-08-31,SPYD,0.0
2021-08-31,VB,0.0
2021-08-31,SPSM,0.0
2021-08-31,SPMD,0.0
2021-09-30,XLP,0.4
2021-09-30,SCHF,0.297993
2021-09-30,QYLD,0.0
2021-09-30,SCHD,0.0
2021-09-30,VIG,0.0
2021-09-30,DIVO,0.0
2021-09-30,USPX,0.1792
2021-09-30,XLV,0.0
2021-09-30,USMV,0.0
2021-09-30,PTLC,0.122807
2021-09-30,VYM,0.0
2021-09-30,IVV,0.0
2021-09-30,VT,0.0
2021-09-30,DGRO,0.0
2021-09-30,USMC,0.0
2021-09-30,SCHC,0.0
2021-09-30,VUG,0.0
2021-09-30,PBUS,0.0
2021-09-30,IUSV,0.0
2021-09-30,DGRW,0.0
2021-09-30,FNDF,0.0
2021-09-30,VO,0.0
2021-09-30,EQWL,0.0
2021-09-30,IWX,0.0
2021-09-30,VOT,0.0
2021-09-30,IMCG,0.0
2021-09-30,ILCG,0.0
2021-09-30,XLK,0.0
2021-09-30,VOE,0.0
2021-09-30,VB,0.0
2021-09-30,SPYD,0.0
2021-09-30,SPMD,0.0
2021-09-30,SPSM,0.0
2021-11-01,XLP,0.4
2021-11-01,SCHF,0.338795
2021-11-01,QYLD,0.0
2021-11-01,SCHD,0.0
2021-11-01,VIG,0.0
2021-11-01,DIVO,0.0
2021-11-01,USPX,0.12524
2021-11-01,XLV,0.0
2021-11-01,PTLC,0.135965
2021-11-01,USMV,0.0
2021-11-01,SPY,0.0
2021-11-01,VYM,0.0
2021-11-01,VT,0.0
2021-11-01,DGRO,0.0
2021-11-01,PBUS,0.0
2021-11-01,USMC,0.0
2021-11-01,VUG,0.0
2021-11-01,SCHC,0.0
2021-11-01,SPYV,0.0
2021-11-01,QQQ,0.0
2021-11-01,VTHR,0.0
2021-11-01,DGRW,0.0
2021-11-01,FNDF,0.0
2021-11-01,VO,0.0
2021-11-01,EQWL,0.0
2021-11-01,IMCG,0.0
2021-11-01,VOT,0.0
2021-11-01,ILCG,0.0
2021-11-01,XLK,0.0
2021-11-01,VB,0.0
2021-11-01,SPMD,0.0
2021-11-01,SPSM,0.0
2021-11-30,XLP,0.4
2021-11-30,QYLD,0.014613
2021-11-30,SCHF,0.318595
2021-11-30,SCHD,0.0
2021-11-30,VIG,0.0
2021-11-30,USPX,0.14544
2021-11-30,DIVO,0.0
2021-11-30,PTLC,0.121352
2021-11-30,XLV,0.0
2021-11-30,USMV,0.0
2021-11-30,SPY,0.0
2021-11-30,VT,0.0
2021-11-30,VYM,0.0
2021-11-30,DGRO,0.0
2021-11-30,USMC,0.0
2021-11-30,PBUS,0.0
2021-11-30,SPYG,0.0
2021-11-30,QQQ,0.0
2021-11-30,SCHC,0.0
2021-11-30,VTHR,0.0
2021-11-30,DGRW,0.0
2021-11-30,FNDF,0.0
2021-11-30,IUSV,0.0
2021-11-30,VO,0.0
2021-11-30,EQWL,0.0
2021-11-30,ILCG,0.0
2021-11-30,IMCG,0.0
2021-11-30,XLK,0.0
2021-11-30,VOT,0.0
2021-11-30,VB,0.0
2021-11-30,SPSM,0.0
2021-11-30,SPMD,0.0
2021-12-31,XLP,0.4
2021-12-31,QYLD,0.105002
2021-12-31,SCHF,0.295378
2021-12-31,SCHD,0.0
2021-12-31,VIG,0.0
2021-12-31,DIVO,0.0
2021-12-31,XLV,0.0
2021-12-31,USPX,0.168657
2021-12-31,PTLC,0.030963
2021-12-31,USMV,0.0
2021-12-31,SPY,0.0
2021-12-31,VYM,0.0
2021-12-31,VT,0.0
2021-12-31,DGRO,0.0
2021-12-31,USMC,0.0
2021-12-31,PBUS,0.0
2021-12-31,SPYG,0.0
2021-12-31,SPYV,0.0
2021-12-31,QQQ,0.0
