Date,Preference_Driven,VOO
2021-02-02,1024458.5817303105,1024517.6337106655
2021-02-03,1025315.7238820354,1025539.737070719
2021-02-04,1036205.6800511917,1037019.3056855133
2021-02-05,1041210.5861749963,1041167.1873069354
2021-02-08,1050413.0836122409,1048849.5348195476
2021-02-09,1050825.1001875524,1048002.3774336135
2021-02-10,1050434.0598239247,1047593.6898037923
2021-02-11,1051707.203771051,1049287.7163615348
2021-02-12,1057033.7494836177,1054633.319816756
2021-02-16,1057141.521547628,1053639.7496551175
2021-02-17,1055741.3551392644,1053873.7795249447
2021-02-18,1051628.8927700769,1049375.4295270327
2021-02-19,1053823.1959250104,1047447.469170838
2021-02-22,1046087.8766160754,1039210.0212527
2021-02-23,1046402.8728891289,1040524.6619500373
2021-02-24,1058844.0375430947,1052033.5323342476
2021-02-25,1031666.3301264822,1026795.8703005993
2021-02-26,1026712.313257844,1021158.2098649697
2021-03-01,1063625.4625405108,1056318.6105817063
2021-03-02,1054319.7859233918,1048148.1475110487
2021-03-03,1040875.3057627355,1034314.2102047262
2021-03-04,1026362.9963867762,1021572.0480067164
2021-03-05,1046758.6912472759,1040302.2872049562
2021-03-08,1043131.4166387648,1035199.0583265425
2021-03-09,1056920.641882552,1049681.8131132624
2021-03-10,1065561.9783268266,1056171.0550512513
2021-03-11,1077646.2331524447,1067320.762264105
2021-03-12,1079591.860834447,1068824.8391504812
2021-03-15,1085584.2385447521,1075019.2610641087
2021-03-16,1082296.9382182348,1073809.3251168125
2021-03-17,1085855.9918637646,1077319.9049857038
2021-03-18,1070162.6095713123,1061480.2407943308
2021-03-19,1069441.325557524,1059592.6747482643
2021-03-22,1078208.185915648,1067969.4827323197
2021-03-23,1069126.8530673848,1060123.4284018609
2021-03-24,1062544.8601447407,1054253.9002893474
2021-03-25,1069963.599401236,1060182.41180917
2021-03-26,1089906.9541436953,1077478.0348441144
2021-03-29,1087649.1086049199,1076827.0830956893
2021-03-30,1083444.297875154,1074073.877340055
2021-03-31,1098848.6123456233,1088375.8883595571
2021-04-01,1111434.901580081,1099908.0704390337
2021-04-05,1127501.1189303207,1115772.0298196473
2021-04-06,1126523.0929202747,1115144.8816819035
2021-04-07,1126691.9431804426,1116548.8906041684
2021-04-08,1133344.9136370502,1121986.426518817
2021-04-09,1140668.1850143722,1130053.0888419836
2021-04-12,1141937.634602673,1130560.9760223858
2021-04-13,1144934.5734755106,1133637.9674710347
2021-04-14,1140593.2013645307,1129993.1646171121
2021-04-15,1152420.1345244627,1142122.6306372967
2021-04-16,1156878.762619782,1146126.0976018447
2021-04-19,1149369.3562854193,1140479.3164771479
2021-04-20,1141353.8490611182,1132114.3059298275
2021-04-21,1152839.3211276787,1142750.072521241
2021-04-22,1141143.5922323149,1132263.5289996045
2021-04-23,1154957.727383873,1144333.4624565188
2021-04-26,1157228.1157490183,1146813.1699644595
2021-04-27,1155587.3720705209,1146454.7996000347
2021-04-28,1151782.8609881552,1145916.8523917967
2021-04-29,1157676.9174654982,1153565.024294867
2021-04-30,1159942.4697548721,1155880.8726930907
2021-05-03,1162532.4075402822,1158502.766097874
2021-05-04,1157058.5456453986,1151450.9029496864
2021-05-05,1157006.7693744923,1151661.8632959633
2021-05-06,1166737.999965621,1161033.697667956
2021-05-07,1174271.3725774423,1169320.9035180316
2021-05-10,1162864.261515391,1157869.2924738
