Rebalance_Date,Next_Rebalance_Date,Feature_Universe,DEA_Universe,Candidate_Universe,Selected_Universe,Optimized_Holdings
2021-06-30,2021-08-02,342,211,53,26,26
2021-08-02,2021-08-31,342,211,53,26,26
2021-08-31,2021-09-30,342,211,53,27,27
2021-09-30,2021-11-01,342,211,53,26,26
2021-11-01,2021-11-30,342,211,53,26,26
2021-11-30,2021-12-31,342,211,53,26,26
2021-12-31,2022-01-31,342,211,53,26,26
2022-01-31,2022-02-28,342,211,53,26,26
2022-02-28,2022-03-31,342,211,53,26,26
2022-03-31,2022-05-02,342,211,53,26,26
2022-05-02,2022-05-31,342,211,53,27,27
2022-05-31,2022-06-30,342,211,53,27,27
2022-06-30,2022-08-01,342,211,53,28,28
2022-08-01,2022-08-31,342,211,53,27,27
2022-08-31,2022-09-30,342,211,53,27,27
2022-09-30,2022-10-31,342,211,53,27,27
2022-10-31,2022-11-30,342,211,53,27,27
2022-11-30,2023-01-03,342,211,53,28,28
2023-01-03,2023-01-31,342,211,53,28,28
2023-01-31,2023-02-28,342,211,53,27,27
2023-02-28,2023-03-31,342,211,53,27,27
2023-03-31,2023-05-01,342,211,53,27,27
2023-05-01,2023-05-31,342,211,53,27,27
2023-05-31,2023-06-30,342,211,53,27,27
2023-06-30,2023-07-31,342,211,53,28,28
2023-07-31,2023-08-31,342,211,53,28,28
2023-08-31,2023-10-02,342,211,53,28,28
2023-10-02,2023-10-31,342,211,53,28,28
2023-10-31,2023-11-30,342,211,53,28,28
2023-11-30,2024-01-02,342,211,53,28,28
2024-01-02,2024-01-31,342,211,53,27,27
2024-01-31,2024-02-29,342,211,53,28,28
2024-02-29,2024-04-01,342,211,53,27,27
2024-04-01,2024-04-30,342,211,53,27,27
2024-04-30,2024-05-31,342,211,53,29,29
2024-05-31,2024-07-01,342,211,53,28,28
2024-07-01,2024-07-31,342,211,53,29,29
2024-07-31,2024-09-03,342,211,53,29,29
2024-09-03,2024-09-30,342,211,53,29,29
2024-09-30,2024-10-31,342,211,53,27,27
2024-10-31,2024-12-02,342,211,53,30,30
2024-12-02,2024-12-31,342,211,53,29,29
2024-12-31,2025-01-31,342,211,53,29,29
2025-01-31,2025-02-28,342,211,53,29,29
2025-02-28,2025-03-31,342,211,53,31,31
2025-03-31,2025-04-30,342,211,53,33,33
2025-04-30,2025-06-02,342,211,53,34,34
2025-06-02,2025-06-30,342,211,53,33,33
2025-06-30,2025-07-31,342,211,53,34,34
2025-07-31,2025-09-02,342,211,53,34,34
2025-09-02,2025-09-30,342,211,53,34,34
2025-09-30,2025-10-31,342,211,53,33,33
2025-10-31,2025-12-01,342,211,53,32,32
2025-12-01,2025-12-31,342,211,53,33,33
2025-12-31,2026-02-02,342,211,53,33,33
2026-02-02,2026-03-02,342,211,53,33,33
2026-03-02,2026-03-31,342,211,53,33,33
2026-03-31,2026-04-30,342,211,53,32,32
2026-04-30,2026-05-22,342,211,53,32,32
