Strategy,Rebalance_Date,Evaluation_Date,Forward_Period_Return,Preference_Score,Score_Return_CAGR,Score_Return_Div,Score_Risk_Vol,Score_Risk_MaxDD,Score_Cost,Score_Liq_Volume,Score_Liq_AUM,Score_Div_Score,Score_FinBERT,Portfolio_Volatility,Raw_Return_CAGR_%,Raw_Dividend_Yield_%,Raw_Expense_Ratio_%,Raw_Liquidity_Volume_M,Raw_Liquidity_AUM_B,Raw_FinBERT_Score,Raw_Portfolio_Volatility_%,Raw_Portfolio_MaxDD_%,Raw_Sector_HHI
Preference_Driven,2021-06-30,2021-08-02,0.017664296327577045,0.6477293590587537,0.19180195998899496,0.6641780463855036,0.7106072067083533,0.6932437458257521,0.7898011886812952,0.6934692051926743,0.565729938844126,0.7567188915860652,0.0,0.14366641452416226,9.880848370307003,3.8834784095162336,0.19553156391347984,7.420957456671112,30.210140591469692,0.0,14.366641452416227,-27.316140915630044,0.24328110841393485
EqualWeight,2021-06-30,2021-08-02,0.01887347185201027,0.5450455422465851,0.2724237462132414,0.3539759656473369,0.5473738156556369,0.5485088167277342,0.8571138471565474,0.39129400024673533,0.6412795914523259,0.8374749799437724,0.0,0.17957776055575986,16.686338020024376,1.8520879076137229,0.1425228453642188,7.557959791113475,92.71292957695555,0.0,17.957776055575987,-32.44064317631524,0.16252502005622765
MaxSharpe,2021-06-30,2021-08-02,0.027422337967955013,0.46447695730144717,0.4093449453850657,0.08662756739914576,0.3263493014896931,0.6842123540499996,0.7290397151556787,0.6411568238711299,0.7702886223098662,0.4332746183203171,0.0,0.22820315367226748,28.24420404396649,0.3828072203368251,0.2433812243149029,19.81259474222884,227.87024514763306,0.0,22.820315367226748,-29.37002984190997,0.5667253816796829
VT,2021-06-30,2021-08-02,0.008542745269114027,0.6734063200846615,0.24348209776090826,0.411857886399638,0.541218520318496,1.0,0.9619047619047618,0.3747440444104498,0.9184835516853215,0.833429614233,0.0,0.18093192552993087,14.2433,1.82,0.06,1.6829718030182683,76.01,0.0,18.09319255299309,-34.23621589694911,0.166570385767
VOO,2021-06-30,2021-08-02,0.02344293829020172,0.6621995397636323,0.28154160941021233,0.26929169495360944,0.49838606456180445,1.0,1.0,0.5423008292169277,1.0,0.82651345463,0.0,0.19035506579640302,17.456,1.19,0.03,3.1626054805401114,994.36,0.0,19.0355065796403,-33.992995068668854,0.17348654537
Preference_Driven,2021-08-02,2021-08-31,0.018751572846663178,0.6442048884789967,0.21262035716561922,0.6809007072651279,0.7021876732719148,0.6465938652347423,0.8166221576661898,0.7177324993048526,0.592689485260097,0.758638641396668,0.0,0.14551871188017873,10.035808488700823,3.931968593537521,0.17441005083787547,7.659715862151602,32.608639566162104,0.0,14.551871188017873,-27.74144162530703,0.24136135860333197
EqualWeight,2021-08-02,2021-08-31,0.029071136961739352,0.5466031300997295,0.29554428127255766,0.36003537701248745,0.5489240462273579,0.5360593466224339,0.8766047943743135,0.3732625511560264,0.6314160174384492,0.8455951328231415,0.0,0.17923670982998124,16.90270889089245,1.8809032968841493,0.12717372443022812,4.477455417256689,95.20156992442118,0.0,17.923670982998125,-32.657603319547945,0.1544048671768585
MaxSharpe,2021-08-02,2021-08-31,0.04101737819011331,0.48060511386653615,0.42728407669591617,0.1334947150084064,0.3390919878981883,0.5690498062462045,0.852645459801898,0.8265946794355795,0.8841039797820467,0.48614669999575666,0.0,0.22539976266239858,27.812034081662198,0.5899131456221478,0.14604170040600528,24.513882542643074,250.30607623544824,0.0,22.539976266239858,-29.652794618772692,0.5138533000042433
VT,2021-08-02,2021-08-31,0.023382596930157096,0.675027806061827,0.26564306620857503,0.411857886399638,0.5405122491757088,1.0,0.9619047619047618,0.3759031549437641,0.9184835516853215,0.833429614233,0.0,0.18108730518134405,14.4266,1.82,0.06,1.6971013502779986,76.01,0.0,18.108730518134404,-34.236215896949105,0.166570385767
VOO,2021-08-02,2021-08-31,0.03262217974397541,0.6641875415812853,0.30862839917726786,0.26929169495360944,0.49754748677935146,1.0,1.0,0.5436973396013114,1.0,0.82651345463,0.0,0.19053955290854266,17.9862,1.19,0.03,3.1910189833200953,994.36,0.0,19.053955290854265,-33.99299506866883,0.17348654537
Preference_Driven,2021-08-31,2021-09-30,-0.03476701813127259,0.6489559166774327,0.21173491427513297,0.6844819640746871,0.7076706630554748,0.6755795498106479,0.7971345768430682,0.7016717759993767,0.5781024323386967,0.7579690820997542,0.0,0.14431245412779556,9.189073128081366,4.1221758665666375,0.18975652073608365,7.485333995618675,31.07511601782322,0.0,14.431245412779555,-27.4771830234751,0.24203091790024572
EqualWeight,2021-08-31,2021-09-30,-0.043572268965813676,0.5480271962934168,0.29872021508731406,0.36151041281618046,0.5559292853708756,0.5467751049848146,0.8607561095489213,0.3623484255250461,0.6084088358826315,0.8465441052391716,0.0,0.17769555721840735,15.515249820903033,1.879034946413507,0.13965456373022433,7.067940905426772,81.93512232267463,0.0,17.76955572184073,-32.467987143431046,0.1534558947608285
MaxSharpe,2021-08-31,2021-09-30,-0.05607473829180709,0.48136132917587215,0.44019128794707996,0.13356915505312045,0.33870237032952344,0.5685299711044228,0.8525652239050021,0.8256889372285896,0.8834993810702327,0.486380343182924,0.0,0.22548547852750483,25.804011203315806,0.5902420961797392,0.14610488617481077,24.589103390115444,249.91946791835707,0.0,22.548547852750485,-29.654074846540468,0.513619656817076
VT,2021-08-31,2021-09-30,-0.0395741543823106,0.6758438207151048,0.2681875247249252,0.411857886399638,0.5422832925127237,1.0,0.9619047619047618,0.37881730088390486,0.9184835516853215,0.833429614233,0.0,0.1806976756472008,13.2947,1.82,0.06,1.7231942017474187,76.01,0.0,18.069767564720078,-34.23621589694912,0.166570385767
VOO,2021-08-31,2021-09-30,-0.045658450059448685,0.6651110206898155,0.31717898383884435,0.26929169495360944,0.4979454341396612,1.0,1.0,0.546897516469245,1.0,0.82651345463,0.0,0.19045200448927452,16.8577,1.19,0.03,3.237935822081017,994.36,0.0,19.04520044892745,-33.99299506866884,0.17348654537
Preference_Driven,2021-09-30,2021-11-01,0.047421562486317015,0.6464567617756715,0.16977750427543342,0.6733589728233789,0.7101217667271561,0.6901352176436544,0.788359329505955,0.6940185785948171,0.5682969229399272,0.758914383235497,0.0,0.14377321132002566,10.539003061554341,4.021820345503544,0.19666702801406039,7.412540873872425,30.34169168514876,0.0,14.377321132002566,-27.34448095048436,0.24108561676450305
EqualWeight,2021-09-30,2021-11-01,0.06502979757306049,0.547709435860531,0.25943687352528066,0.3636682359181419,0.5554535257817652,0.5498929361902991,0.8575895216616192,0.38972908145745433,0.6320412898721961,0.8442533958847442,0.0,0.17780022432801165,17.67026973081851,1.8908019144313508,0.14214825169147494,7.577849666973769,92.75713855935587,0.0,17.780022432801164,-32.41652176758786,0.1557466041152558
MaxSharpe,2021-09-30,2021-11-01,0.08122754908875796,0.47713327165559577,0.39324559025369754,0.13347949981845364,0.33650243886079867,0.5689381229198163,0.852688874003445,0.8266727374744268,0.884254670757711,0.4859742173614766,0.0,0.22596946345062427,28.3130575358866,0.5898459096977465,0.1460075117222871,24.823959105798867,250.33408462866325,0.0,22.59694634506243,-29.65306966769522,0.5140257826385234
VT,2021-09-30,2021-11-01,0.059572287652296385,0.6725160406717264,0.22806582058166905,0.411857886399638,0.5416035896915854,1.0,0.9619047619047618,0.38062412783392424,0.9184835516853215,0.833429614233,0.0,0.1808472102678512,15.1751,1.82,0.06,1.7419304209690232,76.01,0.0,18.084721026785118,-34.236215896949126,0.166570385767
VOO,2021-09-30,2021-11-01,0.07371714886240976,0.6616561668981157,0.27746526727995446,0.26929169495360944,0.49649906469704086,1.0,1.0,0.5500781908928651,1.0,0.82651345463,0.0,0.190770205766651,19.1042,1.19,0.03,3.2861895949166002,994.36,0.0,19.07702057666509,-33.99299506866884,0.17348654537
