Date,Preference_Driven,VOO
2021-04-01,1011454.0702814292,1010595.771371652
2021-04-05,1026064.5716363945,1025171.5806580232
2021-04-06,1025158.9483129681,1024595.3568143576
2021-04-07,1025289.5031321351,1025885.3605137055
2021-04-08,1031284.8154490526,1030881.3696800278
2021-04-09,1037935.2967252656,1038293.0207552139
2021-04-12,1039111.7302168771,1038759.6676056581
2021-04-13,1041717.4992083829,1041586.8080095922
2021-04-14,1037911.7822823114,1038237.962364531
2021-04-15,1048583.0005962348,1049382.518349198
2021-04-16,1052724.1016724438,1053060.9046561401
2021-04-19,1045924.8132458483,1047872.6409458811
2021-04-20,1038635.9654334807,1040186.8674582597
2021-04-21,1049115.7905589966,1049959.0120869358
2021-04-22,1038447.0402910337,1040323.9736468226
2021-04-23,1050970.1712439822,1051413.8310995696
2021-04-26,1052974.381463042,1053692.1868904885
2021-04-27,1051490.5453181553,1053362.9161226796
2021-04-28,1047987.0932604278,1052868.6501122033
2021-04-29,1053418.3198210779,1059895.792099516
2021-04-30,1046468.5256625543,1052896.2692722352
2021-05-03,1048696.7068064383,1055284.5619151387
2021-05-04,1043393.1262295995,1048860.993037452
2021-05-05,1043190.8711100706,1049053.1576166977
2021-05-06,1051246.86074442,1057589.9970779459
2021-05-07,1058365.8430850648,1065138.8443063856
2021-05-10,1047430.3691376474,1054707.528389257
2021-05-11,1040203.297157273,1045456.999037017
2021-05-12,1017242.2592220935,1023140.2679076507
2021-05-13,1029715.7523863425,1035300.8851086117
2021-05-14,1045450.6941863843,1051194.2272896725
2021-05-17,1042828.4507545866,1048669.008387587
2021-05-18,1033990.2058481827,1039610.3737205211
2021-05-19,1031856.8987331475,1036865.2811144672
2021-05-20,1043752.993521043,1047927.6993365634
2021-05-21,1042292.0540551954,1047131.4218595475
2021-05-24,1052538.2965092086,1057699.93392993
2021-05-25,1049802.8063129424,1055476.3666356218
2021-05-26,1051452.7250503555,1057397.9224633905
2021-05-27,1052743.166882739,1057864.3893844532
2021-05-28,1054935.958119001,1059923.4112595478
2021-06-01,1053832.9485494613,1059099.784516572
2021-06-02,1055841.0482913784,1060883.9642617055
2021-06-03,1050691.7268892024,1056849.047885685
2021-06-04,1060885.2059654947,1066428.9379704243
2021-06-07,1059998.9092176293,1065522.993535496
2021-06-08,1060477.9784918728,1065687.7188840914
2021-06-09,1058655.6587821336,1064013.2060968701
2021-06-10,1064815.0324543358,1068926.8975712403
2021-06-11,1067686.1223930803,1070793.3050436357
2021-06-14,1069616.3868142443,1073483.6091530786
2021-06-15,1066388.3141754002,1071232.512663429
2021-06-16,1060505.2899120648,1065358.3581515918
2021-06-17,1060015.285403089,1064974.1189577908
2021-06-18,1046764.4718840041,1050837.2473971408
2021-06-21,1060804.0466437493,1065550.4327661472
2021-06-22,1066993.3814401075,1071205.163397469
2021-06-23,1065285.7162088922,1070052.4458160657
2021-06-24,1071801.6050310303,1076173.7333331406
2021-06-25,1076129.425875033,1080153.8612125504
2021-06-28,1078601.9619717803,1082404.687808128
2021-06-29,1079388.4612300268,1082881.2307745446
2021-06-30,1081062.8648505602,1083872.9115596702
2021-07-01,1085068.0164027119,1089987.2717955648
2021-07-02,1092093.6492419385,1098277.8778984814
2021-07-06,1089768.019785234,1096212.1086715877
2021-07-07,1093322.547246009,1099985.4077271742
2021-07-08,1084512.097265689,1091226.7153387626
2021-07-09,1096614.1855466533,1102739.7666963658
2021-07-12,1099404.8567500655,1106733.569208756
2021-07-13,1095561.0382073296,1102987.5294544387
2021-07-14,1096950.2719492542,1104502.534845123
2021-07-15,1094720.5042910944,1100949.4693522674
2021-07-16,1086725.245596586,1092383.5712959366
2021-07-19,1071096.5541701962,1076050.3017775572
2021-07-20,1086567.112142397,1091254.3344987947
2021-07-21,1094702.2014664467,1100426.0547820178
2021-07-22,1094971.1288043607,1102767.2958917073
2021-07-23,1107273.643495311,1113784.4618744024
2021-07-26,1109361.685668603,1116621.1385355461
2021-07-27,1103867.945881933,1111663.5442921347
2021-07-28,1104266.2225247747,1111057.6321005519
2021-07-29,1108371.4412879592,1115849.9612072238
2021-07-30,1102957.9511116552,1110396.841447667
2021-08-02,1100906.0645297267,1108138.3678533833
2021-08-03,1110302.8778936255,1117089.4947151127
2021-08-04,1103935.4678778013,1111746.3118075402
2021-08-05,1111471.5519483814,1118686.9977271303
2021-08-06,1111665.5994993274,1120615.0310126264
2021-08-09,1111342.1888884774,1119541.0325355486
2021-08-10,1113086.6376999842,1120945.7412154858
2021-08-11,1115193.2918311597,1123644.6819352321
2021-08-12,1118683.0964900996,1126922.6354040548
2021-08-13,1121308.2938858846,1129153.4898383063
2021-08-16,1124233.2735754894,1131852.9703461968
2021-08-17,1116020.9638387,1124388.7798916665
2021-08-18,1103117.1582771474,1112297.255573131
2021-08-19,1105225.43020836,1113867.0494604262
2021-08-20,1114010.5671416714,1122680.8002395201
2021-08-23,1124332.2677467538,1132624.057709828
2021-08-24,1125142.6812436134,1134414.175124545
2021-08-25,1127040.1443178542,1136507.7434408523
2021-08-26,1120852.7649148842,1129869.7887053268
2021-08-27,1130757.483405678,1139895.0939735153
2021-08-30,1135747.926672308,1145128.429993794
2021-08-31,1134957.1224525175,1143172.8675129567
2021-09-01,1134440.9654724838,1144384.7818608133
2021-09-02,1137757.0663713955,1147800.111412271
2021-09-03,1139063.5364429764,1147359.194463355
2021-09-07,1132660.847140906,1143117.8091222737
2021-09-08,1131490.8799006206,1142016.1914851638
2021-09-09,1126693.7700370972,1136893.1521756323
2021-09-10,1119087.7985807855,1128106.8406271888
2021-09-13,1120777.1608925357,1130751.082815015
2021-09-14,1115943.8304487658,1124884.3054078117
2021-09-15,1124954.3215654532,1134276.5291478382
2021-09-16,1122230.579383472,1132320.966667001
2021-09-17,1112124.2313365415,1121220.9432042092
2021-09-20,1094227.6808367241,1102905.2117624856
2021-09-21,1093252.8433693254,1101830.8534266455
2021-09-22,1103682.5792186346,1112462.5207098702
2021-09-23,1116708.1873197346,1125903.425423588
2021-09-24,1118509.6263924006,1127776.3103537108
2021-09-27,1116910.8511946718,1124581.3043296752
2021-09-28,1093822.0343928917,1102106.325309441
2021-09-29,1095786.7367000484,1103841.5642628565
2021-09-30,1083547.9820018047,1089859.2520407576
2021-10-01,1096491.6355328397,1102901.8830689315
2021-10-04,1082726.349781857,1089334.1281413855
2021-10-05,1093059.9020090231,1099917.8442444894
2021-10-06,1097600.5008892126,1104808.8646168136
2021-10-07,1107034.560068934,1114314.7137611418
2021-10-08,1104762.3861281348,1112214.5780224164
2021-10-11,1097925.858962633,1104118.0257572494
2021-10-12,1095068.4947522047,1101907.3234137052
2021-10-13,1100236.0196525545,1105444.2852269325
2021-10-14,1118260.733523339,1124013.897025694
2021-10-15,1125424.0874923707,1132773.7589550838
