Rebalance_Date,ETF,Weight
2021-03-31,SCHD,0.4
2021-03-31,VUG,0.4
2021-03-31,VTI,0.2
2021-03-31,VIG,0.0
2021-03-31,DGRO,0.0
2021-03-31,DIVO,0.0
2021-03-31,XLP,0.0
2021-03-31,XLV,0.0
2021-03-31,VO,0.0
2021-03-31,USMV,0.0
2021-03-31,DGRW,0.0
2021-03-31,VT,0.0
2021-03-31,VYM,0.0
2021-03-31,VB,0.0
2021-03-31,IUSV,0.0
2021-03-31,SCHF,0.0
2021-03-31,IJH,0.0
2021-03-31,QYLD,0.0
2021-03-31,SPSM,0.0
2021-03-31,IWX,0.0
2021-03-31,VOE,0.0
2021-03-31,PTLC,0.0
2021-03-31,FNDF,0.0
2021-03-31,SCHC,0.0
2021-06-30,SCHD,0.4
2021-06-30,VUG,0.4
2021-06-30,VOO,0.2
2021-06-30,VIG,0.0
2021-06-30,DGRO,0.0
2021-06-30,XLV,0.0
2021-06-30,XLP,0.0
2021-06-30,VO,0.0
2021-06-30,DIVO,0.0
2021-06-30,VT,0.0
2021-06-30,USMV,0.0
2021-06-30,DGRW,0.0
2021-06-30,FNDX,0.0
2021-06-30,SCHF,0.0
2021-06-30,VYM,0.0
2021-06-30,IUSV,0.0
2021-06-30,SCHE,0.0
2021-06-30,RWL,0.0
2021-06-30,VB,0.0
2021-06-30,IWX,0.0
2021-06-30,IJH,0.0
2021-06-30,QYLD,0.0
2021-06-30,SCHC,0.0
2021-06-30,VOE,0.0
2021-06-30,FNDF,0.0
2021-06-30,SPSM,0.0
2021-06-30,PTLC,0.0
2021-09-30,SCHD,0.4
2021-09-30,VUG,0.4
2021-09-30,VOO,0.2
2021-09-30,VIG,0.0
2021-09-30,VO,0.0
2021-09-30,DGRO,0.0
2021-09-30,XLP,0.0
2021-09-30,VT,0.0
2021-09-30,USMV,0.0
2021-09-30,DIVO,0.0
2021-09-30,SCHF,0.0
2021-09-30,XLV,0.0
2021-09-30,DGRW,0.0
2021-09-30,VTV,0.0
2021-09-30,VB,0.0
2021-09-30,SCHE,0.0
2021-09-30,RWL,0.0
2021-09-30,IJH,0.0
2021-09-30,SCHC,0.0
2021-09-30,VOE,0.0
2021-09-30,FNDF,0.0
2021-09-30,QYLD,0.0
2021-09-30,SPSM,0.0
2021-09-30,PTLC,0.0
2021-12-31,VUG,0.4
2021-12-31,SCHD,0.282602
2021-12-31,XLK,0.317398
2021-12-31,VOO,0.0
2021-12-31,VIG,0.0
2021-12-31,VO,0.0
2021-12-31,DGRO,0.0
2021-12-31,VT,0.0
2021-12-31,XLP,0.0
2021-12-31,SCHF,0.0
2021-12-31,DIVO,0.0
2021-12-31,USMV,0.0
2021-12-31,DGRW,0.0
2021-12-31,VTV,0.0
2021-12-31,FNDX,0.0
2021-12-31,XLV,0.0
2021-12-31,VB,0.0
2021-12-31,RWL,0.0
2021-12-31,SCHC,0.0
2021-12-31,IJH,0.0
2021-12-31,QYLD,0.0
2021-12-31,VOE,0.0
2021-12-31,SPSM,0.0
2021-12-31,SCHE,0.0
2021-12-31,FNDF,0.0
2021-12-31,PTLC,0.0
2022-03-31,SCHD,0.4
2022-03-31,VUG,0.4
2022-03-31,VOO,0.2
2022-03-31,VIG,0.0
2022-03-31,DGRO,0.0
2022-03-31,XLV,0.0
2022-03-31,DIVO,0.0
2022-03-31,XLP,0.0
2022-03-31,DGRW,0.0
2022-03-31,VTV,0.0
2022-03-31,RWL,0.0
2022-03-31,VO,0.0
2022-03-31,VT,0.0
2022-03-31,USMV,0.0
2022-03-31,SCHF,0.0
2022-03-31,VOE,0.0
2022-03-31,IJH,0.0
2022-03-31,VB,0.0
2022-03-31,QYLD,0.0
2022-03-31,SPSM,0.0
2022-03-31,FNDF,0.0
2022-03-31,SCHC,0.0
2022-03-31,PTLC,0.0
2022-06-30,SCHD,0.4
2022-06-30,XLV,0.4
2022-06-30,XLP,0.156061
2022-06-30,DGRW,0.0
2022-06-30,DIVO,0.0
2022-06-30,VOO,0.0
2022-06-30,VIG,0.0
2022-06-30,DGRO,0.0
2022-06-30,VYM,0.0
2022-06-30,VUG,0.043939
2022-06-30,RWL,0.0
2022-06-30,IUSV,0.0
2022-06-30,USMV,0.0
2022-06-30,VT,0.0
2022-06-30,VO,0.0
2022-06-30,PTLC,0.0
2022-06-30,VOE,0.0
2022-06-30,SCHF,0.0
2022-06-30,SPYD,0.0
2022-06-30,IJH,0.0
2022-06-30,FNDF,0.0
2022-06-30,SPSM,0.0
2022-06-30,VB,0.0
2022-06-30,QYLD,0.0
2022-06-30,SCHE,0.0
2022-09-30,SCHD,0.4
2022-09-30,XLV,0.4
2022-09-30,VHT,0.03234
2022-09-30,DIVO,0.0
2022-09-30,VOO,0.0
2022-09-30,VTV,0.0
2022-09-30,DGRW,0.0
2022-09-30,DGRO,0.0
2022-09-30,VIG,0.0
2022-09-30,VUG,0.16766
2022-09-30,XLP,0.0
2022-09-30,RWL,0.0
2022-09-30,PTLC,0.0
2022-09-30,VO,0.0
2022-09-30,VT,0.0
2022-09-30,USMV,0.0
2022-09-30,VOE,0.0
2022-09-30,VB,0.0
2022-09-30,SPMD,0.0
2022-09-30,SPSM,0.0
2022-09-30,SCHF,0.0
2022-09-30,SPYD,0.0
2022-09-30,QYLD,0.0
2022-09-30,FNDF,0.0
2022-09-30,SCHE,0.0
2023-01-03,SCHD,0.4
2023-01-03,XLV,0.4
2023-01-03,DIVO,0.07427
2023-01-03,VYM,0.0
2023-01-03,XLP,0.12573
2023-01-03,VIG,0.0
2023-01-03,DGRW,0.0
2023-01-03,DGRO,0.0
2023-01-03,VOO,0.0
2023-01-03,RWL,0.0
2023-01-03,IUSV,0.0
2023-01-03,USMV,0.0
2023-01-03,VO,0.0
2023-01-03,VOE,0.0
2023-01-03,SCHF,0.0
2023-01-03,VT,0.0
2023-01-03,SPYD,0.0
2023-01-03,FNDF,0.0
2023-01-03,SPMD,0.0
2023-01-03,PTLC,0.0
2023-01-03,VUG,0.0
2023-01-03,VB,0.0
2023-01-03,SPSM,0.0
2023-01-03,QYLD,0.0
2023-03-31,SCHD,0.4
2023-03-31,VBR,0.4
2023-03-31,VTV,0.0
2023-03-31,SPYD,0.147887
2023-03-31,IJH,0.052113
2023-03-31,IUSV,0.0
2023-03-31,VOE,0.0
2023-03-31,DIVO,0.0
2023-03-31,DGRW,0.0
2023-03-31,HDV,0.0
2023-03-31,SPSM,0.0
2023-03-31,VOO,0.0
2023-03-31,DLN,0.0
2023-03-31,VO,0.0
2023-03-31,VB,0.0
2023-03-31,VIG,0.0
2023-03-31,VDC,0.0
2023-03-31,SCHF,0.0
2023-03-31,XLV,0.0
2023-03-31,VUG,0.0
2023-03-31,USMV,0.0
2023-03-31,XYLD,0.0
2023-03-31,PTLC,0.0
2023-06-30,SCHD,0.4
2023-06-30,SPYV,0.4
2023-06-30,VTV,0.2
2023-06-30,VOE,0.0
2023-06-30,DGRW,0.0
2023-06-30,SPYD,0.0
2023-06-30,VONV,0.0
2023-06-30,PTLC,0.0
2023-06-30,DIVO,0.0
2023-06-30,VOO,0.0
2023-06-30,IJH,0.0
2023-06-30,DLN,0.0
