Strategy,Rebalance_Date,Evaluation_Date,Forward_Period_Return,Preference_Score,Score_Return_CAGR,Score_Return_Div,Score_Risk_Vol,Score_Risk_MaxDD,Score_Cost,Score_Liq_Volume,Score_Liq_AUM,Score_Div_Score,Score_FinBERT,Portfolio_Volatility,Raw_Return_CAGR_%,Raw_Dividend_Yield_%,Raw_Expense_Ratio_%,Raw_Liquidity_Volume_M,Raw_Liquidity_AUM_B,Raw_FinBERT_Score,Raw_Portfolio_Volatility_%,Raw_Portfolio_MaxDD_%,Raw_Sector_HHI
Preference_Driven,2023-06-30,2023-10-02,-0.026308796822779867,0.7512980130962458,0.5784178980284529,0.5372824848231106,0.8323889994006904,1.0,0.6871924862787598,0.5327807825980687,0.4834766632634864,0.8555335439424363,0.0,0.11687442013184811,3.22917709138239,2.378012277827087,0.2583494850165054,5.035254730778715,28.379735902507534,0.0,11.687442013184809,-10.915487958695525,0.14446645605756364
EqualWeight,2023-06-30,2023-10-02,-0.03863605839039541,0.6422019895685578,0.5288715855073429,0.48134313746679713,0.6296557812680108,0.7370233355189446,0.8108833453854872,0.3993864674216743,0.6025319610711118,0.8808327845382666,0.0,0.1614757281210376,-0.18285666366860473,2.3409441515872174,0.16805515786859426,2.9214729591655217,66.85564615999726,0.0,16.147572812103757,-18.814182446622226,0.11916721546173342
MaxSharpe,2023-06-30,2023-10-02,-0.036530942407022926,0.6827248675107865,0.5999550037465563,0.3300900760921913,0.7986306828910823,0.981903786714853,0.5424735395587683,0.21371774026505702,0.40361920048527067,0.8558627274704124,0.0,0.1243012497639619,4.7123415885376705,1.4609786767840387,0.36399431612209915,1.2404401559450504,13.547148185395969,0.0,12.43012497639619,-13.625696503944868,0.14413727252958766
VT,2023-06-30,2023-10-02,-0.0356911385325871,0.6935093068098825,0.4976840972829141,0.41120650700406697,0.5242920010265959,1.0,0.9589041095890412,0.4612641838914442,0.9422115074352103,0.833429614233,0.0,0.1846557597741489,-2.3306,1.82,0.06,2.429924501992032,76.01,0.0,18.46557597741489,-26.382014543853877,0.166570385767
VOO,2023-06-30,2023-10-02,-0.029159601138542546,0.6823433043479569,0.5522193524013088,0.2688657930411207,0.474714555578144,1.0,1.0,0.6715177264659339,1.0,0.82651345463,0.0,0.1955627977728083,1.425,1.19,0.03,4.983218525896414,994.36,0.0,19.55627977728083,-24.520717987550565,0.17348654537
Preference_Driven,2023-10-02,2024-01-02,0.09538240937231635,0.7528262453377339,0.5603935556030535,0.5525634492665692,0.8182605026908332,1.0,0.6916086470855147,0.554983576550748,0.5355462899352517,0.8635152632171454,0.0,0.11998268940801671,2.551889907800463,2.4456458264538345,0.25512568762757415,5.450063362970794,36.54068392523044,0.0,11.99826894080167,-11.621709280326382,0.13648473678285453
EqualWeight,2023-10-02,2024-01-02,0.11674950928130201,0.6404859104721521,0.5288272865491432,0.48153849334435445,0.6308389283001603,0.7238023789267973,0.8078151181016102,0.41715684516441764,0.6094413765070874,0.8811177106474347,0.0,0.16121543577396472,0.8307923020523806,2.3313804813030123,0.17029496378582443,3.1140741272866004,70.3155759237542,0.0,16.121543577396473,-18.735356102528765,0.11888228935256524
MaxSharpe,2023-10-02,2024-01-02,0.10099682936744281,0.658709545205776,0.6081097945962607,0.45249056257248604,0.6777048925040325,0.8180375407443108,0.7342301209129601,0.33531068071182446,0.48442453025376353,0.8766919266188051,0.0,0.15090492364911284,5.153537398869387,2.002723229945823,0.22401201173353913,2.1436832402035875,13.97174012749717,0.0,15.090492364911286,-15.819928376629184,0.12330807338119482
VT,2023-10-02,2024-01-02,0.11412739821355289,0.693686544017123,0.5010356468756259,0.41120650700406697,0.5242929709523688,1.0,0.9589041095890412,0.4589852254066221,0.9422115074352103,0.833429614233,0.0,0.18465554639047885,-0.6845,1.82,0.06,2.412306972111554,76.01,0.0,18.46555463904789,-26.161244455325576,0.166570385767
VOO,2023-10-02,2024-01-02,0.11294400784408087,0.6819249570342044,0.5325946235307903,0.2688657930411207,0.4793186153316087,1.0,1.0,0.6680800830889052,1.0,0.82651345463,0.0,0.19454990462704608,1.0362,1.19,0.03,4.935100398406374,994.36,0.0,19.454990462704608,-24.48978641974819,0.17348654537
