Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2023-07-03,1003397.8927111835,1002559.7027322348,1001169.5770173619,1003196.4600823575,1001915.127212671
2023-07-05,1001757.8684367271,998492.9275784695,998757.1465994709,997525.1096468834,999680.9416402164
2023-07-06,991644.479875629,989143.6194215282,990776.054499765,985254.6881276167,991529.1015647615
2023-07-07,988185.4955095937,988838.2615600573,987223.1758808267,987832.4463779293,989221.25127602
2023-07-10,991744.8643697832,994059.6536818574,991017.7343231625,990926.0385630908,991873.0256515618
2023-07-11,1000223.1953352988,1002646.5176665216,997860.0040692091,999484.4981649,998232.2799253004
2023-07-12,1004741.7406147225,1008580.7260349505,1003903.3078958688,1011136.2178521218,1006089.1503140193
2023-07-13,1009982.0100264763,1013985.2499706933,1010369.1945084729,1022788.1866141548,1014289.9447895387
2023-07-14,1006334.0533468116,1010786.4759795616,1010251.9196299202,1019076.2246966973,1013479.7883211742
2023-07-17,1004619.1799872243,1011794.6694295881,1012407.7252589741,1021963.2508380952,1017015.4615867643
2023-07-18,1011378.9651813448,1018744.865421025,1020009.0910054991,1028150.1031086693,1024725.0025429091
2023-07-19,1018133.7553467061,1023972.4126266874,1023271.5622520822,1029077.989806862,1026934.7886207284
2023-07-20,1022231.0956655054,1025186.4812222574,1021605.5968868651,1022066.2017602279,1020231.8433763803
2023-07-21,1025269.6475677012,1026555.0575184248,1022314.2939970501,1022479.0017480067,1020354.6956089226
2023-07-24,1030027.3456895567,1029893.0910197039,1026172.3216769561,1026190.880640527,1024675.892732051
2023-07-25,1030326.0819643134,1030622.5420717291,1028140.8969760605,1029284.3898007515,1027695.9129836315
2023-07-26,1030766.4126691346,1032303.8735955127,1027245.2963150153,1031140.3292470117,1027941.5397433188
2023-07-27,1026084.994312018,1024491.1579970012,1020941.558685719,1024334.9411942669,1020968.5682446484
2023-07-28,1033301.4858644309,1031294.2652220428,1029376.6261802863,1034955.7402362253,1030912.3724786445
2023-07-31,1034016.5056746792,1033166.42057976,1029779.5083133408,1037224.0645455781,1032901.1644076023
2023-08-01,1029445.5835353659,1028930.617275346,1027480.6772974785,1030934.0953029966,1029709.1821126216
2023-08-02,1020035.2252275303,1020067.2055029492,1016072.7565349328,1013714.1421523081,1015444.0253447028
2023-08-03,1018536.4894162207,1016738.0182626382,1013218.7139435848,1011548.8517900255,1012571.2568202995
2023-08-04,1013420.3312343678,1012511.6114799274,1007683.2292495774,1009692.5802440164,1007611.3990398252
2023-08-07,1021676.3743055031,1020499.1925594435,1016767.2931205729,1017117.0022285549,1016696.3255215837
2023-08-08,1017615.6021942566,1015867.8153915819,1012497.3882550141,1010826.8669360987,1012301.230565977
2023-08-09,1015155.6700224063,1012707.2133284205,1006358.4067342288,1006702.2710807368,1005573.4973000091
2023-08-10,1016026.121588136,1012091.0047219347,1006404.710920322,1008249.1917107234,1006162.7373249091
2023-08-11,1017982.0305199656,1013371.006680908,1005941.9687039152,1004640.1807153986,1005229.9617401934
2023-08-14,1018694.2904101703,1013487.9356838757,1009815.4388059098,1005465.1164914588,1010901.6786619191
2023-08-15,1006784.8436877978,1001445.6740781338,998928.8713490261,993606.8307604732,999312.5403533836
2023-08-16,1001221.0625874985,994926.8780104228,992822.1332467166,986079.623903676,991921.9800516258
2023-08-17,999795.7359611588,988519.4584588319,986214.2332737519,979583.3376921422,983893.2253249035
2023-08-18,1001556.205269382,990150.2838153817,987166.38862771,978964.7188850346,984801.601414984
2023-08-21,1000888.84636052,990384.9652133394,989611.821623478,983811.2165693858,991308.1851212967
2023-08-22,997165.4234894242,986885.552009139,987213.2880350417,981748.7941042993,988533.6362186096
2023-08-23,1003348.884468365,994522.6839573322,996292.9810733396,992988.2949783026,999189.9212370326
2023-08-24,994598.2619315138,985622.111569747,985060.660090664,980614.5074122167,985906.4944538937
2023-08-25,1001177.0063455434,991084.318519013,991627.1194313689,986285.8578476908,992437.7107710324
2023-08-28,1006449.417663298,996964.0898124962,997582.4524857044,994431.84956147,998968.7716773772
2023-08-29,1016371.3503335768,1007561.3115119659,1009600.5084757775,1007836.5577728188,1013160.5745505964
2023-08-30,1018675.8845154333,1009695.1810298373,1012791.5647842588,1010311.3651009983,1017383.6297574058
2023-08-31,1015827.6128216828,1006688.428452333,1010351.5974819716,1007733.5238257486,1016082.3751804609
2023-09-01,1017535.5303541564,1010050.4360062936,1011751.7111802526,1011239.3348241284,1018243.051447422
2023-09-05,1011061.2746048741,999661.4898099193,1006226.3220292081,1004846.4976843507,1013799.0020917512
2023-09-06,1005235.6336923788,995257.0352976489,1000169.925801951,999071.947251932,1006801.2425714608
2023-09-07,1004096.4246320929,993207.9704183419,997074.0312856096,994947.2683716329,1003805.6995199122
2023-09-08,1007486.3864468943,994495.3571832303,999682.3508562748,995359.7362596628,1005180.8519293352
2023-09-11,1010576.867506709,998298.4852172278,1004867.2183657808,1003402.6940263716,1011785.5775519671
2023-09-12,1009511.0565118841,996687.8964180759,1000144.3040706699,999175.1472488765,1006359.4096845319
