Rebalance_Date,ETF,Weight
2023-06-30,SCHD,0.223525
2023-06-30,HDV,0.309715
2023-06-30,VYM,0.0
2023-06-30,DIVO,0.0
2023-06-30,XLP,0.114659
2023-06-30,SPYV,0.0
2023-06-30,USMV,0.0
2023-06-30,DGRO,0.0
2023-06-30,SPLV,0.0
2023-06-30,XLV,0.0
2023-06-30,SDY,0.0
2023-06-30,FDL,0.0
2023-06-30,DLN,0.0
2023-06-30,VIG,0.0
2023-06-30,IWD,0.0
2023-06-30,XYLD,0.0
2023-06-30,DGRW,0.0
2023-06-30,SPYD,0.0
2023-06-30,PTLC,0.352101
2023-06-30,FVD,0.0
2023-06-30,VOE,0.0
2023-06-30,SCHF,0.0
2023-06-30,RWL,0.0
2023-06-30,VHT,0.0
2023-06-30,VOO,0.0
2023-06-30,VBR,0.0
2023-06-30,IJH,0.0
2023-06-30,USPX,0.0
2023-06-30,VO,0.0
2023-06-30,SCHM,0.0
2023-06-30,SCHC,0.0
2023-06-30,SPSM,0.0
2023-06-30,SCHA,0.0
2023-06-30,SPYG,0.0
2023-06-30,VUG,0.0
2023-10-02,SCHD,0.321312
2023-10-02,HDV,0.260861
2023-10-02,VYM,0.0
2023-10-02,DIVO,0.0
2023-10-02,SPYV,0.0
2023-10-02,XLP,0.069311
2023-10-02,USMV,0.0
2023-10-02,DGRO,0.0
2023-10-02,XLV,0.0
2023-10-02,SPLV,0.0
2023-10-02,SDY,0.0
2023-10-02,FDL,0.0
2023-10-02,DLN,0.0
2023-10-02,VIG,0.0
2023-10-02,IWD,0.0
2023-10-02,DGRW,0.0
2023-10-02,XYLD,0.0
2023-10-02,PTLC,0.348516
2023-10-02,SPYD,0.0
2023-10-02,FVD,0.0
2023-10-02,SCHF,0.0
2023-10-02,VOE,0.0
2023-10-02,RWL,0.0
2023-10-02,VOO,0.0
2023-10-02,FHLC,0.0
2023-10-02,VBR,0.0
2023-10-02,IJH,0.0
2023-10-02,USPX,0.0
2023-10-02,VO,0.0
2023-10-02,IJR,0.0
2023-10-02,SCHC,0.0
2023-10-02,SCHA,0.0
2023-10-02,SPYG,0.0
2023-10-02,VUG,0.0
2024-01-02,SCHD,0.018798
2024-01-02,VYM,0.0
2024-01-02,HDV,0.274401
2024-01-02,DIVO,0.303826
2024-01-02,SPYV,0.0
2024-01-02,XLP,0.039863
2024-01-02,USMV,0.0
2024-01-02,SDY,0.0
2024-01-02,SPLV,0.0
2024-01-02,XLV,0.0
2024-01-02,FDL,0.0
2024-01-02,DLN,0.0
2024-01-02,VONV,0.0
2024-01-02,XYLD,0.0
2024-01-02,PTLC,0.363112
2024-01-02,VIG,0.0
2024-01-02,DGRW,0.0
2024-01-02,SPYD,0.0
2024-01-02,IWX,0.0
2024-01-02,FVD,0.0
2024-01-02,VOE,0.0
2024-01-02,SCHF,0.0
2024-01-02,RWL,0.0
2024-01-02,EMLP,0.0
2024-01-02,FHLC,0.0
2024-01-02,IVV,0.0
2024-01-02,VBR,0.0
2024-01-02,IJH,0.0
2024-01-02,VO,0.0
2024-01-02,USPX,0.0
2024-01-02,IJR,0.0
2024-01-02,SCHC,0.0
2024-01-02,XLE,0.0
2024-01-02,SCHA,0.0
2024-01-02,SPYG,0.0
2024-01-02,VUG,0.0
2024-04-01,SCHD,0.345523
2024-04-01,VYM,0.0
2024-04-01,HDV,0.0
2024-04-01,DIVO,0.236324
2024-04-01,SPYV,0.0
2024-04-01,DGRO,0.0
2024-04-01,PTLC,0.4
2024-04-01,VIG,0.0
2024-04-01,USMV,0.0
2024-04-01,XLP,0.018153
2024-04-01,SCHV,0.0
2024-04-01,SCHF,0.0
2024-04-01,XLV,0.0
2024-04-01,DIA,0.0
2024-04-01,DGRW,0.0
2024-04-01,XYLD,0.0
2024-04-01,DLN,0.0
2024-04-01,SDY,0.0
2024-04-01,IWX,0.0
2024-04-01,VOE,0.0
2024-04-01,IVV,0.0
2024-04-01,XLI,0.0
2024-04-01,VHT,0.0
2024-04-01,JQUA,0.0
2024-04-01,IJH,0.0
2024-04-01,SPYD,0.0
2024-04-01,SPMO,0.0
2024-04-01,VO,0.0
2024-04-01,FLQL,0.0
2024-04-01,USPX,0.0
2024-04-01,SPSM,0.0
2024-04-01,SPYG,0.0
2024-04-01,VUG,0.0
2024-07-01,DIVO,0.4
2024-07-01,VTV,0.0
2024-07-01,SCHD,0.0
2024-07-01,XYLD,0.4
2024-07-01,HDV,0.0
2024-07-01,XLV,0.0
2024-07-01,USMV,0.0
2024-07-01,SPYV,0.0
2024-07-01,PTLC,0.195478
2024-07-01,XLP,0.004522
2024-07-01,VIG,0.0
2024-07-01,DGRO,0.0
2024-07-01,SCHF,0.0
2024-07-01,SCHV,0.0
2024-07-01,QYLD,0.0
2024-07-01,DLN,0.0
2024-07-01,DGRW,0.0
2024-07-01,VHT,0.0
2024-07-01,IWX,0.0
2024-07-01,IVV,0.0
2024-07-01,MTUM,0.0
2024-07-01,SPMO,0.0
2024-07-01,SPHQ,0.0
2024-07-01,VOE,0.0
2024-07-01,FLQL,0.0
2024-07-01,VO,0.0
2024-07-01,IJH,0.0
2024-07-01,USPX,0.0
2024-07-01,SPYD,0.0
2024-07-01,SPSM,0.0
2024-07-01,VONG,0.0
2024-07-01,SPYG,0.0
2024-09-30,DIVO,0.4
2024-09-30,XYLD,0.4
2024-09-30,VTV,0.0
2024-09-30,USMV,0.2
2024-09-30,QYLD,0.0
2024-09-30,VIG,0.0
2024-09-30,SPYV,0.0
2024-09-30,DGRO,0.0
2024-09-30,HDV,0.0
2024-09-30,IVV,0.0
2024-09-30,SCHF,0.0
2024-09-30,DIA,0.0
2024-09-30,SCHD,0.0
2024-09-30,FDVV,0.0
2024-09-30,SCHV,0.0
2024-09-30,SPHQ,0.0
2024-09-30,VT,0.0
2024-09-30,JQUA,0.0
2024-09-30,FNDF,0.0
2024-09-30,QUAL,0.0
2024-09-30,IWX,0.0
2024-09-30,XLV,0.0
