Rebalance_Date,Next_Rebalance_Date,Feature_Universe,DEA_Universe,Candidate_Universe,Selected_Universe,Optimized_Holdings
2023-06-30,2023-10-02,395,241,61,35,35
2023-10-02,2024-01-02,395,241,61,34,34
2024-01-02,2024-04-01,395,241,61,36,36
2024-04-01,2024-07-01,395,241,61,33,33
2024-07-01,2024-09-30,395,241,61,32,32
2024-09-30,2024-12-31,395,241,61,34,34
2024-12-31,2025-03-31,395,241,61,36,36
2025-03-31,2025-06-30,395,241,61,38,38
2025-06-30,2025-09-30,395,241,61,34,34
2025-09-30,2025-12-31,395,241,61,31,31
2025-12-31,2026-03-31,395,241,61,34,34
2026-03-31,2026-05-22,395,241,61,39,39
