ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment
VOO,0.2993545084199876,0.1,0.5639450867052024,0.3417607223476298,0.9049517315363029,0.7144037959015265,0.24163928236250165
IVV,0.3017210408874922,0.1,0.5641859344894027,0.34988713318284426,0.897939806413173,0.7006890386466784,0.1897405308678795
SPY,0.30684475420853863,0.18052305574673094,0.5634633911368016,0.33160270880361176,1.0,0.6991170402970704,0.2534397513386616
VTI,0.31897765075927764,0.1,0.5564788053949904,0.3376975169300226,0.8207374171143924,0.6967528538027781,0.49437748476648335
QQQ,0.4435460060419223,0.2858224363386098,0.7137524084778419,0.199548532731377,1.0,0.31306147710081145,0.2015902505492822
VEA,0.2347143145569222,0.1,0.45002408477842004,0.6972911963882619,1.0,,0.5245271248259125
VUG,0.4410538725956717,0.1,0.6822013487475915,0.19345372460496615,0.6821913591490366,0.32342181268051157,0.39822861630143624
IEFA,0.22854548063551397,0.14955264969029597,0.4042630057803468,0.8151241534988714,0.9742623932814558,,0.49034549369727787
VTV,0.20438410158895753,0.1,0.43027456647398843,0.5103837471783296,0.7805502121623384,0.9545977169577774,0.514798468850297
IEMG,0.34140815257068746,0.17432897453544394,0.4786849710982659,0.644469525959368,0.9970258822564604,,0.6019410250166222
VXUS,0.23927029909945258,0.12477632484514799,0.4372591522157996,0.70744920993228,0.8379085762307942,,0.5857802269363053
IWF,0.44430473787886704,0.2858224363386098,0.6684730250481696,0.1812641083521445,0.7138367842549518,0.33182643377802223,0.5386538687797044
VWO,0.32787222668146593,0.13716448726772196,0.40691233140655103,0.6505643340857787,0.9712252947484197,,0.6046514554951474
VGT,0.5774649877124751,0.17432897453544394,0.7424132947976879,0.18939051918735894,0.6216151983470786,0.1,0.4680759664766867
IJH,0.44308636205534047,0.12477632484514799,0.4259393063583815,0.36817155756207676,0.9579901780057773,0.8153087608306971,0.402692371886603
VIG,0.2015766649006871,0.112388162422574,0.4235308285163776,0.42708803611738155,0.6787849490840923,0.7717136569935358,0.5196168295132115
IJR,0.5522547401123936,0.13716448726772196,0.3922206165703276,0.3620767494356659,0.8532606857815923,0.9084527575299133,0.5884709571327335
VO,0.31165698945687903,0.1,0.4216040462427746,0.4067720090293454,0.6374220466142255,1.0,0.41931284321585216
XLK,0.5524907186087807,0.16194081211286998,0.7245905587668593,0.21580135440180587,1.0,0.1,0.1
SCHD,0.2534645995884633,0.13716448726772196,0.3045520231213873,0.7988713318284424,1.0,0.8617507908128179,0.5195642954276193
RSP,0.27869381860281284,0.31059876118375784,0.3864402697495183,0.4291196388261852,0.9625105538023581,1.0,0.36498931533311263
ITOT,0.3189625817304742,0.1,0.5576830443159922,0.3295711060948081,0.7431770379952389,0.7261009489753816,0.5697441973092698
EFA,0.2305540271487472,0.45925671025464576,0.40546724470134876,0.78058690744921,1.0,,0.4240261357075822
VYM,0.20379495423816507,0.112388162422574,0.422567437379576,0.581489841986456,0.6928381939613915,0.9872630999862465,0.4883541235152965
QQQM,0.44067576886427884,0.24865794907088787,0.7147157996146435,0.20767494356659144,0.7730580840839631,0.31968367487278226,0.4724773378352126
IWM,0.5469752105388435,0.29821059876118383,0.4671242774566473,0.3072234762979684,1.0,0.8522816668958876,0.19240335233133685
VB,0.4798555823164735,0.1,0.4473747591522158,0.37223476297968405,0.6458696403555046,0.870217301609132,0.7149287096041612
IWD,0.233323907089235,0.2858224363386098,0.43460982658959535,0.4392776523702032,0.76498309683421,1.0,0.6849662222246544
VT,0.2558449002896164,0.13716448726772196,0.509995183044316,0.4697516930022574,0.759315526860511,0.7439499381103011,0.5369136771944609
IVW,0.4192224611993891,0.2858224363386098,0.6899084778420038,0.1873589164785553,0.7730682829223214,0.39754091596754226,0.19556360591774585
SCHX,0.30828679552226,0.1,0.5658718689788054,0.3376975169300226,0.96798235950622,0.719788199697428,0.1
VEU,0.23744640610117518,0.112388162422574,0.44255780346820806,0.6952595936794582,0.7613436445191882,,0.29806581535910603
SCHF,0.2359629056542065,0.1,0.45026493256262035,0.790744920993228,0.9323217227917111,0.8418718195571446,0.5421785775849096
IXUS,0.24207521141356403,0.14955264969029597,0.4377408477842004,0.7460496613995486,0.6999094223946072,,0.42366003879861125
SCHG,0.44829291642673064,0.112388162422574,0.6911127167630058,0.1873589164785553,0.916653039489246,0.3882450832072616,0.655489675136876
IWR,0.36111054243945956,0.2858224363386098,0.44424373795761074,0.3600451467268624,0.6759310742796373,0.9951849814330901,0.1975828848326981
XLF,0.27655324435121,0.16194081211286998,0.5092726396917149,0.4250564334085779,0.943341413405758,0.10366387016916517,0.1
SMH,0.8986063825183331,0.4964211975223677,1.0,0.15891647855530475,0.9208191290242311,0.11137532664007702,0.6089625338940617
QUAL,0.2893884217929938,0.24865794907088787,0.5323940269749518,0.29909706546275394,0.6445964047178415,0.6755246871131894,0.5820700071413524
VV,0.31046867447480875,0.1,0.5702071290944124,0.3295711060948081,0.5449181259552391,0.7099106037683949,0.1
IVE,0.2552872690077366,0.2858224363386098,0.4184730250481695,0.4331828442437923,0.5862389283305285,1.0,0.7855082535973537
JEPI,0.18088965447360422,0.4964211975223677,0.15956165703275532,1.0,0.7709895423980879,0.9951849814330901,0.5403086924758603
IWB,0.30856691195835473,0.24865794907088787,0.5615366088631984,0.3153498871331829,0.609164092728494,0.7525154724247007,0.4102228047182176
DIA,0.23822403213623738,0.2610461114934619,0.41750963391136797,0.40880361173814905,0.766696224282827,0.5831233667996149,0.1401401456179185
DFAC,0.32873147018786786,0.27343427391603586,0.5266136801541426,0.309255079006772,0.6811621970183015,0.8653527712831796,1.0
VONG,0.44301721202249444,0.13716448726772196,0.6687138728323699,0.2036117381489842,0.6230855141089049,0.3474597716957777,0.6419621480968707
XLE,0.4620335363918788,0.16194081211286998,0.34308766859344897,0.5957110609480814,0.912178040856741,0.1,0.102356646245865
SCHB,0.31372581208532624,0.1,0.5579238921001927,0.3397291196388262,0.7724717115396731,0.6689767569797826,0.5883806641731217
DGRO,0.18984573781162567,0.16194081211286998,0.41919556840077066,0.5266365688487585,0.6434018692466819,0.8757378627424012,0.5587333813071685
XLV,0.2665873121565176,0.16194081211286998,0.19303949903660889,0.4474040632054177,0.8868883329159837,0.1,0.1
SPDW,0.22637239838444648,0.1,0.451228323699422,0.7663656884875846,0.7401470352586483,,0.2412419933402102
VNQ,0.3448022122355912,0.22388162422573993,0.2303709055876686,0.8984198645598195,0.7452541114125695,0.1,0.34674028735050355
JEPQ,0.35007929465113313,0.4964211975223677,0.33080443159922923,1.0,0.7544528598601556,0.3919460871957089,0.4991794285276502
VBR,0.4530197862505683,0.12477632484514799,0.43268304431599225,0.4880361173814899,0.5135588943076639,0.9097771970843074,0.83052832325974
SPYV,0.25363296049561146,0.112388162422574,0.41726878612716767,0.4697516930022574,0.6815002216290791,1.0,0.18561003838818863
DYNF,0.3167404672236823,0.3849277357192018,0.6846098265895953,0.309255079006772,0.6368546356246609,0.4552097373126117,0.38321371796310033
GDX,0.8575083595095754,0.6946317962835514,1.0,0.2401805869074492,0.8675032936113486,,0.41529070228769527
CGDV,0.21094350668025233,0.4716448726772198,0.6345134874759152,0.37223476297968405,0.6757644582682107,0.7368821345069453,0.7461273896852606
VGK,0.24530091017131966,0.13716448726772196,0.3965558766859345,0.7115124153498871,0.6728492636637109,,0.27154595227606665
XLI,0.32460002004214483,0.16194081211286998,0.6015173410404624,0.35801354401805874,0.8578028398698913,0.12475587952138632,0.1
EFV,0.2211419010666208,0.44686854783207175,0.5051782273603083,0.9146726862302482,0.6611812593536374,,0.41398227521841324
ACWI,0.25430739605475605,0.45925671025464576,0.518184007707129,0.42302483069977437,0.7033637371700887,0.7107151698528399,0.547397510650465
MGK,0.4578218467861219,0.12477632484514799,0.7070086705202312,0.17923250564334087,0.4997838751148995,0.29709393480951723,0.7884124035165003
IDEV,0.21814981086339458,0.112388162422574,0.4203998073217726,0.7846501128668173,0.5641714974376162,,0.3368868629216065
TQQQ,1.0,1.0,1.0,0.2523702031602709,0.9157326038002371,,0.5259767372502238
IUSG,0.4173056296541317,0.112388162422574,0.6764210019267822,0.2178329571106095,0.5097580825435166,0.3443281529363223,0.8782391231185547
EEM,0.34438639732411436,0.9547832071576052,0.48904142581888244,0.5388261851015802,0.8815050785237555,,0.529887243246497
VXF,0.5195038364567313,0.12477632484514799,0.5121628131021194,0.3397291196388262,0.48881817380543957,0.8611566497043046,0.39473017453902715
XLU,0.3329833953478679,0.16194081211286998,0.36813583815028905,0.6261851015801354,0.8432996562886161,0.1,0.1
MDY,0.4416141826840121,0.3477632484514799,0.422567437379576,0.33566591422121894,0.5257503189105788,0.8261765919405857,0.3528506581809526
SOXX,0.9808316073312753,0.4840330350997938,1.0,0.2036117381489842,0.7657556891048634,0.10779810204923669,0.48243583043529426
IUSV,0.2618203612107383,0.112388162422574,0.41678709055876684,0.46772009029345374,0.5049710347868774,1.0,0.9273453596259136
XLC,0.32455726011374275,0.16194081211286998,0.7139932562620424,0.3559819413092551,0.7417406633386131,0.1,0.1
AVUV,0.5752731656955917,0.3725395732966278,0.504937379576108,0.38645598194130926,0.5192277348713285,0.7316710218676935,0.19008200242422915
FNDX,0.24283402046665953,0.3725395732966278,0.5030105973025049,0.4291196388261852,0.643541453694126,1.0,0.8856250872147906
FNDF,0.23374836426989176,0.3725395732966278,0.5273362235067438,0.7602708803611739,0.539705905286513,1.0,0.5417747218019192
USMV,0.1,0.24865794907088787,0.31587186897880537,0.42302483069977437,0.6193895991373319,0.8234286893137118,0.8400287843010641
DVY,0.2674351573711284,0.5335856847900896,0.3288776493256262,0.8029345372460497,0.46378666373221417,0.7543474075092833,0.6351425671109262
MTUM,0.4211769267085799,0.24865794907088787,0.6682321772639692,0.2665914221218961,0.5132347544947422,0.5474625223490578,0.48542534824352834
VOOG,0.4204861213254769,0.14955264969029597,0.6894267822736031,0.20970654627539506,0.4405674265459714,0.40598267088433493,0.7478725063410283
XLY,0.5147518773236047,0.16194081211286998,0.49723025048169556,0.2665914221218961,0.8146032512461517,0.1020052262412323,0.1
AVEM,0.35728429803912043,0.4716448726772198,0.5376926782273603,0.597742663656885,0.5040145483719027,,0.5325139475261097
VOE,0.2934130879419374,0.12477632484514799,0.4158236994219653,0.5042889390519187,0.4407324161360181,1.0,0.41075635402501387
VBK,0.540930754017177,0.12477632484514799,0.46375240847784194,0.20564334085778785,0.436933587434967,0.7261009489753816,0.690231122615103
RDVY,0.3503869475545251,0.6450791465932555,0.5275770712909441,0.309255079006772,0.5078886362340866,0.5963553844037958,0.5131764789576362
SCHA,0.533914074881158,0.112388162422574,0.4702552986512524,0.3376975169300226,0.6207577294015435,0.8190840324577086,0.7942912960323085
SDY,0.2045926208341981,0.4964211975223677,0.26433044315992293,0.6139954853273137,0.43069889281221396,0.929557144821895,0.32574963677604885
CGGR,0.4402663034962748,0.5459738472126636,0.6891859344894027,0.12234762979683973,0.5974276907430787,0.7042662632375188,0.8028625604347196
EMXC,0.36006664541810196,0.3725395732966278,0.5880298651252409,0.6363431151241535,0.6049842570745483,,0.44155117832312296
EWJ,0.32704174322136537,0.6698554714384035,0.47338631984585744,0.979683972911964,0.7461597401847226,,0.30554863917565267
DFIV,0.23808703286570032,0.3973158981417758,0.5622591522157997,0.654627539503386,0.49236842641736217,,0.8432120215499197
IYW,0.5641375038523435,0.5335856847900896,0.8206888246628131,0.1304740406320542,0.520972166198918,0.1441768670059139,0.44556675249058086
IWP,0.47409246580990616,0.3477632484514799,0.4478564547206165,0.17313769751693003,0.4925775757150567,0.7261009489753816,0.20097954180427224
VYMI,0.2026028140867808,0.14955264969029597,0.49506262042389204,0.8395033860045148,0.4594277779124844,,0.5811211102203422
DFUS,0.31664378072353916,0.17432897453544394,0.5690028901734104,0.2970654627539504,0.44171866534476195,0.7295172603493327,0.406517509993789
AVDV,0.24926017424058045,0.5088093599449417,0.6256021194605009,0.7094808126410835,0.4492008515480252,,0.5913898822634531
OEF,0.3338978662211656,0.31059876118375784,0.6270472061657033,0.29909706546275394,0.4458150707646664,0.4641342318800714,0.3506310930646799
EWY,0.6975061957150412,0.7937370956641433,0.8585019267822736,0.4433408577878104,0.7360485162144146,,0.578131592412108
IWV,0.3139644693881738,0.31059876118375784,0.5569605009633912,0.3011286681715576,0.40463980910167036,0.7127575299133543,0.7062753606930121
COWZ,0.3639280766243662,0.6698554714384035,0.3339354527938343,0.518510158013544,0.5652513649983965,0.8322665383028468,0.9624939462674806
VONV,0.23217330328724875,0.13716448726772196,0.43460982658959535,0.4697516930022574,0.466582893311857,1.0,0.7688155479004151
SPYG,0.4206054499769007,0.112388162422574,0.7098988439306358,0.2178329571106095,0.733878605537992,0.4159964241507358,0.20185456266741822
VOT,0.39591764685277403,0.12477632484514799,0.41871387283236994,0.24627539503386006,0.4007752599838652,0.7231426213725759,0.4318504310804784
SPEM,0.31829051611318726,0.14955264969029597,0.4377408477842004,0.6769751693002257,0.5558318283143895,,0.4938308019382889
SPHQ,0.2545423054044404,0.24865794907088787,0.5653901734104047,0.3417607223476298,0.5028875751312709,0.6436514922294043,0.8234280132539121
SPMD,0.4418314986307339,0.1,0.42112235067437376,0.3783295711060949,0.5214045430050149,0.7809352221152522,0.2049951159717301
VHT,0.26441797785861326,0.17432897453544394,0.21038053949903662,0.44943566591422124,0.3884775415782625,0.1,0.41962640603923096
FTEC,0.5813426343103962,0.16689607708189957,0.763126204238921,0.19345372460496615,0.42999108361221683,0.1,0.35684981544666283
DGRW,0.22929052145496087,0.4097040605643497,0.4411127167630058,0.39051918735891655,0.4476192438843274,0.8751189657543665,0.5687690333454636
BBJP,0.33890584441165006,0.29821059876118383,0.4683285163776493,1.0,0.5244696670201822,,0.1
