ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
VOO,3.0,2026-04-14,18.64,1.19,14.85,-18.97,0.03,6.35,1421.13,-0.100432,2026-05-22
IVV,3.0,2026-04-14,18.65,1.23,14.95,-19.01,0.03,6.07,720.54,-0.132045,2026-05-22
SPY,3.0,2026-04-14,18.62,1.14,15.25,-19.0,0.095,70.29,651.59,-0.093244,2026-05-22
VTI,3.0,2026-04-14,18.33,1.17,15.43,-19.59,0.03,3.61,1991.75,0.053518,2026-05-22
QQQ,3.0,2026-04-14,24.86,0.49,19.67,-22.88,0.18,46.62,372.51,-0.124827,2026-05-22
VEA,3.0,2026-04-14,13.91,2.94,15.15,-14.37,0.03,12.01,282.2,0.071883,2026-05-22
VUG,3.0,2026-04-14,23.55,0.46,19.39,-23.04,0.03,1.14,317.92,-0.005049,2026-05-22
IEFA,3.0,2026-04-14,12.01,3.52,15.24,-13.86,0.07,9.79,169.63,0.051062,2026-05-22
VTV,3.0,2026-04-14,13.09,2.02,12.44,-15.51,0.03,2.69,225.66,0.065957,2026-05-22
IEMG,3.0,2026-04-14,15.1,2.68,17.25,-18.96,0.09,11.24,134.08,0.119038,2026-05-22
VXUS,3.0,2026-04-14,13.38,2.99,14.83,-15.04,0.05,4.07,582.27,0.109194,2026-05-22
IWF,3.0,2026-04-14,22.98,0.4,19.16,-23.52,0.18,1.55,111.77,0.080488,2026-05-22
VWO,3.0,2026-04-14,12.12,2.71,16.1,-19.4,0.06,9.61,146.31,0.120689,2026-05-22
VGT,3.0,2026-04-14,26.05,0.44,23.37,-27.41,0.09,0.53,121.28,0.037497,2026-05-22
IJH,3.0,2026-04-14,12.91,1.32,18.14,-24.62,0.05,8.86,106.05,-0.00233,2026-05-22
VIG,3.0,2026-04-14,12.81,1.61,12.41,-15.36,0.04,1.1,117.05,0.068892,2026-05-22
IJR,3.0,2026-04-14,11.51,1.29,20.64,-28.91,0.06,4.52,91.99,0.110833,2026-05-22
VO,3.0,2026-04-14,12.73,1.51,14.91,-19.71,0.03,0.67,198.24,0.007794,2026-05-22
XLK,3.0,2026-04-14,25.31,0.57,23.35,-25.79,0.08,13.07,84.2,-0.199724,2026-05-22
SCHD,3.0,2026-04-14,7.87,3.44,13.39,-17.64,0.06,13.72,84.82,0.06886,2026-05-22
RSP,3.0,2026-04-14,11.27,1.62,14.09,-18.49,0.2,9.11,83.24,-0.025296,2026-05-22
ITOT,3.0,2026-04-14,18.38,1.13,15.36,-19.67,0.03,2.0,79.62,0.099426,2026-05-22
EFA,3.0,2026-04-14,12.06,3.35,15.19,-14.05,0.32,15.22,71.45,0.010665,2026-05-22
