ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
VOO,1.0,0.2993545084199876,0.1,0.5639450867052024,0.3417607223476298,0.9049517315363028,0.7144037959015265
VO,1.0,0.311656989456879,0.1,0.4216040462427746,0.4067720090293454,0.6374220466142255,1.0
SCHF,1.0,0.2359629056542065,0.1,0.4502649325626203,0.790744920993228,0.9323217227917112,0.8418718195571446
SCHX,1.0,0.30828679552226,0.1,0.5658718689788054,0.3376975169300226,0.96798235950622,0.719788199697428
JEPI,1.0,0.1808896544736042,0.4964211975223677,0.1595616570327553,1.0,0.7709895423980879,0.99518498143309
HELO,1.0,0.1062620326274192,0.6822436338609774,0.4049855491329479,0.2340857787810384,0.235753424426266,0.5188818594416174
SCHK,1.0,0.3130047914284656,0.1,0.5714113680154143,0.3376975169300226,0.3287734842859951,0.7231426213725759
VYM,1.0,0.203794954238165,0.112388162422574,0.422567437379576,0.581489841986456,0.6928381939613915,0.9872630999862464
XLC,1.0,0.3245572601137427,0.1619408121128699,0.7139932562620424,0.3559819413092551,0.7417406633386131,0.1
DIVO,1.0,0.1449669863535421,0.7565726083964215,0.3124999999999999,1.0,0.3177871942360877,0.7538894237381376
SCHY,1.0,0.1770169099133147,0.1619408121128699,0.3753612716763005,0.817155756207675,0.1772305591798367,1.0
USMV,1.0,0.1,0.2486579490708878,0.3158718689788053,0.4230248306997743,0.6193895991373319,0.8234286893137118
BBUS,1.0,0.3059679945153249,0.1,0.5747832369942196,0.3316027088036117,0.2994950204676364,0.687110438729198
MGV,1.0,0.175949224377823,0.1247763248451479,0.4331647398843931,0.518510158013544,0.3542104427944395,0.8844890661532112
SPYG,1.0,0.4206054499769007,0.112388162422574,0.7098988439306358,0.2178329571106095,0.733878605537992,0.4159964241507358
VTV,1.0,0.2043841015889575,0.1,0.4302745664739884,0.5103837471783296,0.7805502121623384,0.9545977169577774
VUG,1.0,0.4410538725956717,0.1,0.6822013487475915,0.1934537246049661,0.6821913591490366,0.3234218126805115
HDV,1.0,0.1163674961884227,0.1619408121128699,0.3264691714836223,0.6932279909706547,0.4021866382490314,0.5911071379452619
IVV,0.9999,0.3017210408874922,0.1,0.5641859344894027,0.3498871331828442,0.897939806413173,0.7006890386466784
VV,0.9986,0.3104686744748087,0.1,0.5702071290944124,0.3295711060948081,0.5449181259552391,0.7099106037683949
USPX,0.9952,0.3145071088574008,0.1,0.5747832369942196,0.3437923250564334,0.1328096193446996,0.6092284417549166
ITOT,0.9922,0.3189625817304742,0.1,0.5576830443159922,0.3295711060948081,0.7431770379952389,0.7261009489753816
SCHG,0.9865,0.4482929164267306,0.112388162422574,0.6911127167630058,0.1873589164785553,0.916653039489246,0.3882450832072616
SPTM,0.9854,0.3028415066318715,0.1,0.5596098265895953,0.3437923250564334,0.410050026159753,0.6920987484527574
VTI,0.9802,0.3189776507592776,0.1,0.5564788053949904,0.3376975169300226,0.8207374171143924,0.6967528538027781
CGDV,0.9773,0.2109435066802523,0.4716448726772198,0.6345134874759152,0.372234762979684,0.6757644582682107,0.7368821345069453
SCHB,0.9763,0.3137258120853262,0.1,0.5579238921001927,0.3397291196388262,0.7724717115396731,0.6689767569797826
XLP,0.9712,0.1839896827580782,0.1619408121128699,0.1754576107899807,0.6383747178329571,0.791299414578317,0.1
SPLV,0.9708,0.1036754074016178,0.3725395732966278,0.2428949903660886,0.5306997742663657,0.4662591044677164,0.6625402283042221
EMLP,0.9703,0.1643463454255159,1.0,0.5254094412331407,0.6586907449209933,0.2248536304754938,0.2309462247283729
SCHD,0.9673,0.2534645995884633,0.1371644872677219,0.3045520231213873,0.7988713318284424,1.0,0.8617507908128179
PBUS,0.9653,0.3093984645651579,0.112388162422574,0.5788776493256262,0.3316027088036117,0.352938852582547,0.6878778709943612
SPMO,0.9653,0.3929493451636818,0.2238816242257399,0.8678949903660886,0.2848758465011287,0.4916871972678376,0.3635634713244394
MGC,0.9606,0.3182654268038982,0.1247763248451479,0.6109104046242775,0.3072234762979684,0.311964125200857,0.496341631137395
VIG,0.9599,0.2015766649006871,0.112388162422574,0.4235308285163776,0.4270880361173815,0.6787849490840923,0.7717136569935358
SPYD,0.9599,0.2834281071168261,0.1495526496902959,0.261921965317919,0.9878103837471784,0.4010918619842692,0.8870141658643926
