ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Cross_Score
VTV,1.0,0.2043841015889575,0.1,0.4302745664739884,0.5103837471783296,0.7805502121623384,0.9545977169577774,0.9198
SCHF,1.0,0.2359629056542065,0.1,0.4502649325626203,0.790744920993228,0.9323217227917112,0.8418718195571446,0.8902
VYM,1.0,0.203794954238165,0.112388162422574,0.422567437379576,0.581489841986456,0.6928381939613915,0.9872630999862464,0.8699
MGV,1.0,0.175949224377823,0.1247763248451479,0.4331647398843931,0.518510158013544,0.3542104427944395,0.8844890661532112,0.8429
VOO,1.0,0.2993545084199876,0.1,0.5639450867052024,0.3417607223476298,0.9049517315363028,0.7144037959015265,0.8279
IVV,0.9999,0.3017210408874922,0.1,0.5641859344894027,0.3498871331828442,0.897939806413173,0.7006890386466784,0.8218
SCHX,1.0,0.30828679552226,0.1,0.5658718689788054,0.3376975169300226,0.96798235950622,0.719788199697428,0.8218
SCHV,0.9067,0.2223855978478884,0.112388162422574,0.4297928709055877,0.5002257336343116,0.5342948475945128,0.9436927520286068,0.8077
VIG,0.9599,0.2015766649006871,0.112388162422574,0.4235308285163776,0.4270880361173815,0.6787849490840923,0.7717136569935358,0.807
VV,0.9986,0.3104686744748087,0.1,0.5702071290944124,0.3295711060948081,0.5449181259552391,0.7099106037683949,0.7903
ITOT,0.9922,0.3189625817304742,0.1,0.5576830443159922,0.3295711060948081,0.7431770379952389,0.7261009489753816,0.7836
VTI,0.9802,0.3189776507592776,0.1,0.5564788053949904,0.3376975169300226,0.8207374171143924,0.6967528538027781,0.7821
SCHB,0.9763,0.3137258120853262,0.1,0.5579238921001927,0.3397291196388262,0.7724717115396731,0.6689767569797826,0.7815
BBUS,1.0,0.3059679945153249,0.1,0.5747832369942196,0.3316027088036117,0.2994950204676364,0.687110438729198,0.779
SPTM,0.9854,0.3028415066318715,0.1,0.5596098265895953,0.3437923250564334,0.410050026159753,0.6920987484527574,0.7781
SCHK,1.0,0.3130047914284656,0.1,0.5714113680154143,0.3376975169300226,0.3287734842859951,0.7231426213725759,0.7764
SPYV,0.9234,0.2536329604956114,0.112388162422574,0.4172687861271676,0.4697516930022574,0.6815002216290791,1.0,0.7611
PBUS,0.9653,0.3093984645651579,0.112388162422574,0.5788776493256262,0.3316027088036117,0.352938852582547,0.6878778709943612,0.7422
USPX,0.9952,0.3145071088574008,0.1,0.5747832369942196,0.3437923250564334,0.1328096193446996,0.6092284417549166,0.7398
VT,0.91,0.2558449002896164,0.1371644872677219,0.509995183044316,0.4697516930022574,0.759315526860511,0.7439499381103011,0.7362
IUSV,0.9204,0.2618203612107383,0.112388162422574,0.4167870905587668,0.4677200902934537,0.5049710347868774,1.0,0.7344
VONV,0.8778,0.2321733032872487,0.1371644872677219,0.4346098265895953,0.4697516930022574,0.466582893311857,1.0,0.7264
DGRO,0.9268,0.1898457378116256,0.1619408121128699,0.4191955684007706,0.5266365688487585,0.6434018692466819,0.8757378627424012,0.7217
HDV,1.0,0.1163674961884227,0.1619408121128699,0.3264691714836223,0.6932279909706547,0.4021866382490314,0.5911071379452619,0.719
VO,1.0,0.311656989456879,0.1,0.4216040462427746,0.4067720090293454,0.6374220466142255,1.0,0.7174
SCHY,1.0,0.1770169099133147,0.1619408121128699,0.3753612716763005,0.817155756207675,0.1772305591798367,1.0,0.7117
SPYG,1.0,0.4206054499769007,0.112388162422574,0.7098988439306358,0.2178329571106095,0.733878605537992,0.4159964241507358,0.6943
MGC,0.9606,0.3182654268038982,0.1247763248451479,0.6109104046242775,0.3072234762979684,0.311964125200857,0.496341631137395,0.6853
VONE,0.8938,0.307687627890982,0.1371644872677219,0.56876204238921,0.3316027088036117,0.2801396149087624,0.7461903452069865,0.6772
VUG,1.0,0.4410538725956717,0.1,0.6822013487475915,0.1934537246049661,0.6821913591490366,0.3234218126805115,0.6651
SCHG,0.9865,0.4482929164267306,0.112388162422574,0.6911127167630058,0.1873589164785553,0.916653039489246,0.3882450832072616,0.6578
VOE,0.8304,0.2934130879419374,0.1247763248451479,0.4158236994219653,0.5042889390519187,0.4407324161360181,1.0,0.656
XLC,1.0,0.3245572601137427,0.1619408121128699,0.7139932562620424,0.3559819413092551,0.7417406633386131,0.1,0.6511
VTHR,0.8628,0.3175469305211966,0.1371644872677219,0.5610549132947977,0.3356659142212189,0.2104434887700709,0.7006890386466784,0.647
IUSG,0.9567,0.4173056296541317,0.112388162422574,0.6764210019267822,0.2178329571106095,0.5097580825435166,0.3443281529363223,0.6452
USMV,1.0,0.1,0.2486579490708878,0.3158718689788053,0.4230248306997743,0.6193895991373319,0.8234286893137118,0.6386
GSUS,0.8844,0.3075117710775075,0.1495526496902959,0.5829720616570327,0.3316027088036117,0.182788946307418,0.6171008114427176,0.6351
USCA,0.8387,0.3082717264934564,0.1495526496902959,0.5506984585741811,0.3519187358916479,0.175538322206456,0.7520698665933158,0.6308
SPY,0.846,0.3068447542085386,0.1805230557467309,0.5634633911368016,0.3316027088036117,1.0,0.6991170402970704,0.6276
VOOV,0.7951,0.2557193765270211,0.1495526496902959,0.4126926782273603,0.4656884875846502,0.255408088001666,1.0,0.627
SCHC,0.8051,0.2817498556582655,0.1619408121128699,0.4418352601156069,0.8415349887133183,0.2887011373011163,0.960501994223628,0.6229
SPMO,0.9653,0.3929493451636818,0.2238816242257399,0.8678949903660886,0.2848758465011287,0.4916871972678376,0.3635634713244394,0.6197
ILCG,0.9518,0.4447167276210301,0.112388162422574,0.6930394990366089,0.2015801354401806,0.180624133938317,0.3146458533901801,0.6105
SCHD,0.9673,0.2534645995884633,0.1371644872677219,0.3045520231213873,0.7988713318284424,1.0,0.8617507908128179,0.6066
DFUS,0.8026,0.3166437807235391,0.1743289745354439,0.5690028901734104,0.2970654627539504,0.4417186653447619,0.7295172603493327,0.6014
MGK,0.9058,0.4578218467861219,0.1247763248451479,0.7070086705202312,0.1792325056433408,0.4997838751148995,0.2970939348095172,0.5965
LRGF,0.8227,0.3184350112900506,0.1619408121128699,0.5704479768786128,0.3498871331828442,0.1993901427204536,0.6350983358547654,0.5959
VOOG,0.8485,0.4204861213254769,0.1495526496902959,0.6894267822736031,0.209706546275395,0.4405674265459714,0.4059826708843349,0.5836
VONG,0.8297,0.4430172120224944,0.1371644872677219,0.6687138728323699,0.2036117381489842,0.6230855141089049,0.3474597716957777,0.5728
XLI,0.8592,0.3246000200421448,0.1619408121128699,0.6015173410404624,0.3580135440180587,0.8578028398698913,0.1247558795213863,0.5724
VB,0.956,0.4798555823164735,0.1,0.4473747591522158,0.372234762979684,0.6458696403555046,0.870217301609132,0.5667
SCHM,0.8565,0.4239405343217455,0.112388162422574,0.4432803468208092,0.3864559819413092,0.4729081806823782,0.8901952963828907,0.5643
SPHQ,0.8554,0.2545423054044404,0.2486579490708878,0.5653901734104047,0.3417607223476298,0.5028875751312709,0.6436514922294043,0.5611
JMOM,0.8312,0.3378031265025347,0.2114934618031659,0.6622109826589595,0.2787810383747178,0.1499450755189701,0.5679975244120478,0.5578
FCOM,0.9069,0.3949679891735512,0.1668960770818995,0.7368737957610789,0.3031602708803612,0.1343426586436029,0.1,0.556
VOX,0.8931,0.3941125708364633,0.1743289745354439,0.7371146435452793,0.3133182844243792,0.2679017584284606,0.1,0.554
XLF,0.8618,0.27655324435121,0.1619408121128699,0.5092726396917149,0.4250564334085779,0.943341413405758,0.1036638701691651,0.554
SPMD,0.8828,0.4418314986307339,0.1,0.4211223506743737,0.3783295711060949,0.5214045430050149,0.7809352221152522,0.5468
SNPE,0.7906,0.3151653290248886,0.1867171369580179,0.5771917148362236,0.3133182844243792,0.1907489447414184,0.5018498143309035,0.5437
IWX,0.8514,0.1786674704722767,0.3105987611837578,0.4389450867052022,0.4372460496613995,0.2052737388894495,1.0,0.528
IJH,0.8136,0.4430863620553404,0.1247763248451479,0.4259393063583815,0.3681715575620767,0.9579901780057772,0.8153087608306971,0.5235
VXF,0.8144,0.5195038364567313,0.1247763248451479,0.5121628131021194,0.3397291196388262,0.4888181738054395,0.8611566497043046,0.522
SCHA,0.846,0.533914074881158,0.112388162422574,0.4702552986512524,0.3376975169300226,0.6207577294015435,0.8190840324577086,0.5107
CGDV,0.9773,0.2109435066802523,0.4716448726772198,0.6345134874759152,0.372234762979684,0.6757644582682107,0.7368821345069453,0.5007
FIDU,0.7996,0.3728401687333662,0.1668960770818995,0.6272880539499037,0.3112866817155756,0.1396196732777972,0.1247558795213863,0.4999
SPYD,0.9599,0.2834281071168261,0.1495526496902959,0.261921965317919,0.9878103837471784,0.4010918619842692,0.8870141658643926,0.4912
SPSM,0.9101,0.5465205380844291,0.1,0.386921965317919,0.4230248306997743,0.5289323320718105,0.8882890936597441,0.4874
DLN,0.8394,0.1690996053537972,0.4097040605643497,0.4454479768786127,0.4880361173814899,0.2603999915031367,0.9330477238344104,0.4675
DYNF,0.7956,0.3167404672236823,0.3849277357192018,0.6846098265895953,0.309255079006772,0.6368546356246609,0.4552097373126117,0.4556
RWL,0.8057,0.1927285196439135,0.5459738472126636,0.4993978805394991,0.3803611738148984,0.3071832066670562,0.9833516710218676,0.4067
SPLV,0.9708,0.1036754074016178,0.3725395732966278,0.2428949903660886,0.5306997742663657,0.4662591044677164,0.6625402283042221,0.4064
ITA,0.8136,0.3230837027311087,0.5335856847900896,0.7595134874759153,0.199548532731377,0.4148889577514315,0.100198047036171,0.3757
PPA,0.8918,0.2932156581238849,0.7813489332415693,0.8336946050096339,0.1812641083521445,0.2993563968329702,0.1149773071104387,0.3449
XLP,0.9712,0.1839896827580782,0.1619408121128699,0.1754576107899807,0.6383747178329571,0.791299414578317,0.1,0.3393
HELO,1.0,0.1062620326274192,0.6822436338609774,0.4049855491329479,0.2340857787810384,0.235753424426266,0.5188818594416174,0.3352
JEPI,1.0,0.1808896544736042,0.4964211975223677,0.1595616570327553,1.0,0.7709895423980879,0.99518498143309,0.2979
DIVO,1.0,0.1449669863535421,0.7565726083964215,0.3124999999999999,1.0,0.3177871942360877,0.7538894237381376,0.2968
XLV,0.8015,0.2665873121565176,0.1619408121128699,0.1930394990366088,0.4474040632054177,0.8868883329159837,0.1,0.2822
EMLP,0.9703,0.1643463454255159,1.0,0.5254094412331407,0.6586907449209933,0.2248536304754938,0.2309462247283729,0.2773
ACIO,0.9152,0.1248049447765731,1.0,0.4353323699421965,0.1853273137697517,0.1590281219737718,0.5462618621922706,0.2586
