ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
USMV,0.1,0.2486579490708878,0.3158718689788053,0.4230248306997743,0.6193895991373319,0.8234286893137118,0.8400287843010641,1.4508
SCHF,0.2359629056542065,0.1,0.4502649325626203,0.790744920993228,0.9323217227917112,0.8418718195571446,0.5421785775849096,1.4089
HDV,0.1163674961884227,0.1619408121128699,0.3264691714836223,0.6932279909706547,0.4021866382490314,0.5911071379452619,0.7175800392363952,1.3106
DIVO,0.1449669863535421,0.7565726083964215,0.3124999999999999,1.0,0.3177871942360877,0.7538894237381376,0.56126650924682,1.1579
SCHY,0.1770169099133147,0.1619408121128699,0.3753612716763005,0.817155756207675,0.1772305591798367,1.0,0.4232299159728245,1.1298
HELO,0.1062620326274192,0.6822436338609774,0.4049855491329479,0.2340857787810384,0.235753424426266,0.5188818594416174,0.5458099962514742,1.1232
VTV,0.2043841015889575,0.1,0.4302745664739884,0.5103837471783296,0.7805502121623384,0.9545977169577774,0.514798468850297,1.0932
MGV,0.175949224377823,0.1247763248451479,0.4331647398843931,0.518510158013544,0.3542104427944395,0.8844890661532112,0.6323352769120902,1.0806
VUG,0.4410538725956717,0.1,0.6822013487475915,0.1934537246049661,0.6821913591490366,0.3234218126805115,0.3982286163014362,1.08
SCHX,0.30828679552226,0.1,0.5658718689788054,0.3376975169300226,0.96798235950622,0.719788199697428,0.1,1.061
VO,0.311656989456879,0.1,0.4216040462427746,0.4067720090293454,0.6374220466142255,1.0,0.4193128432158521,1.0476
XLC,0.3245572601137427,0.1619408121128699,0.7139932562620424,0.3559819413092551,0.7417406633386131,0.1,0.1,1.0285
VYM,0.203794954238165,0.112388162422574,0.422567437379576,0.581489841986456,0.6928381939613915,0.9872630999862464,0.4883541235152965,1.0096
BBUS,0.3059679945153249,0.1,0.5747832369942196,0.3316027088036117,0.2994950204676364,0.687110438729198,0.4475975232367564,1.0085
SCHK,0.3130047914284656,0.1,0.5714113680154143,0.3376975169300226,0.3287734842859951,0.7231426213725759,0.5259192780941072,1.008
VOO,0.2993545084199876,0.1,0.5639450867052024,0.3417607223476298,0.9049517315363028,0.7144037959015265,0.2416392823625016,1.0064
