date,ticker,sentiment_score,news_count,weighted_news_count,lookback_days,half_life_days
2025-09-12,AAXJ,0.0,0,0.0,180,60
2025-09-15,AAXJ,0.0,0,0.0,180,60
2025-09-16,AAXJ,0.0,0,0.0,180,60
2025-09-17,AAXJ,0.0,0,0.0,180,60
2025-09-18,AAXJ,0.0,1,1.0,180,60
2025-09-19,AAXJ,0.0,1,0.988514,180,60
2025-09-22,AAXJ,0.0,1,0.954842,180,60
2025-09-23,AAXJ,0.0,1,0.943874,180,60
2025-09-24,AAXJ,0.0,1,0.933033,180,60
2025-09-25,AAXJ,0.0,1,0.922316,180,60
2025-09-26,AAXJ,0.0,1,0.911722,180,60
2025-09-29,AAXJ,0.0,1,0.880666,180,60
2025-09-30,AAXJ,0.0,1,0.870551,180,60
2025-10-01,AAXJ,0.0,1,0.860551,180,60
2025-10-02,AAXJ,0.0,1,0.850667,180,60
2025-10-03,AAXJ,0.0,1,0.840896,180,60
2025-10-06,AAXJ,0.0,1,0.812252,180,60
2025-10-07,AAXJ,0.0,1,0.802923,180,60
2025-10-08,AAXJ,0.0,1,0.793701,180,60
2025-10-09,AAXJ,-0.323981,2,1.784584,180,60
2025-10-10,AAXJ,-0.323981,2,1.764086,180,60
2025-10-13,AAXJ,-0.323981,2,1.703995,180,60
2025-10-14,AAXJ,-0.323981,2,1.684423,180,60
2025-10-15,AAXJ,-0.545767,3,2.665076,180,60
2025-10-16,AAXJ,-0.545767,3,2.634465,180,60
2025-10-17,AAXJ,-0.545767,3,2.604205,180,60
2025-10-20,AAXJ,-0.545767,3,2.515497,180,60
2025-10-21,AAXJ,-0.389234,4,3.486604,180,60
2025-10-22,AAXJ,-0.389234,4,3.446557,180,60
2025-10-23,AAXJ,-0.389234,4,3.40697,180,60
2025-10-24,AAXJ,-0.389234,4,3.367837,180,60
2025-10-27,AAXJ,-0.389234,4,3.253116,180,60
2025-10-28,AAXJ,-0.389234,4,3.215751,180,60
2025-10-29,AAXJ,-0.186376,6,4.178815,180,60
2025-10-30,AAXJ,-0.186376,6,4.130817,180,60
2025-10-31,AAXJ,-0.186376,6,4.083371,180,60
2025-11-03,AAXJ,-0.186376,6,3.944276,180,60
2025-11-04,AAXJ,-0.186376,6,3.898972,180,60
2025-11-05,AAXJ,-0.186376,6,3.854189,180,60
2025-11-06,AAXJ,-0.186376,6,3.80992,180,60
2025-11-07,AAXJ,-0.186376,6,3.766159,180,60
2025-11-10,AAXJ,-0.186376,6,3.63787,180,60
2025-11-11,AAXJ,-0.186376,6,3.596085,180,60
2025-11-12,AAXJ,-0.186376,6,3.554781,180,60
2025-11-13,AAXJ,-0.186376,6,3.513951,180,60
2025-11-14,AAXJ,-0.186376,6,3.473589,180,60
2025-11-17,AAXJ,-0.349966,7,4.355266,180,60
2025-11-18,AAXJ,-0.349966,7,4.305242,180,60
2025-11-19,AAXJ,-0.349966,7,4.255792,180,60
2025-11-20,AAXJ,-0.349966,7,4.20691,180,60
2025-11-21,AAXJ,-0.349966,7,4.158589,180,60
2025-11-24,AAXJ,-0.123671,8,5.005447,180,60
2025-11-25,AAXJ,-0.123671,8,4.947954,180,60
2025-11-26,AAXJ,-0.267689,9,5.891122,180,60
2025-11-27,AAXJ,-0.267689,9,5.823457,180,60
2025-11-28,AAXJ,-0.267689,9,5.756569,180,60
2025-12-01,AAXJ,-0.267689,9,5.560479,180,60
2025-12-02,AAXJ,-0.267689,9,5.496611,180,60
2025-12-03,AAXJ,-0.36996,10,6.433477,180,60
2025-12-04,AAXJ,-0.19379,11,7.359582,180,60
2025-12-05,AAXJ,-0.19379,11,7.27505,180,60
2025-12-08,AAXJ,-0.169892,12,8.015749,180,60
2025-12-09,AAXJ,-0.169892,12,7.923681,180,60
2025-12-10,AAXJ,-0.150657,13,8.83267,180,60
2025-12-11,AAXJ,-0.150657,13,8.731218,180,60
2025-12-12,AAXJ,-0.150657,13,8.630931,180,60
2025-12-15,AAXJ,-0.150657,13,8.33693,180,60
2025-12-16,AAXJ,-0.150657,13,8.241172,180,60
2025-12-17,AAXJ,-0.150657,13,8.146514,180,60
2025-12-18,AAXJ,-0.150657,13,8.052943,180,60
2025-12-19,AAXJ,-0.150657,13,7.960447,180,60
2025-12-22,AAXJ,-0.150657,13,7.689285,180,60
2025-12-23,AAXJ,-0.150657,13,7.600966,180,60
2025-12-24,AAXJ,-0.150657,13,7.513662,180,60
2025-12-25,AAXJ,-0.150657,13,7.42736,180,60
2025-12-26,AAXJ,-0.150657,13,7.34205,180,60
2025-12-29,AAXJ,-0.150657,13,7.091952,180,60
2025-12-30,AAXJ,-0.150657,13,7.010494,180,60
2025-12-31,AAXJ,-0.150657,13,6.929972,180,60
2026-01-01,AAXJ,-0.150657,13,6.850375,180,60
2026-01-02,AAXJ,-0.150657,13,6.771691,180,60
2026-01-05,AAXJ,-0.150657,13,6.541023,180,60
2026-01-06,AAXJ,-0.150657,13,6.465893,180,60
2026-01-07,AAXJ,-0.150657,13,6.391625,180,60
2026-01-08,AAXJ,-0.150657,13,6.318211,180,60
2026-01-09,AAXJ,-0.150657,13,6.245641,180,60
2026-01-12,AAXJ,-0.150657,13,6.032891,180,60
2026-01-13,AAXJ,-0.150657,13,5.963597,180,60
2026-01-14,AAXJ,-0.150657,13,5.8951,180,60
2026-01-15,AAXJ,-0.150657,13,5.827389,180,60
2026-01-16,AAXJ,-0.150657,13,5.760455,180,60
2026-01-19,AAXJ,-0.150657,13,5.564233,180,60
2026-01-20,AAXJ,-0.127481,14,6.500322,180,60
2026-01-21,AAXJ,-0.110313,15,7.42566,180,60
2026-01-22,AAXJ,-0.026775,18,8.340369,180,60
2026-01-23,AAXJ,-0.026775,18,8.244572,180,60
2026-01-26,AAXJ,-0.026775,18,7.963731,180,60
2026-01-27,AAXJ,-0.023758,19,8.87226,180,60
2026-01-28,AAXJ,-0.023758,19,8.770353,180,60
2026-01-29,AAXJ,-0.023758,19,8.669617,180,60
2026-01-30,AAXJ,0.078141,20,9.570038,180,60
2026-02-02,AAXJ,0.078141,20,9.244048,180,60
2026-02-03,AAXJ,0.070433,21,10.137871,180,60
2026-02-04,AAXJ,0.070433,21,10.021427,180,60
2026-02-05,AAXJ,0.070433,21,9.906321,180,60
2026-02-06,AAXJ,0.070433,21,9.792538,180,60
2026-02-09,AAXJ,0.070433,21,9.458968,180,60
2026-02-10,AAXJ,0.070433,21,9.350322,180,60
2026-02-11,AAXJ,0.070433,21,9.242925,180,60
2026-02-12,AAXJ,0.086457,24,10.136761,180,60
2026-02-13,AAXJ,0.086457,24,10.02033,180,60
2026-02-16,AAXJ,0.086457,24,9.679001,180,60
2026-02-17,AAXJ,0.086457,24,9.567828,180,60
2026-02-18,AAXJ,0.086457,24,9.457932,180,60
2026-02-19,AAXJ,0.086457,24,9.349298,180,60
2026-02-20,AAXJ,0.078015,25,10.241913,180,60
2026-02-23,AAXJ,0.070853,27,10.893035,180,60
2026-02-24,AAXJ,0.070853,27,10.767918,180,60
2026-02-25,AAXJ,0.064769,28,11.644238,180,60
2026-02-26,AAXJ,0.059591,29,12.510493,180,60
2026-02-27,AAXJ,0.059591,29,12.366797,180,60
2026-03-02,AAXJ,0.073075,31,12.945539,180,60
2026-03-03,AAXJ,0.067778,32,13.796847,180,60
2026-03-04,AAXJ,0.067778,32,13.638376,180,60
2026-03-05,AAXJ,0.067778,32,13.481726,180,60
2026-03-06,AAXJ,0.127933,33,14.326875,180,60
2026-03-09,AAXJ,0.059187,34,14.83885,180,60
2026-03-10,AAXJ,0.059187,34,14.668411,180,60
2026-03-11,AAXJ,0.059187,34,14.49993,180,60
2026-03-12,AAXJ,0.015751,37,15.333384,180,60
2026-03-13,AAXJ,0.015751,37,15.157265,180,60
2026-03-16,AAXJ,0.015751,37,14.640953,180,60
2026-03-17,AAXJ,0.014853,37,15.347787,180,60
2026-03-18,AAXJ,0.014853,37,15.171503,180,60
2026-03-19,AAXJ,0.014853,37,14.997243,180,60
2026-03-20,AAXJ,0.014853,37,14.824985,180,60
2026-03-23,AAXJ,0.014853,37,14.319992,180,60
2026-03-24,AAXJ,0.014853,37,14.155513,180,60
2026-03-25,AAXJ,0.014853,37,13.992923,180,60
2026-03-26,AAXJ,0.014853,37,13.8322,180,60
2026-03-27,AAXJ,0.014853,37,13.673324,180,60
2026-03-30,AAXJ,0.014853,37,13.20756,180,60
2026-03-31,AAXJ,0.014853,37,13.055858,180,60
2026-04-01,AAXJ,0.014853,37,12.905899,180,60
2026-04-02,AAXJ,0.014853,37,12.757662,180,60
2026-04-03,AAXJ,0.014853,37,12.611128,180,60
2026-04-06,AAXJ,0.013726,38,13.181547,180,60
2026-04-07,AAXJ,0.01806,38,13.905144,180,60
2026-04-08,AAXJ,0.01806,38,13.74543,180,60
2026-04-09,AAXJ,0.01806,38,13.58755,180,60
2026-04-10,AAXJ,0.01806,38,13.431483,180,60
2026-04-13,AAXJ,0.025199,38,13.837472,180,60
2026-04-14,AAXJ,0.025199,38,13.678535,180,60
2026-04-15,AAXJ,0.025199,38,13.521424,180,60
2026-04-16,AAXJ,0.025199,38,13.366117,180,60
2026-04-17,AAXJ,0.025199,38,13.212594,180,60
2026-04-20,AAXJ,-0.020749,38,13.61612,180,60
2026-04-21,AAXJ,-0.020749,38,13.459726,180,60
2026-04-22,AAXJ,-0.020749,38,13.305127,180,60
2026-04-23,AAXJ,-0.019283,39,14.152305,180,60
2026-04-24,AAXJ,-0.019283,39,13.989752,180,60
2026-04-27,AAXJ,-0.023744,37,13.38821,180,60
2026-04-28,AAXJ,-0.023744,37,13.234433,180,60
2026-04-29,AAXJ,-0.023744,37,13.082423,180,60
2026-04-30,AAXJ,-0.023744,37,12.932158,180,60
2026-05-01,AAXJ,-0.022021,38,13.78362,180,60
2026-05-04,AAXJ,0.035511,39,14.291259,180,60
2026-05-05,AAXJ,0.035511,39,14.12711,180,60
2026-05-06,AAXJ,0.035511,39,13.964846,180,60
2026-05-07,AAXJ,0.035511,39,13.804446,180,60
2026-05-08,AAXJ,0.035511,39,13.645889,180,60
2026-05-11,AAXJ,0.035511,39,13.181059,180,60
2026-05-12,AAXJ,0.035511,39,13.029662,180,60
2026-05-13,AAXJ,0.035511,39,12.880004,180,60
2026-05-14,AAXJ,0.035511,39,12.732064,180,60
2026-05-15,AAXJ,0.092831,40,13.585824,180,60
2026-05-18,AAXJ,0.094852,40,14.000896,180,60
2026-05-19,AAXJ,0.094852,40,13.840082,180,60
2026-05-20,AAXJ,0.094852,40,13.681115,180,60
2026-05-21,AAXJ,0.094852,40,13.523974,180,60
2026-05-22,AAXJ,0.088235,39,13.243638,180,60
