date,ticker,algorithm,sentiment_score,news_count,weighted_news_count,score_30d,score_90d,score_180d
2025-09-12,VOO,30D,-0.232798,19,1.0,-0.23279813873140434,,
2025-09-15,VOO,30D,-0.114762,54,3.737115,-0.114762363901647,,
2025-09-16,VOO,30D,-0.132009,71,4.568353,-0.13200857473042518,,
2025-09-17,VOO,30D,-0.139,92,5.362053,-0.13899986440902165,,
2025-09-18,VOO,30D,-0.171356,110,6.119911,-0.17135597697935706,,
2025-09-19,VOO,30D,-0.177729,125,6.843546,-0.1777288930437656,,
2025-09-22,VOO,30D,-0.157968,144,8.824217,-0.15796845953172786,,
2025-09-23,VOO,30D,-0.162291,165,9.425729,-0.1622906814807723,,
2025-09-24,VOO,30D,-0.139838,183,10.000079,-0.13983789481515688,,
2025-09-25,VOO,30D,-0.142656,203,10.548491,-0.1426562274537834,,
2025-09-26,VOO,30D,-0.123968,221,11.072138,-0.12396776091770849,,
2025-09-29,VOO,30D,-0.181171,249,12.50542,-0.18117118801472634,,
2025-09-30,VOO,30D,-0.154813,267,12.940695,-0.15481336028175433,,
2025-10-01,VOO,30D,-0.149321,277,13.356314,-0.14932092921990608,,
2025-10-02,VOO,30D,-0.160111,290,13.753165,-0.1601111702260868,,
2025-10-03,VOO,30D,-0.181464,300,14.132094,-0.18146447980619815,,
2025-10-06,VOO,30D,-0.180036,323,15.169266,-0.18003638164425576,,
2025-10-07,VOO,30D,-0.183742,332,15.484247,-0.1837420435286056,,
2025-10-08,VOO,30D,-0.172261,342,15.785003,-0.17226149150276623,,
2025-10-09,VOO,30D,-0.176414,352,16.072177,-0.17641365755940447,,
2025-10-10,VOO,30D,-0.182219,363,16.346384,-0.18221868491635695,,
2025-10-13,VOO,30D,-0.154127,365,16.608207,-0.1541273143956342,,
2025-10-14,VOO,30D,-0.139383,374,16.608207,-0.1393829898432569,,
2025-10-15,VOO,30D,-0.129702,356,16.608207,-0.1297019623361936,,
2025-10-16,VOO,30D,-0.114973,355,16.608207,-0.11497259890792196,,
2025-10-17,VOO,30D,-0.108329,346,16.608207,-0.10832941901718487,,
2025-10-20,VOO,30D,-0.104907,340,16.608207,-0.10490699008798621,,
2025-10-21,VOO,30D,-0.110827,353,16.608207,-0.11082657827098821,,
2025-10-22,VOO,30D,-0.108149,352,16.608207,-0.10814902126666875,,
2025-10-23,VOO,30D,-0.110923,347,16.608207,-0.1109234876198574,,
2025-10-24,VOO,30D,-0.101084,352,16.608207,-0.10108360757084886,,
2025-10-27,VOO,30D,-0.083425,339,16.608207,-0.08342549318508405,,
2025-10-28,VOO,30D,-0.086181,340,16.608207,-0.08618072883083092,,
2025-10-29,VOO,30D,-0.081841,341,16.608207,-0.08184100145633895,,
2025-10-30,VOO,30D,-0.093379,335,16.608207,-0.09337940183561806,,
2025-10-31,VOO,30D,-0.095461,340,16.608207,-0.09546082234815917,,
2025-11-03,VOO,30D,-0.084726,337,16.608207,-0.08472608353651141,,
2025-11-04,VOO,30D,-0.070349,349,16.608207,-0.07034870227717684,,
2025-11-05,VOO,30D,-0.077205,350,16.608207,-0.07720509895103703,,
2025-11-06,VOO,30D,-0.07303,365,16.608207,-0.07303032301124264,,
2025-11-07,VOO,30D,-0.093093,371,16.608207,-0.09309256508480239,,
2025-11-10,VOO,30D,-0.10127,362,16.608207,-0.10127026125943739,,
2025-11-11,VOO,30D,-0.101765,372,16.608207,-0.10176490112011453,,
2025-11-12,VOO,30D,-0.10668,377,16.608207,-0.1066799804937858,,
2025-11-13,VOO,30D,-0.124413,371,16.608207,-0.12441285797580906,,
2025-11-14,VOO,30D,-0.128462,387,16.608207,-0.12846227819239298,,
2025-11-17,VOO,30D,-0.143464,390,16.608207,-0.14346419741646443,,
2025-11-18,VOO,30D,-0.144092,404,16.608207,-0.14409240790768274,,
2025-11-19,VOO,30D,-0.14348,397,16.608207,-0.14347995019450668,,
2025-11-20,VOO,30D,-0.133942,409,16.608207,-0.13394187547259934,,
2025-11-21,VOO,30D,-0.125205,429,16.608207,-0.1252045093486433,,
2025-11-24,VOO,30D,-0.115944,414,16.608207,-0.1159435665126351,,
2025-11-25,VOO,30D,-0.099332,429,16.608207,-0.09933198661249747,,
2025-11-26,VOO,30D,-0.083228,423,16.608207,-0.0832281234286272,,
2025-11-27,VOO,30D,-0.04909,415,16.608207,-0.049089534628941195,,
2025-11-28,VOO,30D,-0.03317,409,16.608207,-0.03317003039061828,,
2025-12-01,VOO,30D,-0.022867,415,16.608207,-0.022866909392226933,,
2025-12-02,VOO,30D,-0.01522,429,16.608207,-0.015220403473676184,,
2025-12-03,VOO,30D,-0.014226,436,16.608207,-0.014226152807863487,,
2025-12-04,VOO,30D,-0.010536,443,16.608207,-0.01053557331632184,,
2025-12-05,VOO,30D,-0.011624,449,16.608207,-0.011623649025676013,,
2025-12-08,VOO,30D,-0.003241,452,16.608207,-0.0032407644940422534,,
2025-12-09,VOO,30D,-0.008932,473,16.608207,-0.008932004150990136,,
2025-12-10,VOO,30D,-0.002504,488,16.608207,-0.0025044730830431107,,
2025-12-11,VOO,30D,0.00382,501,16.608207,0.00381965809594527,,
2025-12-12,VOO,30D,0.002919,505,16.608207,0.0029187076051760737,,
2025-12-15,VOO,30D,0.001058,515,16.608207,0.0010584683224628155,,
2025-12-16,VOO,30D,-0.006488,543,16.608207,-0.006488127221645781,,
2025-12-17,VOO,30D,-0.022721,537,16.608207,-0.022721230926888058,,
2025-12-18,VOO,30D,-0.022288,551,16.608207,-0.022287930625383607,,
2025-12-19,VOO,30D,-0.018679,562,16.608207,-0.01867912957447391,,
2025-12-22,VOO,30D,-0.012105,540,16.608207,-0.012104940205441287,,
2025-12-23,VOO,30D,-0.003462,555,16.608207,-0.003462341377088729,,
2025-12-24,VOO,30D,0.006086,556,16.608207,0.00608578859969008,,
2025-12-25,VOO,30D,-0.001272,540,16.608207,-0.001271655771652239,,
2025-12-26,VOO,30D,-0.004063,545,16.608207,-0.004063259106798392,,
2025-12-29,VOO,30D,0.000709,570,16.608207,0.0007094107041762305,,
2025-12-30,VOO,30D,0.012568,575,16.608207,0.012568451277311347,,
