ticker,articles,scored_articles,sources,top_source,top_source_articles,positive_articles,neutral_articles,negative_articles,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,latest_sentiment,calendar_days,calendar_days_with_news,business_days,business_days_with_news,calendar_coverage_pct,business_coverage_pct,first_news_date,last_news_date
AAXJ,47,47,1,SeekingAlpha,47,12,25,10,-0.078153,0.150371,-0.545767,0.127933,0.088235,253,38,181,33,15.0198,18.232,2025-09-18,2026-05-18
ACIO,1,1,1,Benzinga,1,1,0,0,0.058496,0.220131,0.0,0.882314,0.882314,253,1,181,1,0.3953,0.5525,2026-05-07,2026-05-07
ACWI,113,113,3,SeekingAlpha,105,36,58,19,0.112179,0.069734,0.0,0.255312,0.085814,253,88,181,82,34.7826,45.3039,2025-09-16,2026-05-22
ACWV,66,66,2,SeekingAlpha,65,17,35,14,-0.001869,0.099045,-0.229891,0.212998,0.090567,253,59,181,57,23.3202,31.4917,2025-09-18,2026-05-20
ACWX,101,101,3,SeekingAlpha,78,35,45,21,0.180704,0.12306,-0.01446,0.457332,0.098219,253,76,181,71,30.0395,39.2265,2025-09-16,2026-05-19
AIA,48,48,3,SeekingAlpha,44,13,25,10,-0.041137,0.213207,-0.545767,0.215895,0.144031,253,42,181,38,16.6008,20.9945,2025-09-18,2026-05-18
AIQ,447,447,3,SeekingAlpha,322,135,230,82,0.146861,0.126494,-0.007131,0.546631,0.078826,253,180,181,149,71.1462,82.3204,2025-09-12,2026-05-22
AIRR,98,98,3,SeekingAlpha,91,41,31,26,0.107109,0.152883,-0.132386,0.640034,0.237505,253,84,181,70,33.2016,38.674,2025-09-15,2026-05-22
AKRE,18,18,2,SeekingAlpha,10,6,7,5,0.144883,0.156615,-0.239094,0.35626,-0.239094,253,17,181,17,6.7194,9.3923,2025-10-21,2026-05-22
AMLP,337,337,3,SeekingAlpha,315,65,238,34,0.078935,0.060445,0.0,0.251502,0.045675,253,184,181,148,72.7273,81.768,2025-09-12,2026-05-22
APUE,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
ARKK,2314,2314,3,SeekingAlpha,2085,508,1032,774,-0.106355,0.024741,-0.159775,-0.021575,-0.105091,253,253,181,181,100.0,100.0,2025-09-12,2026-05-22
ARKQ,404,404,3,SeekingAlpha,304,115,230,59,0.135765,0.099425,-0.231196,0.464195,0.060674,253,189,181,159,74.7036,87.8453,2025-09-12,2026-05-22
ARKW,276,276,3,Benzinga,103,81,130,65,0.122197,0.160964,-0.024283,0.68266,0.056216,253,152,181,138,60.0791,76.2431,2025-09-15,2026-05-21
ARTY,329,329,3,SeekingAlpha,291,98,190,41,0.098621,0.070356,-0.308262,0.237981,0.147471,253,169,181,140,66.7984,77.3481,2025-09-12,2026-05-22
ASHR,224,224,2,SeekingAlpha,223,76,87,61,0.010957,0.128707,-0.73281,0.129905,-0.028652,253,139,181,103,54.9407,56.9061,2025-09-13,2026-05-21
AVDE,48,48,3,SeekingAlpha,37,12,25,11,0.070863,0.100346,-0.117502,0.315561,-0.060298,253,43,181,41,16.996,22.6519,2025-09-15,2026-05-19
AVDV,38,38,2,SeekingAlpha,32,11,21,6,0.101631,0.148344,-0.319233,0.399989,0.112611,253,34,181,30,13.4387,16.5746,2025-09-22,2026-05-18
AVEM,102,102,3,SeekingAlpha,95,35,49,18,0.209048,0.117476,0.0,0.41442,0.076748,253,81,181,67,32.0158,37.0166,2025-09-17,2026-05-21
AVLV,21,21,2,Yahoo,14,9,12,0,0.377016,0.263353,0.0,0.882774,0.305543,253,21,181,18,8.3004,9.9448,2025-09-30,2026-05-06
AVSC,1,1,1,SeekingAlpha,1,1,0,0,0.136922,0.320953,0.0,0.885101,0.885101,253,1,181,1,0.3953,0.5525,2026-04-15,2026-04-15
AVUS,25,25,2,SeekingAlpha,22,10,9,6,0.072721,0.290166,-0.946298,0.47356,0.167898,253,24,181,17,9.4862,9.3923,2025-09-16,2026-05-09
AVUV,1796,1796,3,SeekingAlpha,1784,357,800,639,-0.146389,0.025218,-0.244851,-0.066314,-0.131837,253,252,181,181,99.6047,100.0,2025-09-12,2026-05-22
BAFE,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
BAI,32,32,3,SeekingAlpha,19,9,19,4,0.182114,0.099892,-0.019804,0.419158,0.061018,253,30,181,28,11.8577,15.4696,2025-09-12,2026-05-13
BBAX,40,40,1,SeekingAlpha,40,9,21,10,-0.130534,0.19557,-0.612565,0.129098,0.103133,253,35,181,31,13.834,17.1271,2025-09-18,2026-05-18
BBCA,139,139,1,SeekingAlpha,139,33,62,44,-0.112042,0.134987,-0.732313,0.005077,-0.041794,253,100,181,73,39.5257,40.3315,2025-09-12,2026-05-21
BBEU,422,422,3,SeekingAlpha,414,110,187,125,-0.048955,0.13333,-0.728679,0.092477,-0.133196,253,192,181,157,75.8893,86.7403,2025-09-12,2026-05-22
BBIN,34,34,1,SeekingAlpha,34,6,19,9,-0.071381,0.162662,-0.534234,0.271854,-0.106462,253,31,181,30,12.253,16.5746,2025-09-22,2026-05-19
BBJP,399,399,3,SeekingAlpha,250,79,136,184,-0.211682,0.112951,-0.807583,-0.107167,-0.231063,253,171,181,138,67.5889,76.2431,2025-09-12,2026-05-22
BBMC,312,312,2,SeekingAlpha,307,100,116,96,0.026478,0.173793,-0.111549,0.937118,-0.018813,253,176,181,131,69.5652,72.3757,2025-09-12,2026-05-22
BBUS,19,19,1,SeekingAlpha,19,7,5,7,-0.0068,0.26843,-0.946298,0.499678,0.025023,253,19,181,15,7.5099,8.2873,2025-09-16,2026-04-13
BDVL,1,1,1,Benzinga,1,0,1,0,0.0,0.0,0.0,0.0,0.0,253,1,181,1,0.3953,0.5525,2025-09-16,2025-09-16
BDYN,1,1,1,Benzinga,1,0,1,0,0.0,0.0,0.0,0.0,0.0,253,1,181,1,0.3953,0.5525,2025-09-16,2025-09-16
BGIG,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
BIZD,407,407,3,SeekingAlpha,393,44,289,74,-0.095028,0.056135,-0.313571,0.0,-0.072092,253,208,181,157,82.2134,86.7403,2025-09-12,2026-05-22
BKLC,23,23,2,SeekingAlpha,19,8,9,6,0.021647,0.27086,-0.946298,0.397247,0.049265,253,22,181,18,8.6957,9.9448,2025-09-16,2026-04-13
BLCR,5,5,2,Benzinga,3,5,0,0,0.410776,0.405137,0.0,0.905564,0.885637,253,5,181,5,1.9763,2.7624,2026-01-14,2026-04-29
BOTZ,307,307,3,SeekingAlpha,267,93,181,33,0.154163,0.096712,-0.308262,0.455568,0.138136,253,156,181,127,61.6601,70.1657,2025-09-12,2026-05-22
BSVO,1,1,1,Benzinga,1,1,0,0,0.152204,0.349423,0.0,0.949963,0.949963,253,1,181,1,0.3953,0.5525,2026-04-14,2026-04-14
CALF,97,97,3,SeekingAlpha,85,50,35,12,0.365046,0.136176,0.189642,0.950688,0.395756,253,76,181,67,30.0395,37.0166,2025-09-12,2026-05-19
CGCV,3,3,1,SeekingAlpha,3,2,0,1,0.537952,0.409045,-0.139347,0.829937,-0.139347,253,3,181,3,1.1858,1.6575,2025-10-28,2026-04-17
CGDG,18,18,1,SeekingAlpha,18,2,15,1,0.018557,0.043042,0.0,0.197281,0.04444,253,18,181,8,7.1146,4.4199,2025-11-01,2026-05-02
CGDV,58,58,3,SeekingAlpha,44,19,36,3,0.206404,0.102275,0.0,0.549637,0.206866,253,54,181,52,21.3439,28.7293,2025-09-16,2026-05-12
CGGE,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
CGGO,1,1,1,SeekingAlpha,1,0,1,0,0.0,0.0,0.0,0.0,0.0,253,1,181,0,0.3953,0.0,2026-04-12,2026-04-12
CGGR,27,27,3,SeekingAlpha,20,9,17,1,0.195642,0.122161,0.0,0.464591,0.241425,253,27,181,24,10.6719,13.2597,2025-10-13,2026-05-20
CGIC,3,3,1,SeekingAlpha,3,1,2,0,0.26001,0.302843,0.0,0.775898,0.134266,253,3,181,2,1.1858,1.105,2025-11-29,2026-02-24
CGIE,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
CGMM,4,4,2,SeekingAlpha,3,3,0,1,0.067082,0.629491,-0.78694,0.897535,0.897535,253,4,181,3,1.581,1.6575,2025-10-02,2026-04-29
CGNG,1,1,1,SeekingAlpha,1,0,1,0,0.0,0.0,0.0,0.0,0.0,253,1,181,1,0.3953,0.5525,2026-01-26,2026-01-26
CGUS,4,4,1,SeekingAlpha,4,0,4,0,0.0,0.0,0.0,0.0,0.0,253,4,181,3,1.581,1.6575,2025-10-26,2026-03-06
CGXU,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
CHAT,53,53,3,SeekingAlpha,24,21,27,5,0.242781,0.077888,0.0,0.543457,0.180163,253,45,181,34,17.7866,18.7845,2025-09-18,2026-05-18
CIBR,130,130,3,SeekingAlpha,84,42,66,22,0.155526,0.110759,-0.026285,0.475501,0.154398,253,103,181,94,40.7115,51.9337,2025-09-12,2026-05-21
COPX,276,276,3,SeekingAlpha,200,99,87,90,0.019794,0.096758,-0.266936,0.454783,-0.038967,253,166,181,133,65.6126,73.4807,2025-09-12,2026-05-22
CORO,2,2,2,Yahoo,1,1,1,0,0.084985,0.19921,0.0,0.549365,0.549365,253,2,181,2,0.7905,1.105,2026-03-18,2026-04-15
COWG,6,6,3,SeekingAlpha,3,2,2,2,0.102472,0.227859,-0.391223,0.504548,-0.009754,253,6,181,6,2.3715,3.3149,2025-09-17,2026-05-04
COWZ,35,35,3,SeekingAlpha,19,11,21,3,0.135149,0.112833,-0.074412,0.350042,0.338661,253,34,181,30,13.4387,16.5746,2025-09-25,2026-05-14
CQQQ,246,246,3,SeekingAlpha,226,84,94,68,0.011194,0.138939,-0.73281,0.162004,0.01648,253,146,181,110,57.7075,60.7735,2025-09-13,2026-05-21
CWI,43,43,1,SeekingAlpha,43,9,23,11,-0.060485,0.138123,-0.409214,0.232221,-0.08908,253,35,181,33,13.834,18.232,2025-09-22,2026-05-19
DBEF,47,47,1,SeekingAlpha,47,10,25,12,-0.05884,0.123943,-0.337661,0.191307,-0.121717,253,41,181,40,16.2055,22.0994,2025-09-22,2026-05-19
DCOR,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253,0,181,0,0.0,0.0,,
DEM,27,27,3,SeekingAlpha,19,9,17,1,0.15811,0.120581,0.0,0.37192,0.276621,253,24,181,21,9.4862,11.6022,2025-09-15,2026-05-21
