ticker,status,articles,scored_articles,start_date,end_date,report_path,error,updated_at
AAXJ,completed,47,47,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AAXJ_sentiment_report.md,,2026-05-25 02:06:48
ACIO,completed,1,1,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ACIO_sentiment_report.md,,2026-05-25 02:31:01
ACWI,completed,113,113,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ACWI_sentiment_report.md,,2026-05-25 00:36:00
ACWV,completed,66,66,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ACWV_sentiment_report.md,,2026-05-25 02:13:09
ACWX,completed,101,101,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ACWX_sentiment_report.md,,2026-05-25 01:15:31
AIA,completed,48,48,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AIA_sentiment_report.md,,2026-05-25 02:05:39
AIQ,completed,447,447,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AIQ_sentiment_report.md,,2026-05-25 01:23:10
AIRR,completed,98,98,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AIRR_sentiment_report.md,,2026-05-25 01:18:27
AKRE,completed,18,18,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AKRE_sentiment_report.md,,2026-05-25 02:50:27
AMLP,completed,337,337,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AMLP_sentiment_report.md,,2026-05-25 01:13:20
APUE,completed,0,0,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\APUE_sentiment_report.md,,2026-05-25 02:26:31
ARKK,completed,2314,2314,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ARKK_sentiment_report.md,,2026-05-25 01:39:24
ARKQ,completed,404,404,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ARKQ_sentiment_report.md,,2026-05-25 02:37:18
ARKW,completed,276,276,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ARKW_sentiment_report.md,,2026-05-25 02:45:25
ARTY,completed,329,329,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ARTY_sentiment_report.md,,2026-05-25 02:25:37
ASHR,completed,224,224,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\ASHR_sentiment_report.md,,2026-05-25 02:47:09
AVDE,completed,48,48,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AVDE_sentiment_report.md,,2026-05-25 00:57:45
AVDV,completed,38,38,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AVDV_sentiment_report.md,,2026-05-25 00:47:47
AVEM,completed,102,102,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AVEM_sentiment_report.md,,2026-05-25 00:41:30
AVLV,completed,21,21,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AVLV_sentiment_report.md,,2026-05-25 01:14:53
AVSC,completed,1,1,2025-09-12,2026-05-22,C:\Users\lojas\OneDrive\Desktop\我的大四下\Fintech\Fintech project\sentiment_engine\reports\per_ticker\AVSC_sentiment_report.md,,2026-05-25 02:22:53
