profile,core_mode,T_growth,tau,risk_fraction,config,Sharpe,Vol,MaxDD,CAGR,win_VT,VT_CAGR,VT_Sharpe,VT_Vol,EW_CAGR,EW_Sharpe
aggressive_growth,beta,0.846,0.0254,0.846,C2_noCAGR,0.5731,18.65,-25.26,13.8,42.2,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.846,0.0254,0.846,C2_full,0.5769,18.69,-25.64,13.9,45.3,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.846,0.0254,0.846,ArmC_tau0.1,0.373,15.1,-26.3,8.85,89.1,13.509,0.645,15.297,12.074,0.617
return_leaning,beta,0.667,0.05,0.667,C2_noCAGR,0.6375,16.64,-25.15,14.12,10.9,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.667,0.05,0.667,C2_full,0.6342,16.71,-25.55,14.09,17.2,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.667,0.05,0.667,ArmC_tau0.1,0.6662,12.26,-14.21,12.07,89.1,13.509,0.645,15.297,12.146,0.622
income,minvar,0.312,0.1031,0.312,C2_noCAGR,0.8583,11.71,-18.02,14.27,100.0,13.509,0.645,15.297,12.213,0.627
income,minvar,0.312,0.1031,0.312,C2_full,0.7537,11.8,-17.91,12.95,100.0,13.509,0.645,15.297,12.213,0.627
income,minvar,0.312,0.1031,0.312,ArmC_tau0.1,0.773,11.81,-17.79,13.21,100.0,13.509,0.645,15.297,12.213,0.627
cost_liquidity,market,0.474,0.0442,0.474,C2_noCAGR,0.7404,13.79,-22.08,14.15,89.1,13.509,0.645,15.297,12.164,0.624
cost_liquidity,market,0.474,0.0442,0.474,C2_full,0.6817,13.99,-22.39,13.36,100.0,13.509,0.645,15.297,12.164,0.624
cost_liquidity,market,0.474,0.0442,0.474,ArmC_tau0.1,0.7254,12.17,-14.68,12.82,100.0,13.509,0.645,15.297,12.164,0.624
balanced,market,0.449,0.0579,0.449,C2_noCAGR,0.7153,12.93,-20.21,13.19,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.449,0.0579,0.449,C2_full,0.6675,13.47,-20.48,12.82,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.449,0.0579,0.449,ArmC_tau0.1,0.6905,11.98,-14.38,12.23,48.4,13.509,0.645,15.297,12.176,0.624
diversified_quality,market,0.405,0.0446,0.405,C2_noCAGR,0.6685,13.08,-20.93,12.6,68.8,13.509,0.645,15.297,12.138,0.621
diversified_quality,market,0.405,0.0446,0.405,C2_full,0.6754,13.19,-20.11,12.77,59.4,13.509,0.645,15.297,12.138,0.621
diversified_quality,market,0.405,0.0446,0.405,ArmC_tau0.1,0.6171,12.28,-16.91,11.41,46.9,13.509,0.645,15.297,12.138,0.621
conservative,minvar,0.138,0.0517,0.138,C2_noCAGR,0.6656,10.44,-15.9,10.94,50.0,13.509,0.645,15.297,12.194,0.625
conservative,minvar,0.138,0.0517,0.138,C2_full,0.6612,10.53,-14.91,10.95,57.8,13.509,0.645,15.297,12.194,0.625
conservative,minvar,0.138,0.0517,0.138,ArmC_tau0.1,0.5603,10.98,-15.25,10.0,34.4,13.509,0.645,15.297,12.194,0.625
