profile,core_mode,risk_fraction,Sharpe,Vol,MaxDD,CAGR,win_VT,VT_CAGR,VT_Sharpe,VT_Vol,EW_CAGR,EW_Sharpe
aggressive_growth,beta,0.0,0.9873,9.2,-11.25,13.47,0.0,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.1,0.7136,10.47,-17.28,11.52,7.8,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.2,0.7325,11.62,-20.01,12.54,0.0,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.3,0.7289,12.68,-21.29,13.22,0.0,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.4,0.7004,13.82,-22.93,13.55,0.0,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.5,0.6681,14.99,-24.68,13.74,10.9,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.6,0.6712,16.03,-25.1,14.4,51.6,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.7,0.6449,17.03,-25.05,14.47,45.3,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.8,0.5929,18.09,-24.78,13.96,42.2,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,0.9,0.6073,19.2,-24.81,14.79,34.4,13.509,0.645,15.297,12.074,0.617
aggressive_growth,beta,1.0,0.6278,19.79,-24.98,15.54,35.9,13.509,0.645,15.297,12.074,0.617
return_leaning,beta,0.0,0.9866,9.19,-11.25,13.46,1.6,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.1,0.743,10.34,-16.29,11.77,31.2,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.2,0.7318,11.62,-20.12,12.54,3.1,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.3,0.7232,12.64,-21.38,13.11,1.6,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.4,0.6922,13.75,-23.04,13.37,0.0,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.5,0.6564,14.91,-24.65,13.49,18.8,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.6,0.656,15.96,-25.08,14.08,20.3,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.7,0.6122,16.98,-25.18,13.81,6.2,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.8,0.5563,18.12,-24.88,13.22,6.2,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,0.9,0.5775,19.2,-24.69,14.14,4.7,13.509,0.645,15.297,12.146,0.622
return_leaning,beta,1.0,0.6034,19.76,-24.98,14.97,4.7,13.509,0.645,15.297,12.146,0.622
balanced,market,0.0,0.9796,9.15,-10.93,13.35,0.0,13.509,0.645,15.297,12.176,0.624
balanced,market,0.1,0.8024,10.16,-15.28,12.32,39.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.2,0.733,11.1,-18.0,12.19,56.2,13.509,0.645,15.297,12.176,0.624
balanced,market,0.3,0.7251,12.0,-18.98,12.7,56.2,13.509,0.645,15.297,12.176,0.624
balanced,market,0.4,0.7023,12.84,-20.13,12.94,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.5,0.7174,12.93,-20.21,13.23,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.6,0.7174,12.93,-20.21,13.23,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.7,0.7174,12.93,-20.21,13.23,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.8,0.7174,12.93,-20.21,13.23,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,0.9,0.7174,12.93,-20.21,13.23,64.1,13.509,0.645,15.297,12.176,0.624
balanced,market,1.0,0.7174,12.93,-20.21,13.23,64.1,13.509,0.645,15.297,12.176,0.624
