profile,mode,window,XIRR_%,wealth_mult,tw_CAGR
aggressive_growth,lump,2018-06_2021-06,16.94,3.4381,16.95
aggressive_growth,lump,2019-06_2022-06,15.23,2.6571,15.24
aggressive_growth,lump,2020-06_2023-06,19.79,2.8988,19.81
aggressive_growth,lump,2021-06_2024-06,13.08,1.8246,13.09
aggressive_growth,lump,2022-06_2025-06,19.28,1.9865,19.29
aggressive_growth,lump,2023-06_2026-05,20.73,1.7228,20.74
aggressive_growth,DCA,2018-06_2021-06,18.82,3.1113,17.07
aggressive_growth,DCA,2019-06_2022-06,13.8,2.0538,15.34
aggressive_growth,DCA,2020-06_2023-06,18.09,2.1415,20.0
aggressive_growth,DCA,2021-06_2024-06,17.96,1.806,13.26
aggressive_growth,DCA,2022-06_2025-06,20.35,1.6141,19.46
aggressive_growth,DCA,2023-06_2026-05,23.27,1.3954,20.93
balanced,lump,2018-06_2021-06,12.15,2.4708,12.16
balanced,lump,2019-06_2022-06,12.92,2.3113,12.93
balanced,lump,2020-06_2023-06,16.56,2.4676,16.58
balanced,lump,2021-06_2024-06,11.36,1.6933,11.37
balanced,lump,2022-06_2025-06,17.91,1.899,17.92
balanced,lump,2023-06_2026-05,19.27,1.6632,19.28
balanced,DCA,2018-06_2021-06,13.62,2.3125,12.51
balanced,DCA,2019-06_2022-06,14.43,2.1183,13.31
balanced,DCA,2020-06_2023-06,14.96,1.8914,16.96
balanced,DCA,2021-06_2024-06,16.12,1.7055,11.8
balanced,DCA,2022-06_2025-06,20.73,1.6277,18.35
balanced,DCA,2023-06_2026-05,22.56,1.382,19.67
conservative,lump,2018-06_2021-06,11.76,2.4044,11.77
conservative,lump,2019-06_2022-06,11.47,2.114,11.48
conservative,lump,2020-06_2023-06,14.76,2.2505,14.77
conservative,lump,2021-06_2024-06,11.98,1.7395,11.99
conservative,lump,2022-06_2025-06,15.51,1.7532,15.52
conservative,lump,2023-06_2026-05,17.75,1.6027,17.76
conservative,DCA,2018-06_2021-06,12.37,2.1497,12.01
conservative,DCA,2019-06_2022-06,12.72,1.9464,11.77
conservative,DCA,2020-06_2023-06,13.37,1.7735,15.22
conservative,DCA,2021-06_2024-06,14.49,1.6207,12.51
conservative,DCA,2022-06_2025-06,17.47,1.5138,15.94
conservative,DCA,2023-06_2026-05,18.39,1.3051,18.09
