profile,mode,window,Sharpe,Vol,MaxDD,CAGR,win_VT,VT_CAGR,avg_cost
aggressive_growth,off,2021-06_2026-05,0.554,19.06,-23.34,13.55,67.8,12.17,0.0443
aggressive_growth,off,2020-06_2023-06,0.862,18.24,-22.52,19.75,47.2,16.81,0.0513
aggressive_growth,cost,2021-06_2026-05,0.554,19.06,-23.34,13.55,67.8,12.17,0.0443
aggressive_growth,cost,2020-06_2023-06,0.862,18.24,-22.52,19.75,47.2,16.81,0.0513
return_leaning,off,2021-06_2026-05,0.541,17.69,-24.7,12.73,37.3,12.17,0.0422
return_leaning,off,2020-06_2023-06,0.835,16.57,-24.51,17.84,22.2,16.81,0.0503
return_leaning,cost,2021-06_2026-05,0.541,17.69,-24.7,12.73,37.3,12.17,0.0422
return_leaning,cost,2020-06_2023-06,0.835,16.57,-24.51,17.84,22.2,16.81,0.0503
balanced,off,2021-06_2026-05,0.574,13.32,-20.72,11.33,84.7,12.17,0.0486
balanced,off,2020-06_2023-06,0.929,13.11,-20.26,16.52,44.4,16.81,0.0574
balanced,cost,2021-06_2026-05,0.574,13.32,-20.72,11.33,84.7,12.17,0.0486
balanced,cost,2020-06_2023-06,0.929,13.11,-20.26,16.52,44.4,16.81,0.0574
income,off,2021-06_2026-05,0.759,11.48,-17.12,12.77,100.0,12.17,0.2864
income,off,2020-06_2023-06,0.944,10.82,-15.46,14.57,100.0,16.81,0.2815
income,cost,2021-06_2026-05,0.692,11.99,-17.35,12.24,100.0,12.17,0.1419
income,cost,2020-06_2023-06,0.911,11.31,-16.68,14.61,100.0,16.81,0.156
conservative,off,2021-06_2026-05,0.682,11.02,-15.04,11.49,72.9,12.17,0.312
conservative,off,2020-06_2023-06,0.937,10.66,-14.66,14.33,75.0,16.81,0.3578
conservative,cost,2021-06_2026-05,0.572,11.25,-15.69,10.27,59.3,12.17,0.2207
conservative,cost,2020-06_2023-06,0.882,10.93,-15.43,13.89,30.6,16.81,0.2259
cost_liquidity,off,2021-06_2026-05,0.613,14.15,-22.25,12.36,96.6,12.17,0.0443
cost_liquidity,off,2020-06_2023-06,0.912,13.72,-21.74,16.8,75.0,16.81,0.0486
cost_liquidity,cost,2021-06_2026-05,0.507,15.04,-25.22,11.04,57.6,12.17,0.0312
cost_liquidity,cost,2020-06_2023-06,0.868,14.37,-23.12,16.65,33.3,16.81,0.03
diversified_quality,off,2021-06_2026-05,0.56,13.65,-21.84,11.28,81.4,12.17,0.0501
diversified_quality,off,2020-06_2023-06,0.87,13.21,-21.34,15.7,44.4,16.81,0.0633
diversified_quality,cost,2021-06_2026-05,0.56,13.65,-21.84,11.28,81.4,12.17,0.0501
diversified_quality,cost,2020-06_2023-06,0.87,13.21,-21.34,15.7,44.4,16.81,0.0633
