profile,mode,window,Sharpe,Vol,MaxDD,CAGR,win_VT,VT_CAGR,wHHI,n_hold
aggressive_growth,off,2021-06_2026-05,0.53,18.99,-22.91,13.01,60.0,12.17,0.3044,34.7
aggressive_growth,off,2020-06_2023-06,0.864,18.26,-22.41,19.81,50.0,16.81,0.2951,32.5
aggressive_growth,hhi,2021-06_2026-05,0.53,18.99,-22.91,13.01,60.0,12.17,0.3044,34.7
aggressive_growth,hhi,2020-06_2023-06,0.864,18.26,-22.41,19.81,50.0,16.81,0.2951,32.5
return_leaning,off,2021-06_2026-05,0.514,17.76,-25.29,12.21,40.0,12.17,0.2377,34.9
return_leaning,off,2020-06_2023-06,0.827,16.71,-24.89,17.81,25.0,16.81,0.1975,32.7
return_leaning,hhi,2021-06_2026-05,0.514,17.76,-25.29,12.21,40.0,12.17,0.2377,34.9
return_leaning,hhi,2020-06_2023-06,0.827,16.71,-24.89,17.81,25.0,16.81,0.1975,32.7
balanced,off,2021-06_2026-05,0.564,13.34,-20.77,11.19,80.0,12.17,0.3459,34.8
balanced,off,2020-06_2023-06,0.932,13.13,-20.3,16.58,50.0,16.81,0.3455,32.9
balanced,hhi,2021-06_2026-05,0.564,13.34,-20.77,11.19,80.0,12.17,0.3459,34.8
balanced,hhi,2020-06_2023-06,0.932,13.13,-20.3,16.58,50.0,16.81,0.3455,32.9
income,off,2021-06_2026-05,0.776,11.47,-16.33,12.99,100.0,12.17,0.3476,35.0
income,off,2020-06_2023-06,0.958,10.78,-14.9,14.7,100.0,16.81,0.3482,32.8
income,hhi,2021-06_2026-05,0.776,11.47,-16.33,12.99,100.0,12.17,0.3476,35.0
income,hhi,2020-06_2023-06,0.958,10.78,-14.9,14.7,100.0,16.81,0.3482,32.8
conservative,off,2021-06_2026-05,0.754,11.08,-14.46,12.42,60.0,12.17,0.3304,34.8
conservative,off,2020-06_2023-06,0.968,10.72,-13.97,14.77,58.3,16.81,0.3386,32.9
conservative,hhi,2021-06_2026-05,0.754,11.08,-14.46,12.42,60.0,12.17,0.3304,34.8
conservative,hhi,2020-06_2023-06,0.968,10.72,-13.97,14.77,58.3,16.81,0.3386,32.9
cost_liquidity,off,2021-06_2026-05,0.621,14.13,-22.46,12.46,100.0,12.17,0.3462,34.5
cost_liquidity,off,2020-06_2023-06,0.911,13.75,-21.97,16.81,83.3,16.81,0.346,31.9
cost_liquidity,hhi,2021-06_2026-05,0.621,14.13,-22.46,12.46,100.0,12.17,0.3462,34.5
cost_liquidity,hhi,2020-06_2023-06,0.911,13.75,-21.97,16.81,83.3,16.81,0.346,31.9
diversified_quality,off,2021-06_2026-05,0.562,13.6,-21.85,11.28,80.0,12.17,0.3165,35.0
diversified_quality,off,2020-06_2023-06,0.873,13.28,-21.31,15.82,50.0,16.81,0.2782,32.9
diversified_quality,hhi,2021-06_2026-05,0.544,13.6,-21.85,11.01,80.0,12.17,0.3118,35.0
diversified_quality,hhi,2020-06_2023-06,0.873,13.28,-21.31,15.82,50.0,16.81,0.2782,32.9
