profile,liq_ts,mode,window,Sharpe,Vol,MaxDD,CAGR,win_VT,VT_CAGR
aggressive_growth,0.0,off,2021-06_2026-05,0.53,18.99,-22.91,13.01,60.0,12.17
aggressive_growth,0.0,off,2020-06_2023-06,0.864,18.26,-22.41,19.81,50.0,16.81
aggressive_growth,0.0,liq,2021-06_2026-05,0.53,18.99,-22.91,13.01,60.0,12.17
aggressive_growth,0.0,liq,2020-06_2023-06,0.864,18.26,-22.41,19.81,50.0,16.81
return_leaning,0.0,off,2021-06_2026-05,0.514,17.76,-25.29,12.21,40.0,12.17
return_leaning,0.0,off,2020-06_2023-06,0.827,16.71,-24.89,17.81,25.0,16.81
return_leaning,0.0,liq,2021-06_2026-05,0.514,17.76,-25.29,12.21,40.0,12.17
return_leaning,0.0,liq,2020-06_2023-06,0.827,16.71,-24.89,17.81,25.0,16.81
balanced,0.0,off,2021-06_2026-05,0.564,13.34,-20.77,11.19,80.0,12.17
balanced,0.0,off,2020-06_2023-06,0.932,13.13,-20.3,16.58,50.0,16.81
balanced,0.0,liq,2021-06_2026-05,0.564,13.34,-20.77,11.19,80.0,12.17
balanced,0.0,liq,2020-06_2023-06,0.932,13.13,-20.3,16.58,50.0,16.81
income,0.0,off,2021-06_2026-05,0.776,11.47,-16.33,12.99,100.0,12.17
income,0.0,off,2020-06_2023-06,0.958,10.78,-14.9,14.7,100.0,16.81
income,0.0,liq,2021-06_2026-05,0.776,11.47,-16.33,12.99,100.0,12.17
income,0.0,liq,2020-06_2023-06,0.958,10.78,-14.9,14.7,100.0,16.81
conservative,0.0,off,2021-06_2026-05,0.754,11.08,-14.46,12.42,60.0,12.17
conservative,0.0,off,2020-06_2023-06,0.968,10.72,-13.97,14.77,58.3,16.81
conservative,0.0,liq,2021-06_2026-05,0.754,11.08,-14.46,12.42,60.0,12.17
conservative,0.0,liq,2020-06_2023-06,0.968,10.72,-13.97,14.77,58.3,16.81
cost_liquidity,0.058,off,2021-06_2026-05,0.621,14.13,-22.46,12.46,100.0,12.17
cost_liquidity,0.058,off,2020-06_2023-06,0.911,13.75,-21.97,16.81,83.3,16.81
cost_liquidity,0.058,liq,2021-06_2026-05,0.621,14.13,-22.46,12.46,100.0,12.17
cost_liquidity,0.058,liq,2020-06_2023-06,0.911,13.75,-21.97,16.81,83.3,16.81
diversified_quality,0.0,off,2021-06_2026-05,0.562,13.6,-21.85,11.28,80.0,12.17
diversified_quality,0.0,off,2020-06_2023-06,0.873,13.28,-21.31,15.82,50.0,16.81
diversified_quality,0.0,liq,2021-06_2026-05,0.562,13.6,-21.85,11.28,80.0,12.17
diversified_quality,0.0,liq,2020-06_2023-06,0.873,13.28,-21.31,15.82,50.0,16.81
