profile,s,window,Sharpe,Vol,MaxDD,CAGR,VT_CAGR,beats_VT_CAGR,win_VT,n
conservative,noCAGR,2018-06_2021-06,0.542,14.15,-35.81,11.21,13.487,False,27.8,36
conservative,noCAGR,2019-06_2022-06,0.449,15.32,-37.03,10.15,14.469,False,19.4,36
conservative,noCAGR,2020-06_2023-06,0.873,11.95,-15.75,14.67,16.811,False,36.1,36
conservative,noCAGR,2021-06_2024-06,0.634,12.38,-16.26,11.68,12.174,False,58.3,36
conservative,noCAGR,2022-06_2025-06,0.9,12.31,-12.92,15.34,20.463,False,45.7,35
conservative,noCAGR,2023-06_2026-05,1.047,10.91,-11.61,15.96,21.632,False,31.4,35
conservative,full,2018-06_2021-06,0.616,14.16,-32.99,12.4,13.487,False,27.8,36
conservative,full,2019-06_2022-06,0.48,15.32,-35.97,10.69,14.469,False,19.4,36
conservative,full,2020-06_2023-06,0.868,11.89,-15.75,14.55,16.811,False,38.9,36
conservative,full,2021-06_2024-06,0.617,12.36,-16.26,11.44,12.174,False,58.3,36
conservative,full,2022-06_2025-06,0.882,12.32,-12.92,15.09,20.463,False,45.7,35
conservative,full,2023-06_2026-05,1.098,11.04,-11.62,16.74,21.632,False,31.4,35
balanced,noCAGR,2018-06_2021-06,0.486,15.09,-36.87,10.71,13.487,False,50.0,36
balanced,noCAGR,2019-06_2022-06,0.515,16.46,-37.8,11.72,14.469,False,33.3,36
balanced,noCAGR,2020-06_2023-06,0.874,12.44,-16.45,15.1,16.811,False,41.7,36
balanced,noCAGR,2021-06_2024-06,0.589,12.77,-16.7,11.27,12.174,False,69.4,36
balanced,noCAGR,2022-06_2025-06,0.99,13.03,-13.05,17.34,20.463,False,80.0,35
balanced,noCAGR,2023-06_2026-05,1.298,12.02,-13.05,20.72,21.632,False,80.0,35
balanced,full,2018-06_2021-06,0.626,15.49,-32.59,13.29,13.487,False,22.2,36
balanced,full,2019-06_2022-06,0.607,16.71,-35.26,13.56,14.469,False,19.4,36
balanced,full,2020-06_2023-06,0.884,12.48,-16.91,15.27,16.811,False,44.4,36
balanced,full,2021-06_2024-06,0.536,13.02,-16.7,10.62,12.174,False,63.9,36
balanced,full,2022-06_2025-06,0.788,12.89,-13.83,14.2,20.463,False,65.7,35
balanced,full,2023-06_2026-05,1.046,12.65,-14.14,17.82,21.632,False,62.9,35
return_leaning,noCAGR,2018-06_2021-06,0.463,14.88,-37.09,10.24,13.487,False,97.2,36
return_leaning,noCAGR,2019-06_2022-06,0.507,16.35,-38.32,11.54,14.469,False,91.7,36
return_leaning,noCAGR,2020-06_2023-06,0.841,12.35,-17.68,14.55,16.811,False,94.4,36
return_leaning,noCAGR,2021-06_2024-06,0.553,12.74,-18.19,10.74,12.174,False,94.4,36
return_leaning,noCAGR,2022-06_2025-06,0.945,12.92,-13.28,16.55,20.463,False,100.0,35
return_leaning,noCAGR,2023-06_2026-05,1.265,11.81,-12.33,19.98,21.632,False,100.0,35
return_leaning,full,2018-06_2021-06,0.579,18.86,-35.84,13.99,13.487,True,69.4,36
return_leaning,full,2019-06_2022-06,0.554,18.15,-35.85,13.17,14.469,False,86.1,36
return_leaning,full,2020-06_2023-06,0.629,13.7,-18.12,12.36,16.811,False,83.3,36
return_leaning,full,2021-06_2024-06,0.65,15.8,-17.75,13.86,12.174,True,88.9,36
return_leaning,full,2022-06_2025-06,0.597,14.67,-19.05,12.34,20.463,False,71.4,35
return_leaning,full,2023-06_2026-05,0.944,14.94,-19.47,18.48,21.632,False,65.7,35
