profile,core,rf,window,Sharpe,Vol,MaxDD,CAGR,VT_CAGR,beats_VT_CAGR,win_VT,n
aggressive_growth,beta,0.0,2018-06_2021-06,0.573,13.1,-35.04,11.19,13.487,False,19.4,36
aggressive_growth,beta,0.0,2020-06_2023-06,1.043,9.95,-13.01,14.85,16.811,False,2.8,36
aggressive_growth,beta,0.0,2023-06_2026-05,1.272,9.32,-11.23,16.64,21.632,False,0.0,35
aggressive_growth,beta,0.25,2018-06_2021-06,0.531,14.73,-33.44,11.3,13.487,False,5.6,36
aggressive_growth,beta,0.25,2020-06_2023-06,0.885,12.37,-20.95,15.19,16.811,False,0.0,36
aggressive_growth,beta,0.25,2023-06_2026-05,1.237,11.6,-13.0,19.29,21.632,False,0.0,35
aggressive_growth,beta,0.5,2018-06_2021-06,0.582,17.11,-33.21,13.28,13.487,False,11.1,36
aggressive_growth,beta,0.5,2020-06_2023-06,0.823,15.0,-24.99,16.39,16.811,False,8.3,36
aggressive_growth,beta,0.5,2023-06_2026-05,1.182,13.93,-16.29,21.47,21.632,False,2.9,35
aggressive_growth,beta,0.75,2018-06_2021-06,0.671,20.12,-33.09,16.7,13.487,True,50.0,36
aggressive_growth,beta,0.75,2020-06_2023-06,0.871,17.33,-22.82,19.19,16.811,True,11.1,36
aggressive_growth,beta,0.75,2023-06_2026-05,1.002,16.6,-21.58,21.19,21.632,False,31.4,35
aggressive_growth,beta,1.0,2018-06_2021-06,0.648,22.85,-32.58,17.54,13.487,True,44.4,36
aggressive_growth,beta,1.0,2020-06_2023-06,0.814,19.41,-23.6,19.57,16.811,True,2.8,36
aggressive_growth,beta,1.0,2023-06_2026-05,0.918,18.02,-24.8,20.78,21.632,False,8.6,35
return_leaning,beta,0.0,2018-06_2021-06,0.574,13.1,-35.06,11.21,13.487,False,41.7,36
return_leaning,beta,0.0,2020-06_2023-06,1.043,9.95,-13.01,14.85,16.811,False,19.4,36
return_leaning,beta,0.0,2023-06_2026-05,1.275,9.32,-11.23,16.67,21.632,False,8.6,35
return_leaning,beta,0.25,2018-06_2021-06,0.529,14.67,-33.39,11.24,13.487,False,61.1,36
return_leaning,beta,0.25,2020-06_2023-06,0.886,12.27,-20.91,15.12,16.811,False,5.6,36
return_leaning,beta,0.25,2023-06_2026-05,1.228,11.6,-13.03,19.16,21.632,False,17.1,35
return_leaning,beta,0.5,2018-06_2021-06,0.577,17.07,-33.11,13.15,13.487,False,8.3,36
return_leaning,beta,0.5,2020-06_2023-06,0.823,14.86,-25.24,16.29,16.811,False,2.8,36
return_leaning,beta,0.5,2023-06_2026-05,1.177,13.88,-16.25,21.33,21.632,False,0.0,35
return_leaning,beta,0.75,2018-06_2021-06,0.659,20.1,-32.9,16.4,13.487,True,38.9,36
return_leaning,beta,0.75,2020-06_2023-06,0.853,17.31,-23.56,18.8,16.811,True,0.0,36
return_leaning,beta,0.75,2023-06_2026-05,0.984,16.58,-21.55,20.8,21.632,False,8.6,35
return_leaning,beta,1.0,2018-06_2021-06,0.654,22.79,-32.35,17.66,13.487,True,0.0,36
return_leaning,beta,1.0,2020-06_2023-06,0.851,19.38,-24.07,20.41,16.811,True,0.0,36
return_leaning,beta,1.0,2023-06_2026-05,0.885,17.95,-24.8,20.02,21.632,False,0.0,35
balanced,market,0.0,2018-06_2021-06,0.577,13.12,-35.22,11.26,13.487,False,38.9,36
balanced,market,0.0,2020-06_2023-06,1.033,9.96,-12.92,14.75,16.811,False,8.3,36
balanced,market,0.0,2023-06_2026-05,1.279,9.32,-11.11,16.71,21.632,False,5.7,35
balanced,market,0.25,2018-06_2021-06,0.537,14.46,-34.87,11.28,13.487,False,75.0,36
balanced,market,0.25,2020-06_2023-06,0.901,11.73,-18.09,14.85,16.811,False,52.8,36
balanced,market,0.25,2023-06_2026-05,1.318,11.36,-11.81,20.07,21.632,False,68.6,35
balanced,market,0.5,2018-06_2021-06,0.582,15.5,-33.08,12.51,13.487,False,75.0,36
balanced,market,0.5,2020-06_2023-06,0.924,13.14,-20.26,16.47,16.811,False,55.6,36
balanced,market,0.5,2023-06_2026-05,1.216,12.14,-12.38,19.72,21.632,False,85.7,35
balanced,market,0.75,2018-06_2021-06,0.582,15.54,-33.08,12.53,13.487,False,83.3,36
balanced,market,0.75,2020-06_2023-06,0.924,13.14,-20.26,16.47,16.811,False,55.6,36
balanced,market,0.75,2023-06_2026-05,1.212,12.15,-12.38,19.67,21.632,False,88.6,35
balanced,market,1.0,2018-06_2021-06,0.582,15.54,-33.08,12.53,13.487,False,83.3,36
balanced,market,1.0,2020-06_2023-06,0.924,13.14,-20.26,16.47,16.811,False,55.6,36
balanced,market,1.0,2023-06_2026-05,1.212,12.15,-12.38,19.67,21.632,False,88.6,35
