profile,mode,window,wealth_mult,terminal,total_cash,Sharpe,CAGR,MaxDD,VT_CAGR
aggressive_growth,lump,2018-06_2021-06,3.5713,4285570.0,1200000.0,0.678,17.52,-33.02,13.487
aggressive_growth,lump,2019-06_2022-06,3.0144,3617283.0,1200000.0,0.659,17.37,-33.32,14.469
aggressive_growth,lump,2020-06_2023-06,2.8903,3468336.0,1200000.0,0.862,19.75,-22.52,16.811
aggressive_growth,lump,2021-06_2024-06,1.9158,2298912.0,1200000.0,0.592,14.22,-22.85,12.174
aggressive_growth,lump,2022-06_2025-06,2.0551,2466166.0,1200000.0,0.885,20.34,-23.52,20.463
aggressive_growth,lump,2023-06_2026-05,1.732,2078385.0,1200000.0,0.951,20.97,-23.73,21.632
aggressive_growth,DCA,2018-06_2021-06,3.0612,3673440.0,1199988.0,0.679,17.63,-33.19,13.686
aggressive_growth,DCA,2019-06_2022-06,2.3001,2760125.0,1199988.0,0.661,17.5,-33.4,14.665
aggressive_growth,DCA,2020-06_2023-06,2.0926,2511131.0,1199988.0,0.864,19.94,-22.72,17.052
aggressive_growth,DCA,2021-06_2024-06,1.8579,2229500.0,1199988.0,0.597,14.4,-22.95,12.436
aggressive_growth,DCA,2022-06_2025-06,1.612,1880622.0,1166655.0,0.887,20.52,-23.79,20.73
aggressive_growth,DCA,2023-06_2026-05,1.3792,1609088.0,1166655.0,0.953,21.15,-23.93,21.879
return_leaning,lump,2018-06_2021-06,3.1076,3729147.0,1200000.0,0.642,15.47,-32.88,13.487
return_leaning,lump,2019-06_2022-06,2.6344,3161288.0,1200000.0,0.587,15.1,-33.32,14.469
return_leaning,lump,2020-06_2023-06,2.6296,3155473.0,1200000.0,0.835,17.84,-24.51,16.811
return_leaning,lump,2021-06_2024-06,1.7989,2158680.0,1200000.0,0.556,12.76,-24.7,12.174
return_leaning,lump,2022-06_2025-06,2.0982,2517864.0,1200000.0,0.982,20.98,-19.06,20.463
return_leaning,lump,2023-06_2026-05,1.7504,2100510.0,1200000.0,1.066,21.41,-19.29,21.632
return_leaning,DCA,2018-06_2021-06,2.7289,3274671.0,1199988.0,0.645,15.64,-33.17,13.686
return_leaning,DCA,2019-06_2022-06,2.1269,2552288.0,1199988.0,0.59,15.28,-33.47,14.665
return_leaning,DCA,2020-06_2023-06,1.987,2384371.0,1199988.0,0.837,18.08,-24.81,17.052
return_leaning,DCA,2021-06_2024-06,1.8074,2168813.0,1199988.0,0.563,13.0,-24.87,12.436
return_leaning,DCA,2022-06_2025-06,1.6559,1931864.0,1166655.0,0.985,21.24,-19.37,20.73
return_leaning,DCA,2023-06_2026-05,1.4068,1641279.0,1166655.0,1.069,21.68,-19.54,21.879
balanced,lump,2018-06_2021-06,2.5311,3037360.0,1200000.0,0.585,12.5,-33.08,13.487
balanced,lump,2019-06_2022-06,2.3246,2789492.0,1200000.0,0.583,13.03,-35.43,14.469
balanced,lump,2020-06_2023-06,2.4603,2952322.0,1200000.0,0.929,16.52,-20.25,16.811
balanced,lump,2021-06_2024-06,1.6731,2007773.0,1200000.0,0.564,11.1,-20.72,12.174
balanced,lump,2022-06_2025-06,1.9077,2289295.0,1200000.0,1.035,18.06,-14.14,20.463
balanced,lump,2023-06_2026-05,1.678,2013649.0,1200000.0,1.213,19.65,-12.37,21.632
balanced,DCA,2018-06_2021-06,2.3091,2770900.0,1199988.0,0.593,12.87,-33.85,13.686
balanced,DCA,2019-06_2022-06,2.0529,2463488.0,1199988.0,0.593,13.41,-35.82,14.665
balanced,DCA,2020-06_2023-06,1.8545,2225399.0,1199988.0,0.934,16.93,-20.78,17.052
balanced,DCA,2021-06_2024-06,1.6731,2007706.0,1199988.0,0.582,11.54,-21.06,12.436
balanced,DCA,2022-06_2025-06,1.6104,1878750.0,1166655.0,1.046,18.5,-14.16,20.73
balanced,DCA,2023-06_2026-05,1.3744,1603498.0,1166655.0,1.221,20.05,-12.64,21.879
conservative,lump,2018-06_2021-06,2.246,2695185.0,1200000.0,0.523,10.81,-35.53,13.487
conservative,lump,2019-06_2022-06,1.9032,2283876.0,1200000.0,0.44,9.79,-36.69,14.469
conservative,lump,2020-06_2023-06,2.1805,2616638.0,1200000.0,0.91,14.15,-15.71,16.811
conservative,lump,2021-06_2024-06,1.7393,2087217.0,1200000.0,0.719,11.99,-15.84,12.174
conservative,lump,2022-06_2025-06,1.7506,2100701.0,1200000.0,1.016,15.48,-11.62,20.463
conservative,lump,2023-06_2026-05,1.5429,1851452.0,1200000.0,1.135,16.22,-10.44,21.632
conservative,DCA,2018-06_2021-06,2.0167,2420020.0,1199988.0,0.532,11.09,-36.21,13.686
conservative,DCA,2019-06_2022-06,1.7513,2101556.0,1199988.0,0.45,10.04,-36.98,14.665
conservative,DCA,2020-06_2023-06,1.6978,2037371.0,1199988.0,0.917,14.47,-16.06,17.052
conservative,DCA,2021-06_2024-06,1.6573,1988787.0,1199988.0,0.737,12.39,-16.06,12.436
conservative,DCA,2022-06_2025-06,1.517,1769852.0,1166655.0,1.029,15.9,-11.67,20.73
conservative,DCA,2023-06_2026-05,1.2681,1479481.0,1166655.0,1.141,16.51,-10.66,21.879
