profile,core,lookback,Sharpe,Vol,MaxDD,CAGR,VT_CAGR,VT_Sharpe,EW_CAGR,EW_Sharpe,beats_VT_CAGR,beats_VT_Sharpe,win_VT,n_periods
aggressive_growth,beta,1,0.432,19.49,-30.73,11.06,12.174,0.56,11.541,0.582,False,False,16.9,59
aggressive_growth,beta,2,0.554,19.06,-23.34,13.55,12.174,0.56,10.628,0.511,True,False,13.6,59
aggressive_growth,beta,3,0.487,18.89,-25.22,12.05,12.174,0.56,10.657,0.518,False,False,23.7,59
aggressive_growth,beta,5,0.464,19.26,-26.08,11.69,12.174,0.56,11.355,0.567,False,False,79.7,59
return_leaning,beta,1,0.502,17.54,-29.71,11.89,12.174,0.56,11.548,0.582,False,False,5.1,59
return_leaning,beta,2,0.541,17.69,-24.7,12.73,12.174,0.56,10.696,0.515,True,False,11.9,59
return_leaning,beta,3,0.553,16.96,-25.26,12.65,12.174,0.56,10.674,0.519,True,False,8.5,59
return_leaning,beta,5,0.539,17.17,-25.41,12.47,12.174,0.56,11.234,0.561,True,False,55.9,59
income,minvar,1,0.603,12.12,-16.19,11.12,12.174,0.56,11.494,0.579,False,True,100.0,59
income,minvar,2,0.701,11.8,-17.0,12.23,12.174,0.56,10.667,0.514,True,True,100.0,59
income,minvar,3,0.776,12.0,-17.95,13.38,12.174,0.56,10.721,0.522,True,True,100.0,59
income,minvar,5,0.707,12.13,-19.42,12.54,12.174,0.56,11.456,0.576,True,True,100.0,59
cost_liquidity,market,1,0.615,13.85,-20.99,12.22,12.174,0.56,11.585,0.586,True,True,100.0,59
cost_liquidity,market,2,0.613,14.15,-22.25,12.36,12.174,0.56,10.744,0.519,True,True,96.6,59
cost_liquidity,market,3,0.616,14.08,-22.26,12.36,12.174,0.56,10.682,0.52,True,True,94.9,59
cost_liquidity,market,5,0.635,14.1,-22.34,12.66,12.174,0.56,11.165,0.556,True,True,98.3,59
balanced,market,1,0.68,13.25,-19.15,12.86,12.174,0.56,11.52,0.58,True,True,76.3,59
balanced,market,2,0.574,13.32,-20.72,11.33,12.174,0.56,10.652,0.513,False,True,72.9,59
balanced,market,3,0.575,13.2,-20.43,11.28,12.174,0.56,10.696,0.521,False,True,69.5,59
balanced,market,5,0.654,13.0,-19.53,12.33,12.174,0.56,11.378,0.571,True,True,25.4,59
diversified_quality,market,1,0.61,13.47,-19.68,11.94,12.174,0.56,11.531,0.581,False,True,72.9,59
diversified_quality,market,2,0.56,13.65,-21.84,11.28,12.174,0.56,10.723,0.517,False,True,72.9,59
diversified_quality,market,3,0.536,13.4,-21.29,10.8,12.174,0.56,10.656,0.518,False,False,74.6,59
diversified_quality,market,5,0.597,13.09,-19.51,11.54,12.174,0.56,11.269,0.563,False,True,30.5,59
conservative,minvar,1,0.562,10.16,-12.96,9.6,12.174,0.56,11.508,0.579,False,True,62.7,59
conservative,minvar,2,0.607,11.19,-15.84,10.66,12.174,0.56,10.681,0.515,False,True,57.6,59
conservative,minvar,3,0.521,10.61,-16.16,9.35,12.174,0.56,10.725,0.523,False,False,54.2,59
conservative,minvar,5,0.628,10.62,-15.46,10.61,12.174,0.56,11.416,0.574,False,True,39.0,59
