profile,core,window,Sharpe,Vol,MaxDD,CAGR,VT_CAGR,VT_Sharpe,EW_CAGR,EW_Sharpe,beats_VT_CAGR,beats_VT_Sharpe,win_VT,n_periods
aggressive_growth,beta,2018-06_2021-06,0.678,21.35,-33.02,17.52,13.487,0.582,12.884,0.562,True,True,47.2,36
aggressive_growth,beta,2019-06_2022-06,0.659,21.94,-33.32,17.37,14.469,0.613,12.857,0.555,True,True,33.3,36
aggressive_growth,beta,2020-06_2023-06,0.862,18.24,-22.52,19.75,16.811,0.838,15.326,0.829,True,True,5.6,36
aggressive_growth,beta,2021-06_2024-06,0.592,18.73,-22.85,14.22,12.174,0.56,11.108,0.543,True,True,16.7,36
aggressive_growth,beta,2022-06_2025-06,0.885,18.39,-23.52,20.34,20.463,1.052,15.958,0.883,False,False,14.3,35
aggressive_growth,beta,2023-06_2026-05,0.951,17.45,-23.73,20.97,21.632,1.187,17.319,1.042,False,False,14.3,35
return_leaning,beta,2018-06_2021-06,0.642,19.05,-32.88,15.47,13.487,0.582,12.893,0.562,True,True,47.2,36
return_leaning,beta,2019-06_2022-06,0.587,20.93,-33.32,15.1,14.469,0.613,12.919,0.559,True,False,27.8,36
return_leaning,beta,2020-06_2023-06,0.835,16.57,-24.51,17.84,16.811,0.838,15.352,0.832,True,False,5.6,36
return_leaning,beta,2021-06_2024-06,0.556,17.09,-24.7,12.76,12.174,0.56,11.159,0.547,True,False,11.1,36
return_leaning,beta,2022-06_2025-06,0.982,16.85,-19.06,20.98,20.463,1.052,15.951,0.883,True,False,17.1,35
return_leaning,beta,2023-06_2026-05,1.066,15.62,-19.29,21.41,21.632,1.187,17.368,1.046,False,False,11.4,35
income,minvar,2018-06_2021-06,0.462,14.43,-38.45,10.06,13.487,0.582,12.938,0.566,False,False,100.0,36
income,minvar,2019-06_2022-06,0.514,15.45,-39.68,11.3,14.469,0.613,12.91,0.559,False,False,100.0,36
income,minvar,2020-06_2023-06,0.97,11.32,-15.73,15.38,16.811,0.838,15.418,0.837,False,True,100.0,36
income,minvar,2021-06_2024-06,0.64,11.43,-17.0,11.22,12.174,0.56,11.218,0.551,False,True,100.0,36
income,minvar,2022-06_2025-06,1.086,11.77,-12.98,17.39,20.463,1.052,15.951,0.883,False,True,100.0,35
income,minvar,2023-06_2026-05,1.373,10.91,-11.63,20.15,21.632,1.187,17.283,1.041,False,True,100.0,35
cost_liquidity,market,2018-06_2021-06,0.615,16.25,-32.59,13.48,13.487,0.582,12.985,0.568,False,True,77.8,36
cost_liquidity,market,2019-06_2022-06,0.648,17.22,-33.3,14.63,14.469,0.613,12.938,0.56,True,True,83.3,36
cost_liquidity,market,2020-06_2023-06,0.912,13.72,-21.74,16.8,16.811,0.838,15.465,0.839,False,True,75.0,36
cost_liquidity,market,2021-06_2024-06,0.59,13.89,-22.25,11.85,12.174,0.56,11.238,0.552,False,True,94.4,36
cost_liquidity,market,2022-06_2025-06,1.06,13.66,-14.93,19.1,20.463,1.052,16.035,0.888,False,True,100.0,35
cost_liquidity,market,2023-06_2026-05,1.26,12.55,-13.71,20.91,21.632,1.187,17.324,1.044,False,True,100.0,35
balanced,market,2018-06_2021-06,0.585,15.38,-33.08,12.5,13.487,0.582,12.943,0.566,False,True,61.1,36
balanced,market,2019-06_2022-06,0.583,16.55,-35.43,13.03,14.469,0.613,12.903,0.558,False,False,38.9,36
balanced,market,2020-06_2023-06,0.929,13.11,-20.25,16.52,16.811,0.838,15.37,0.833,False,True,44.4,36
balanced,market,2021-06_2024-06,0.564,13.15,-20.72,11.1,12.174,0.56,11.164,0.547,False,True,72.2,36
balanced,market,2022-06_2025-06,1.035,13.06,-14.14,18.06,20.463,1.052,15.952,0.882,False,False,77.1,35
balanced,market,2023-06_2026-05,1.213,12.12,-12.37,19.65,21.632,1.187,17.268,1.04,False,True,77.1,35
diversified_quality,market,2018-06_2021-06,0.558,15.5,-32.86,12.1,13.487,0.582,12.95,0.567,False,False,13.9,36
diversified_quality,market,2019-06_2022-06,0.559,16.78,-34.09,12.69,14.469,0.613,12.92,0.559,False,False,16.7,36
diversified_quality,market,2020-06_2023-06,0.87,13.21,-21.34,15.7,16.811,0.838,15.378,0.834,False,True,44.4,36
diversified_quality,market,2021-06_2024-06,0.547,13.34,-21.84,10.94,12.174,0.56,11.177,0.548,False,False,80.6,36
diversified_quality,market,2022-06_2025-06,1.03,13.27,-14.4,18.21,20.463,1.052,15.957,0.883,False,False,77.1,35
diversified_quality,market,2023-06_2026-05,1.253,12.19,-12.08,20.32,21.632,1.187,17.378,1.046,False,True,74.3,35
conservative,minvar,2018-06_2021-06,0.523,13.88,-35.53,10.81,13.487,0.582,12.945,0.566,False,False,80.6,36
conservative,minvar,2019-06_2022-06,0.44,14.67,-36.69,9.79,14.469,0.613,12.925,0.56,False,False,38.9,36
conservative,minvar,2020-06_2023-06,0.91,10.83,-15.71,14.15,16.811,0.838,15.405,0.835,False,True,36.1,36
conservative,minvar,2021-06_2024-06,0.719,11.07,-15.84,11.99,12.174,0.56,11.191,0.549,False,True,58.3,36
conservative,minvar,2022-06_2025-06,1.016,10.86,-11.62,15.48,20.463,1.052,15.966,0.883,False,False,62.9,35
conservative,minvar,2023-06_2026-05,1.135,10.2,-10.44,16.22,21.632,1.187,17.258,1.039,False,False,68.6,35
