Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001972.7876285841,1002116.9566559374,1004449.4001358922,1001523.2160155396,1002957.6316560275
2019-07-03,1009425.939796823,1010616.2810220063,1012266.3827146557,1008058.9558490778,1010704.3115044496
2019-07-05,1007407.7221436307,1009342.1149795533,1011054.4909687625,1004175.0083148301,1009462.4299109117
2019-07-08,1000214.665626434,1004433.7712724129,1006289.8876814292,999498.5259374381,1004463.1110298565
2019-07-09,1002979.5911783421,1005270.5916301791,1009424.2211682607,997987.8096862703,1005763.2637623827
2019-07-10,1008749.6778894687,1008358.4597505884,1014324.5540401412,1002940.6229096233,1010489.5899780669
2019-07-11,1010344.0949994269,1009360.3262320001,1016797.2289232945,1003540.6917643321,1012563.5490063091
2019-07-12,1016118.6644597963,1014149.6700484758,1020836.474794581,1007042.6708266543,1017584.7646789736
2019-07-15,1016884.770164939,1013819.6961433459,1022577.4811195123,1007379.2504217598,1017890.8075037067
2019-07-16,1011428.2674518224,1011204.719419782,1016446.6751844195,1004022.1898515204,1014623.1814637069
2019-07-17,1008506.907226002,1006024.6488897543,1014860.6365273336,999345.7753112578,1007818.4693281696
2019-07-18,1013303.5509642806,1010209.7270020269,1020953.8483976074,1003507.5610146318,1011550.3453667591
2019-07-19,1008027.5212813802,1004547.2398185289,1013075.9459546725,999622.5395260626,1006182.4682979155
2019-07-22,1014126.927199672,1005064.1748083588,1017892.3468669576,1000749.7667350012,1008661.2846944189
2019-07-23,1019903.9169057598,1011772.6576222886,1021438.3321605615,1007285.498220667,1015634.9275771725
2019-07-24,1027616.6582203695,1018151.6295763694,1028051.393064034,1010656.0493606594,1020362.133448253
2019-07-25,1019341.430285772,1012869.0963790593,1022138.5552223782,1003473.7575884894,1015436.4915795578
2019-07-26,1027265.5853627855,1019734.0647538487,1028910.1987625901,1008558.676284858,1022741.771971729
2019-07-29,1024181.622894557,1018074.5815844936,1027854.3531786421,1007707.9788073244,1020948.1531821615
2019-07-30,1021042.1668315445,1017362.6194211524,1022666.9234523517,1001976.7986296478,1018527.8650361795
2019-07-31,1008966.2109037392,1006794.3305403555,1012180.4971242915,992947.5491112627,1007044.8453783348
2019-08-01,1002581.8535234228,997733.7571806966,1007906.8469568922,985104.283556288,998656.0088797505
2019-08-02,989108.6248003625,990938.4425925795,996338.4684127693,976074.0360536465,991408.6252349268
2019-08-05,955564.188843874,963403.1081587848,964732.7129187268,948970.9019110308,962240.7295409843
2019-08-06,968404.7963088375,974955.0602187078,978334.8304567531,959592.2213045403,974664.5270391742
2019-08-07,973593.5630529089,977180.214340782,982860.710936256,962431.5527942708,975373.7682855716
2019-08-08,993972.1037496219,995001.5287227669,1002658.4692169612,977406.1228599185,994429.0913565776
2019-08-09,984340.3459171953,988025.933781415,995951.1279145911,969957.9445650717,987550.3828476062
2019-08-12,972294.0730543705,976908.7014376019,984676.6437420599,959871.1262173532,976028.8820286042
2019-08-13,989269.4854933292,989120.2842453602,999854.474817731,972075.8003669367,991179.5355008496
2019-08-14,960717.3073506756,962509.8244806734,974531.228828313,943785.1813088448,961422.4680522132
2019-08-15,961439.224203762,965056.499949243,977473.482024242,947282.8941130873,964488.5878213887
2019-08-16,977410.2465089762,979492.9948044175,991206.4111600403,960410.2610566576,978643.8446828936
2019-08-19,987953.8316590587,989913.081980774,1002276.8133429319,968657.6354547989,990700.4459053698
2019-08-20,983840.7826451423,982841.8621443645,997804.1094576523,963451.3402377183,983084.2107763714
2019-08-21,993829.7595785228,990519.4700792625,1007301.1898302726,971567.4986561984,991087.8222670234
2019-08-22,991691.1903897851,990886.0479601072,1006486.3922805004,969658.4762756496,990766.218401863
2019-08-23,966155.4417074629,966935.2075305174,981164.3898221763,949810.0085641559,965429.8264559704
2019-08-26,976491.274057534,976333.8047422968,992256.3215177635,959112.3854002532,976159.0625969507
2019-08-27,972915.2034509424,971637.7760832971,990742.6831020893,956147.4637029236,972373.569895503
2019-08-28,975977.545525076,978470.3129462324,992619.9311754319,961096.6717505855,979161.434976151
2019-08-29,990561.8499239404,989923.8877789854,1005720.6871378289,971850.8426269577,991917.3811130516
2019-08-30,990320.2467315756,990594.3453012757,1005162.3687308728,973635.35444876,991558.8026556891
2019-09-03,980330.7693050627,985594.491131282,1000656.4635991334,968560.97243865,986116.2854391389
2019-09-04,994058.5488920279,995779.6807630636,1011688.4115951592,980502.0198633422,996699.0432212487
2019-09-05,1009210.4767295505,1006703.0118091559,1022825.1918820742,991653.6966263085,1009898.259738229
2019-09-06,1008441.4421258362,1007606.1993951579,1021346.1277723039,993439.6184044542,1010682.9334047465
2019-09-09,1003213.6250769213,1008858.129446851,1014437.5330598609,994302.6822850731,1010988.2524766879
2019-09-10,1000459.9308271043,1010727.8670864621,1011355.673434465,994769.6787943908,1011257.0190634528
2019-09-11,1010420.090945629,1019611.3638680859,1020528.2426277676,1001832.697138011,1018561.9069588395
2019-09-12,1014823.6137992846,1022122.4805436976,1024544.0507102655,1006389.4334648524,1021594.6791823611
2019-09-13,1011949.7844622348,1020806.9885416576,1019644.6563883023,1008440.6306348217,1021384.4258799058
2019-09-16,1011092.4995170606,1019479.4746287889,1019456.7288303432,1004819.8830718506,1018080.117891941
2019-09-17,1014602.7299523291,1021712.242674271,1024671.1816046252,1006870.8409258806,1020891.2924529011
2019-09-18,1013461.579963134,1021332.6262965332,1025533.9133808991,1006151.6106488566,1021565.3405146578
2019-09-19,1014608.4587777753,1020667.41418275,1027349.359964319,1006883.663453477,1021392.6380520738
2019-09-20,1007989.5346477595,1017411.1393010891,1022608.0212690985,1003658.3296191043,1015988.1896582243
2019-09-23,1008483.2116960285,1018216.1061484443,1023331.5898880786,1003466.86370462,1016736.063038938
2019-09-24,997721.3318754624,1011199.0818964517,1017421.9190498485,996971.9170930843,1008384.2915504815
2019-09-25,1004781.7705025262,1016672.8428091044,1024319.2030027391,999166.1751126206,1014583.9837085194
2019-09-26,1003283.0161736248,1014892.9212225938,1024637.8792662163,999635.8855915212,1012636.6513199628
2019-09-27,991759.6416780353,1009966.8297757761,1014843.3650356208,993472.559815736,1007020.8617710382
