Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001932.5374442863,1002045.9554349361,1004403.7018724001,1001450.9937933173,1002910.4094338053
2019-07-03,1009345.3532904839,1010474.1165326923,1012174.6659399281,1007914.4066106372,1010609.7296240041
2019-07-05,1007286.5339297078,1009128.1888011773,1010916.4106733791,1003957.6652581342,1009320.1247932339
2019-07-08,1000053.067850682,1004148.1958481452,1006105.4873881142,999208.6748271403,1004273.1435729524
2019-07-09,1002777.8538636504,1004913.6769030347,1009193.623061352,997625.7935050128,1005525.872295921
2019-07-10,1008507.8392392126,1007930.2425710646,1014047.6642552406,1002506.5559766126,1010204.7153454134
2019-07-11,1010061.9779973708,1008860.6232960791,1016473.8885097784,1003034.2215800565,1012230.9702620977
2019-07-12,1015796.230645946,1013578.4325681131,1020466.6050200351,1006463.7592819312,1017204.3861389442
2019-07-15,1016521.9073753096,1013176.6059937374,1022161.0683545324,1006727.6498277552,1017462.3943121097
2019-07-16,1011024.9583916904,1010489.8012922016,1015983.6238721205,1003297.8811494727,1014146.7214368229
2019-07-17,1008063.3248558961,1005238.0757554355,1014351.1862159509,998549.0062066827,1007294.11903944
2019-07-18,1012819.7767640973,1009351.8854849639,1020398.0208140418,1002638.6744818306,1010978.428411297
2019-07-19,1007503.4070871192,1003617.8043938631,1012473.4445230666,998681.2402001043,1005562.8106944452
2019-07-22,1013562.6181035992,1004063.5280072257,1017243.6266258258,999736.3404305842,1007994.1421804435
2019-07-23,1019299.2793897167,1010700.8538278493,1020743.3247749462,1006199.8687361077,1014920.1853398164
2019-07-24,1026971.4647214056,1017008.1935151825,1027310.0610337704,1009497.7498855803,1019599.464424367
2019-07-25,1018655.5368171568,1011653.6170753505,1021350.7022103318,1002242.5499425852,1014625.674803185
2019-07-26,1026539.3640781231,1018446.8771777399,1028076.0277877733,1007255.0844547913,1021883.0423162683
2019-07-29,1023414.8588706598,1016715.2643451028,1026973.6038071676,1006331.6407767137,1020041.1679385914
2019-07-30,1020234.9209693641,1015931.2391418238,1021739.5552880964,1000527.7810916477,1017572.7111819013
2019-07-31,1008118.7508104884,1005290.956023231,1011206.7618593961,991426.271233517,1006041.6394793618
2019-08-01,1001694.5355969104,996159.130960029,1006887.1214268967,983511.4026700644,997605.2954589132
2019-08-02,988181.6862376049,989293.2266343884,995272.7821036745,974410.1237883411,990310.8026751373
2019-08-05,954598.0251785894,961687.687738318,963621.3636762921,947236.6155812296,961096.1423044017
2019-08-06,967400.5482716247,973171.2887154048,977178.9514890879,957789.5234413915,973474.5547069829
2019-08-07,972550.8670551322,975327.3719526123,981659.7132849465,960559.681243318,974137.8263216303
2019-08-08,992890.7643909061,993079.4988323656,1001412.2165878738,975464.8775542092,993147.1484397266
2019-08-09,983219.7806237899,986033.555830644,994658.8866386726,967946.2490182058,986221.5413154123
2019-08-12,971134.596095465,974846.4575186971,983338.57507722,957789.5234413914,974653.4689236259
2019-08-13,988071.5020742498,986988.9134110048,998470.9571204986,969925.0239031708,989758.0970931721
2019-08-14,959480.3293613903,960308.5408714786,973101.8268679503,941564.3547044637,959954.2910677285
2019-08-15,960164.3041518204,962787.1399188187,975999.113608212,944994.0656386443,962975.0796620481
2019-08-16,976097.3247056432,977155.387828802,989686.7803469115,958053.1830108074,977084.8627003467
2019-08-19,986602.3628837783,987506.2332731482,1000711.4305476497,966231.3646790645,989095.3238043066
2019-08-20,982450.4767161903,980365.0471430366,996192.5479675843,960955.286085646,981432.3813961284
2019-08-21,992400.7536443899,987973.231465949,1005643.6315048966,969002.0421779087,989389.64746877
2019-08-22,990223.1330044796,988269.8691860201,1004782.4597775439,967023.036316536,989021.3224258126
2019-08-23,964648.4337392779,964249.0159302463,979414.0766630182,947104.7280524195,963638.2266952498
2019-08-26,974946.0332074143,973579.2307035147,990460.5501125748,956338.7028803796,974321.9576977473
2019-08-27,971331.4002772113,968814.1956308271,988900.944277777,953304.7122767309,970490.4553482973
2019-08-28,974355.2577084318,975578.0956228522,990732.2556989928,958185.0705396173,977232.4917129981
2019-08-29,988900.9979924381,986962.5144021482,1003787.0121290367,968870.0391608949,989942.2907600123
2019-08-30,988620.4010804808,987563.0899252323,1003182.2133123816,970584.5770354245,989536.9650278083
2019-09-03,978591.83359983,982493.254059239,998629.8331278188,965440.0972503064,984047.7196767986
2019-09-04,992280.7832285749,992608.7028794641,1009615.1577605065,977311.4184457527,994584.0085388125
2019-09-05,1007393.341452596,1003461.586612571,1020704.990498011,988392.5116062757,1007736.2585887229
2019-09-06,1006584.5135814255,1004293.6571724078,1019178.8294141693,990107.0494808054,1008473.3447096959
2019-09-09,1001316.8512979591,1005474.3558182231,1012223.2263006769,990898.6056300729,1008731.0414292483
2019-09-10,998523.3715359471,1007272.5909546796,1009094.5961639002,991294.0372400951,1008952.1734946124
2019-09-11,1008443.7397618347,1016084.3019557617,1018220.4318982722,998285.4621254702,1016209.4164262507
2019-09-12,1012807.1552505738,1018523.000695467,1022189.0897130648,1002770.1000578247,1019194.2009828856
2019-09-13,1009893.0255653773,1017134.9574647077,1017242.3927156243,1004748.8749427899,1018935.8190653839
2019-09-16,1008995.3691695071,1015734.9806114701,1017007.3724634271,1001055.5621832951,1015583.3946637409
2019-09-17,1012465.4026594001,1017895.4233627601,1022174.7472860607,1003034.2215800564,1018346.611119953
2019-09-18,1011283.9126323152,1017443.373601913,1022990.1177364396,1002242.5499425849,1018972.5705917401
2019-09-19,1012390.5179874309,1016705.751245198,1024758.1097352026,1002902.2185630427,1018751.7499799893
2019-09-20,1005731.2216919005,1013377.1442955487,1019969.2091485721,999604.4529017739,1013299.1938646131
2019-09-23,1006184.7041964092,1014109.9608925538,1020645.2740727398,999340.7933323578,1013999.2170056164
2019-09-24,995382.6564338028,1007020.7077589611,1014688.0788414271,992773.6721079703,1005599.5622208013
2019-09-25,1002403.1896042576,1012422.630766065,1021537.8292698514,994896.2298067432,1011751.7677328454
2019-09-26,1000864.4713039739,1010570.5507393973,1021808.7987971616,995294.0866690467,1009756.6581774793
2019-09-27,989301.0991830745,1005572.3756545109,1011966.5060489333,989058.8785425576,1004093.1856752518
2019-09-30,996706.2561277475,1010498.8972784014,1019050.5491248989,992640.6296971219,1009053.3336281762
2019-10-01,984858.8271512163,997723.8390574045,1010254.5076541977,982026.917297627,996912.3111695675
2019-10-02,970092.1284221231,982525.1995118223,994945.1679692433,965841.3610146241,979329.571181322
2019-10-03,980164.0556254124,989501.2719207677,1000949.7654268525,973270.8326572462,987103.017331459
2019-10-04,993383.7599336047,1001385.9088861836,1015334.3331463842,983619.1531642671,1000798.8785178297
2019-10-07,990347.2010576486,997223.510443279,1010993.388993885,980435.1433838021,996505.1167156844
2019-10-08,974757.729977865,982922.2882979991,998507.7853234817,967566.0041069916,981032.412666071
2019-10-09,984726.381246846,990003.2272556504,1005725.131437626,975658.7822484929,990175.3826441226
2019-10-10,989990.5753239855,995506.7094395872,1009116.2369832397,982425.4670891532,996912.3111695672
2019-10-11,1001161.9601670407,1005640.0638760597,1012775.5598690112,995559.5940497244,1007313.802907793
2019-10-14,999991.1096861147,1003521.594842215,1009927.8796908364,993038.7175358328,1006388.2250601179
