ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
VOO,1.0,0.2923251041627156,0.1,0.6153486327287757,0.3423625254582485,0.8831307459465865,0.7116529977956378
SCHD,1.0,0.23013867906603538,0.1342857142857143,0.4449570638171577,0.8006109979633401,0.9897505115124483,0.8583402932760109
EMLP,1.0,0.1586115058253561,1.0,0.7199688312748342,0.6600814663951121,0.2140305737498751,0.23035995454358751
USMV,1.0,0.1,0.23714285714285727,0.39657214072097713,0.4238289205702649,0.5825484607635157,0.8201897668305106
VV,1.0,0.3028413082048799,0.1,0.6215488761030993,0.33014256619144605,0.5101507774998104,0.7071799225050317
VUG,1.0,0.4275519531497142,0.1,0.6943921420945453,0.19368635437881876,0.8943549697271154,0.3224215123841341
VTV,1.0,0.19250487047142253,0.1,0.5282903083203351,0.5114052953156824,0.7659400363665312,0.9507715267604091
HDV,1.0,0.11932336414237454,0.1571428571428572,0.4975083750340157,0.6947046843177189,0.525526457704518,0.5889083615153964
SCHF,1.0,0.21544702728285697,0.1,0.5574824356132381,0.7924643584521386,0.8735865058559953,0.8385503238084806
SCHX,1.0,0.3012496539040118,0.1,0.6146140327180247,0.33828920570264764,0.9063883279774845,0.7170132946314881
VYM,1.0,0.19738943330023329,0.11142857142857145,0.5315220001586761,0.5826883910386966,0.652727574514117,0.9832906608979011
VO,1.0,0.29844991799516063,0.1,0.46029046851917654,0.4075356415478615,0.7665800390816104,1.0
MGV,1.0,0.16901051042010748,0.12285714285714289,0.5388433308628399,0.519551934826884,0.33342334742071,0.8809767652011994
IVV,0.9993,0.2945160081921637,0.1,0.6158475028853305,0.35050916496945006,0.8768394161757418,0.6979996440160466
XLP,0.9943,0.16952318546179335,0.1571428571428572,0.27887715840147753,0.6397148676171079,0.7668521587055679,0.1
SPLV,0.9893,0.10480668937857747,0.35142857142857165,0.3263465725290357,0.5317718940936864,0.44122201906644365,0.6600216328710106
ITOT,0.9881,0.3112255899343073,0.1,0.6032332146410169,0.33014256619144605,0.7187125744944306,0.7232977805769679
SPYD,0.9848,0.25444232275440937,0.14571428571428577,0.42127991869451964,0.9900203665987781,0.3792244030590745,0.8834905595793913
VTI,0.9794,0.3105530280607887,0.1,0.6037430489768365,0.33828920570264764,0.804310562803627,0.6940810821912182
SPTM,0.9739,0.29648730081474656,0.1,0.6011500205806782,0.3443991853360489,0.3861842573958725,0.6894478141216096
SCHB,0.9722,0.306576855807946,0.1,0.6037457900216527,0.3403258655804481,0.7223709632213002,0.6664293440311075
