Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001482.2877103611,1002128.7513937386,1004449.4037458095,1001523.2160155396,1002957.6316560275
2019-07-03,1009097.211928398,1010616.6744792592,1012266.3871052159,1008058.9558490778,1010704.3115044496
2019-07-05,1005021.1522164034,1009339.3174266968,1011054.5035655757,1004175.0083148301,1009462.4299109117
2019-07-08,1000652.6481428784,1004439.6127387984,1006289.8942805163,999498.5259374381,1004463.1110298565
2019-07-09,997175.0742002135,1005285.8301539073,1009424.2281538049,997987.8096862703,1005763.2637623827
2019-07-10,999985.6733688808,1008368.793198751,1014324.5362659415,1002940.6229096233,1010489.5899780669
2019-07-11,1001084.2731985061,1009355.7471488367,1016797.1977618559,1003540.6917643321,1012563.5490063091
2019-07-12,1005961.9876329141,1014163.5142798244,1020836.4594256354,1007042.6708266543,1017584.7646789736
2019-07-15,1006680.8811886346,1013822.3761371872,1022577.4619380021,1007379.2504217598,1017890.8075037067
2019-07-16,1004684.181802337,1011203.6477094217,1016446.6527541508,1004022.1898515204,1014623.1814637069
2019-07-17,999500.8765132935,1006031.565839128,1014860.6250480164,999345.7753112578,1007818.4693281696
2019-07-18,1003113.632386912,1010223.0977500058,1020953.8690416452,1003507.5610146318,1011550.3453667591
2019-07-19,1000357.1555320421,1004553.7490765392,1013075.9586821399,999622.5395260626,1006182.4682979155
2019-07-22,1000218.2834228547,1005066.1141003537,1017892.3352694159,1000749.7667350012,1008661.2846944189
2019-07-23,1008404.7726430129,1011774.5184114228,1021438.3094132871,1007285.498220667,1015634.9275771725
2019-07-24,1013828.839999533,1018156.347305668,1028051.3683462854,1010656.0493606594,1020362.133448253
2019-07-25,1008429.4332477881,1012872.877888722,1022138.5439454995,1003473.7575884894,1015436.4915795578
2019-07-26,1012424.0694182267,1019741.2777165489,1028910.1675603021,1008558.676284858,1022741.771971729
2019-07-29,1012193.5835584361,1018082.1590640069,1027854.3333172335,1007707.9788073244,1020948.1531821615
2019-07-30,1007184.6128597865,1017370.6488807816,1022666.9034053994,1001976.7986296478,1018527.8650361795
2019-07-31,996580.4743177718,1006807.499116056,1012180.5006206186,992947.5491112627,1007044.8453783348
2019-08-01,986351.320895229,997737.9177257118,1007906.8345869342,985104.283556288,998656.0088797505
2019-08-02,981141.9160131362,990954.1287478468,996338.4559161541,976074.0360536465,991408.6252349268
2019-08-05,955273.304752511,963418.8218812288,964732.7180153258,948970.9019110308,962240.7295409843
2019-08-06,962319.3241901844,974954.2833789184,978334.8267226655,959592.2213045403,974664.5270391742
2019-08-07,965312.2500582248,977188.9281884915,982860.7095855273,962431.5527942708,975373.7682855716
2019-08-08,978699.1640351919,995005.014459897,1002658.4531772719,977406.1228599185,994429.0913565776
2019-08-09,970112.5634030405,988037.363659795,995951.1159679863,969957.9445650717,987550.3828476062
2019-08-12,960670.4173605471,976921.9483605868,984676.632739471,959871.1262173532,976028.8820286042
2019-08-13,971434.4968632609,989130.5924793828,999854.4421047302,972075.8003669367,991179.5355008496
2019-08-14,946061.7708201443,962521.818738923,974531.2172027782,943785.1813088448,961422.4680522132
2019-08-15,947133.9701092332,965067.3529866487,977473.4761408832,947282.8941130873,964488.5878213887
2019-08-16,961586.1403949328,979505.3537915765,991206.4030787431,960410.2610566576,978643.8446828936
2019-08-19,971100.7371072087,989924.719547276,1002276.7778296128,968657.6354547989,990700.4459053698
2019-08-20,965388.4317180455,982851.2300433363,997804.0844943459,963451.3402377183,983084.2107763714
2019-08-21,973552.565614155,990530.3685962403,1007301.1697035605,971567.4986561984,991087.8222670234
2019-08-22,974458.7102584249,990895.3525252495,1006486.3751023365,969658.4762756496,990766.218401863
2019-08-23,954164.3771582969,966940.4736725269,981164.4079543272,949810.0085641559,965429.8264559704
2019-08-26,961892.0553763208,976341.0894113414,992256.315211287,959112.3854002532,976159.0625969507
2019-08-27,958742.2142890278,971647.4199444039,990742.6658283073,956147.4637029236,972373.569895503
2019-08-28,965571.5869406135,978473.0276276135,992619.9179536353,961096.6717505855,979161.434976151
2019-08-29,974685.952056785,989932.6621062609,1005720.6512398403,971850.8426269577,991917.3811130516
2019-08-30,978149.4622522462,990613.6311955941,1005162.3375432167,973635.35444876,991558.8026556891
2019-09-03,974330.5723068989,985601.7641570293,1000656.4586024979,968560.97243865,986116.2854391389
2019-09-04,986927.703729718,995789.7533971822,1011688.3980083824,980502.0198633422,996699.0432212487
2019-09-05,997557.8136224394,1006719.1126760928,1022825.1367637395,991653.6966263085,1009898.259738229
2019-09-06,1001145.4684614989,1007619.6853395198,1021346.0730468997,993439.6184044542,1010682.9334047465
2019-09-09,1008028.9577088826,1008870.7807745633,1014437.4785987473,994302.6822850731,1010988.2524766879
2019-09-10,1014191.5055372085,1010744.9597088824,1011355.647818691,994769.6787943908,1011257.0190634528
2019-09-11,1021730.6744942728,1019631.8156148843,1020528.2347118075,1001832.697138011,1018561.9069588395
