Strategy,Rebalance_Date,Evaluation_Date,Forward_Period_Return,Preference_Score,Score_Return_CAGR,Score_Return_Div,Score_Risk_Vol,Score_Risk_MaxDD,Score_Cost,Score_Liq_Volume,Score_Liq_AUM,Score_Div_Score,Score_FinBERT,Portfolio_Volatility,Raw_Return_CAGR_%,Raw_Dividend_Yield_%,Raw_Expense_Ratio_%,Raw_Liquidity_Volume_M,Raw_Liquidity_AUM_B,Raw_FinBERT_Score,Raw_Portfolio_Volatility_%,Raw_Portfolio_MaxDD_%,Raw_Sector_HHI
Preference_Driven,2019-07-01,2019-09-30,0.020117082484655935,0.6449168313126827,0.3524321398170714,0.7975515236159116,0.8778213287966374,0.4540868869368685,0.9754446479417427,0.47872365383748305,0.8312891085041157,0.8807025678437268,0.0,0.10687930766473977,9.381927946890665,3.524380182858713,0.0493373397458777,3.0722106491887375,68.9818126482995,0.0,10.687930766473979,-17.94909132769903,0.1192974321562732
EqualWeight,2019-07-01,2019-09-30,0.014986705851783633,0.5762783524010533,0.3882561358859902,0.407837171248579,0.8451814134059263,0.5007781885479524,0.8940673695115119,0.3138151462895654,0.6327196616821444,0.878762294288002,0.0,0.11406008905069621,11.856159523065362,1.8022324597474704,0.1134219465096843,2.7057784950062063,62.243625544317496,0.0,11.406008905069621,-17.628918317986596,0.12123770571199799
MaxSharpe,2019-07-01,2019-09-30,0.021974937150434526,0.5513485135649372,0.46673747893465745,0.26681783567975637,0.8023484983450544,0.5453541497776135,0.8425118839383932,0.5002759651056862,0.6335134015707702,0.6711116931400787,0.0,0.12348333036408803,17.276577076094405,1.1790680158688431,0.15402189139851533,8.49885738899413,68.14909448526069,0.0,12.348333036408802,-16.378969626566303,0.3288883068599213
VT,2019-07-01,2019-09-30,-0.0028742569995823253,0.6435525318466966,0.35676235537089457,0.411857886399638,0.8237064637519911,1.0,0.9619047619047618,0.35013630490632075,0.9184835516853215,0.833429614233,0.0,0.11878457797456196,9.681,1.82,0.06,1.5196549071618037,76.01,0.0,11.878457797456196,-19.97257124795976,0.166570385767
VOO,2019-07-01,2019-09-30,0.01202842523550851,0.6447858845473565,0.4101993996494951,0.26929169495360944,0.784750648630483,1.0,1.0,0.48749499768051885,1.0,0.8265134546299999,0.0,0.12735485730129373,13.3717,1.19,0.03,2.617830106100796,994.36,0.0,12.735485730129373,-19.476775103229084,0.17348654537000002
Preference_Driven,2019-09-30,2019-12-31,0.07790641663395625,0.6328545102020366,0.2810102076774584,0.816248112256009,0.8765138061987434,0.46792646203654875,0.9747940828196948,0.4946605405275256,0.8099111202997888,0.8814136324783237,0.0,0.10716696263627645,10.800647001071706,3.607000408059304,0.049849659779490456,3.2183275684654657,66.1722691216844,0.0,10.716696263627647,-17.974798343165137,0.11858636752167623
EqualWeight,2019-09-30,2019-12-31,0.0708376561230879,0.5767371466056089,0.2998330223022003,0.4608191702716785,0.866198831804074,0.5546516356986099,0.8900982515569401,0.34293005007032634,0.6394740462722857,0.8942256810502907,0.0,0.10943625700310372,12.33379114680302,2.0363599134305472,0.11654762689890953,2.7614094973769254,62.444166367847856,0.0,10.943625700310374,-16.76097453499113,0.1057743189497094
MaxSharpe,2019-09-30,2019-12-31,0.05163539322491806,0.634577408267313,0.3466374975279477,0.4056430600818134,0.9149641555650416,1.0,0.9263048966850345,0.5064592379506663,0.5383679132051216,0.7959006956883052,0.0,0.09870788577569084,16.146080042856717,1.7925366825015332,0.08803489386053534,10.944203170842046,22.49781181453543,0.0,9.870788577569083,-11.950578351738494,0.20409930431169473
VT,2019-09-30,2019-12-31,0.09546661172462811,0.6316283469877266,0.29893075212970255,0.411857886399638,0.8238881462742003,1.0,0.9619047619047618,0.3655666144215399,0.9184835516853215,0.833429614233,0.0,0.11874460781967593,12.2603,1.82,0.06,1.593975331564987,76.01,0.0,11.874460781967592,-19.97257124795979,0.166570385767
VOO,2019-09-30,2019-12-31,0.09349802539672036,0.6276135889766343,0.33207568033746515,0.26929169495360944,0.7823556396229736,1.0,1.0,0.49497847826153474,1.0,0.8265134546299999,0.0,0.12788175928294582,14.96,1.19,0.03,2.632352122015915,994.36,0.0,12.788175928294581,-19.476775103229073,0.17348654537000002
Preference_Driven,2019-12-31,2020-03-31,-0.25472513307247013,0.6698928087461083,0.5754009927102732,0.824152431699578,0.506399462249734,0.6910662551694887,0.9748062043673515,0.5186333160163771,0.7836533242735715,0.8821688601528597,0.0,0.1885921183050585,-1.2784707498550762,3.6419295956804345,0.04984011406071073,3.8352444818089197,62.457083293194856,0.0,18.85921183050585,-37.06366226473094,0.11783113984714029
EqualWeight,2019-12-31,2020-03-31,-0.22313486358214796,0.578502257804265,0.6277964020776836,0.45499402461670563,0.47989059494012054,0.4140435405517331,0.9056522063075787,0.4008842965015658,0.6630748658482729,0.8908141022425151,0.0,0.19442406911317348,2.1993727411434905,2.010618594781222,0.10429888753278176,4.131515514494125,67.20040919392001,0.0,19.44240691131735,-36.19661811910471,0.10918589775748494
MaxSharpe,2019-12-31,2020-03-31,-0.12797109504706838,0.6004955830082296,0.756381409533964,0.34011771912948846,0.442609950681376,0.5996239977444899,0.9283781104771205,0.8756798846250932,0.7332811129864387,0.601877970493001,0.0,0.20262581085009726,10.734443592216618,1.5029802008332092,0.08640223799926738,24.368981057135443,62.66426112602508,0.0,20.262581085009728,-32.95036461054646,0.39812202950699904
VT,2019-12-31,2020-03-31,-0.2173401565664148,0.6496778337427798,0.6111946449734952,0.411857886399638,0.48102378211994246,1.0,0.9619047619047618,0.3811883134726871,0.9184835516853215,0.833429614233,0.0,0.19417476793361266,1.0974,1.82,0.06,1.7904180132450331,76.01,0.0,19.417476793361267,-34.236215896949105,0.166570385767
VOO,2019-12-31,2020-03-31,-0.19284749734374562,0.6496443083758988,0.6713767498731893,0.26929169495360944,0.4236512207327694,1.0,1.0,0.5187814169602515,1.0,0.8265134546299999,0.0,0.20679673143879074,5.0921,1.19,0.03,3.0383433112582785,994.36,0.0,20.679673143879075,-33.992995068668826,0.17348654537000002
Preference_Driven,2020-03-31,2020-06-30,0.1591103246253005,0.5726120207771909,0.45268967350264977,0.7326571609811188,0.4548003484901493,0.17861101197947415,0.9785083759572832,0.644633493073506,0.8983730821543328,0.8701563200837148,0.0,0.19994392333216715,4.362725515905533,3.2376119943755635,0.04692465393363947,5.575194302065385,75.7204490317213,0.0,19.994392333216716,-33.30219598349855,0.12984367991628523
EqualWeight,2020-03-31,2020-06-30,0.18616174280323405,0.5242071413776601,0.48831889916045423,0.4200161496361079,0.4088768068602051,0.4683890524530313,0.8799203300758905,0.29353354044041385,0.5759537875771426,0.8705405952138825,0.0,0.21004710249075484,7.140562747493139,2.102486046444686,0.12456274006523613,2.113226566970582,67.96347554382488,0.0,21.004710249075487,-34.40645033280052,0.12945940478611756
MaxSharpe,2020-03-31,2020-06-30,0.25131908676754633,0.4836501120893637,0.6187853667522908,0.15913512619467635,0.33740556870817373,0.23538527712962876,0.9833310506282252,0.4556388858699628,0.606457352675368,0.7425752265129326,0.0,0.22577077488420175,17.312397932211365,0.7032181226542746,0.043126797630272704,3.99354747210858,104.23110661588285,0.0,22.577077488420176,-30.987616317004406,0.2574247734870673
