Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001342.4354575833,1002057.6585976457,1004403.7053521586,1001450.9937933173,1002910.4094338053
2019-07-03,1008817.3140318401,1010474.3260300625,1012174.6700688406,1007914.4066106372,1010609.7296240041
2019-07-05,1004600.1454302073,1009125.1147305978,1010916.4228759216,1003957.6652581342,1009320.1247932339
2019-07-08,1000091.1060842955,1004153.6685045337,1006105.4934602935,999208.6748271403,1004273.1435729524
2019-07-09,996473.609451208,1004928.4544152692,1009193.6293875539,997625.7935050128,1005525.872295921
2019-07-10,999144.7867829788,1007940.0222374916,1014047.6456887668,1002506.5559766126,1010204.7153454134
2019-07-11,1000103.605277397,1008855.3974650544,1016473.8564231329,1003034.2215800565,1012230.9702620977
2019-07-12,1004841.4254489436,1013591.5376010793,1020466.588593098,1006463.7592819312,1017204.3861389442
2019-07-15,1005419.7489507677,1013178.4530289279,1022161.0479821973,1006727.6498277552,1017462.3943121097
2019-07-16,1003282.4085892717,1010487.8033814487,1015983.6001179856,1003297.8811494727,1014146.7214368229
2019-07-17,997958.7610152103,1005243.9737507501,1014351.1732806156,998549.0062066827,1007294.11903944
2019-07-18,1001431.9378582216,1009364.1447717068,1020398.039869447,1002638.6744818306,1010978.428411297
2019-07-19,998535.3923268596,1003623.109035328,1012473.4555278029,998681.2402001043,1005562.8106944452
2019-07-22,998256.871886578,1004064.1703809813,1017243.6131733502,999736.3404305842,1007994.1421804435
2019-07-23,1006303.7667323352,1010701.3253985342,1020743.300040984,1006199.8687361077,1014920.1853398164
2019-07-24,1011587.114569341,1017011.429074414,1027310.0341982235,1009497.7498855803,1019599.464424367
2019-07-25,1006046.2444099177,1011655.8228916946,1021350.6886842583,1002242.5499425852,1014625.674803185
2019-07-26,1009900.199736765,1018452.4214201597,1028075.9942053118,1007255.0844547913,1021883.0423162683
2019-07-29,1009528.5013451468,1016721.0792918456,1026973.5814342267,1006331.6407767137,1020041.1679385914
2019-07-30,1004378.3766029625,1015937.4124133298,1021739.5325978909,1000527.7810916477,1017572.7111819013
2019-07-31,993633.7605858016,1005302.1749671776,1011206.7625815955,991426.271233517,1006041.6394793618
2019-08-01,983265.6209413214,996161.2492024143,1006887.1061521936,983511.4026700644,997605.2954589132
2019-08-02,977918.6939971359,989306.7790625448,995272.7665715012,974410.1237883411,990310.8026751373
2019-08-05,951913.2909314998,961701.176438687,963621.3656072718,947236.6155812296,961096.1423044017
2019-08-06,958826.1623505957,973168.198287281,977178.9444618428,957789.5234413915,973474.5547069829
2019-08-07,961684.9853191485,975333.6832222311,981659.7085119031,960559.681243318,974137.8263216303
2019-08-08,974937.4102671575,993080.492490108,1001412.1969960675,975464.8775542092,993147.1484397266
2019-08-09,966214.4754635222,986042.4026379196,994658.8710085001,967946.2490182058,986221.5413154123
2019-08-12,956637.2273274135,974857.0306149805,983338.5602598698,957789.5234413914,974653.4689236259
2019-08-13,967267.5495302331,986996.4580780196,998470.9204624557,969925.0239031708,989758.0970931721
2019-08-14,941759.5887530143,960317.68058268,973101.8111667174,941564.3547044637,959954.2910677285
2019-08-15,942700.1442019921,962795.0500304102,975999.1035200864,944994.0656386443,962975.0796620481
2019-08-16,957020.5714706576,977164.7153390944,989686.7679303683,958053.1830108074,977084.8627003467
2019-08-19,966401.419308513,987514.7494416883,1000711.3905676053,966231.3646790645,989095.3238043066
2019-08-20,960554.0389540658,980371.202684732,996192.5184056739,960955.286085646,981432.3813961284
2019-08-21,968583.9480519765,987980.8274753424,1005643.6066479054,969002.0421779087,989389.64746877
2019-08-22,969354.7484811145,988275.7802919922,1004782.4377363642,967023.036316536,989021.3224258126
2019-08-23,948924.9437832864,964250.7977716194,979414.0897994707,947104.7280524195,963638.2266952498
2019-08-26,956520.0367899229,973582.9427580675,990460.5386792205,956338.7028803796,974321.9576977473
2019-08-27,953236.5626210754,968820.1774937287,988900.9217450406,953304.7122767309,970490.4553482973
2019-08-28,959932.8075784082,975577.0591615203,990732.237086319,958185.0705396173,977232.4917129981
2019-08-29,968913.0816497573,986967.4481590914,1003786.9707083147,968870.0391608949,989942.2907600123
2019-08-30,972241.2366066503,987578.4443872909,1003182.1764693313,970584.5770354245,989536.9650278083
2019-09-03,968286.5223002605,982496.5043224546,998629.8223431918,965440.0972503064,984047.7196767986
2019-09-04,980748.3746235353,992614.6625412166,1009615.1382515387,977311.4184457527,994584.0085388125
2019-09-05,991241.4584637631,1003473.4831429297,1020704.9293228548,988392.5116062757,1007736.2585887229
2019-09-06,994690.5982725255,1004302.84595544,1019178.7684984569,990107.0494808054,1008473.3447096959
2019-09-09,1001435.0804685181,1005482.6172207932,1012223.1655162359,990898.6056300729,1008731.0414292483
2019-09-10,1007457.5973459131,1007285.200886933,1009094.5640929115,991294.0372400951,1008952.1734946124
