Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1005896.9490486748,1002121.3092157195,1003956.5638932909,1001523.2160155396,1002957.6316560275
2019-07-03,1015729.500443584,1010622.107456846,1012241.589486732,1008058.9558490778,1010704.3115044496
2019-07-05,1013213.7085097744,1009335.918829988,1010736.832976087,1004175.0083148301,1009462.4299109117
2019-07-08,1010753.1925346293,1004430.7874281007,1005867.7267192362,999498.5259374381,1004463.1110298565
2019-07-09,1011472.3223130638,1005270.6321912935,1009539.0750910956,997987.8096862703,1005763.2637623827
2019-07-10,1015567.9004315301,1008359.7726689716,1014736.9688250092,1002940.6229096233,1010489.5899780669
2019-07-11,1014720.0711924814,1009357.6090259651,1017495.157361869,1003540.6917643321,1012563.5490063091
2019-07-12,1016241.4366461999,1014147.8246887975,1021437.1078165543,1007042.6708266543,1017584.7646789736
2019-07-15,1017368.9021423277,1013829.4381790333,1023432.6587873882,1007379.2504217598,1017890.8075037067
2019-07-16,1014113.1903608643,1011187.9295747755,1016721.0933837411,1004022.1898515204,1014623.1814637069
2019-07-17,1010322.1984225594,1006011.5621514348,1015441.012224375,999345.7753112578,1007818.4693281696
2019-07-18,1015332.8804341345,1010212.7517949754,1021259.2848445126,1003507.5610146318,1011550.3453667591
2019-07-19,1007394.6287186444,1004572.9473197585,1013752.6514555671,999622.5395260626,1006182.4682979155
2019-07-22,1006705.589887638,1005103.4255512243,1019079.0948711443,1000749.7667350012,1008661.2846944189
2019-07-23,1011519.3238320693,1011807.7202199236,1022521.3480683415,1007285.498220667,1015634.9275771725
2019-07-24,1013078.8566888212,1018161.5667840486,1029059.4496648001,1010656.0493606594,1020362.133448253
2019-07-25,1011244.4736162896,1012957.6045322788,1023738.9917680102,1003473.7575884894,1015436.4915795578
2019-07-26,1017075.4429907661,1019699.823107971,1029030.3040327333,1008558.676284858,1022741.771971729
2019-07-29,1017963.123096516,1018066.6061641701,1027590.6998056029,1007707.9788073244,1020948.1531821615
2019-07-30,1014873.0270434718,1017345.5942020704,1022294.4051845886,1001976.7986296478,1018527.8650361795
2019-07-31,1005580.2031200366,1006768.5704694893,1011704.3191818261,992947.5491112627,1007044.8453783348
2019-08-01,1000427.2728119554,997698.3353793806,1007068.5848930441,985104.283556288,998656.0088797505
2019-08-02,999131.2526509006,990976.305430156,995576.079402355,976074.0360536465,991408.6252349268
2019-08-05,975203.2805250139,963423.5366749284,962705.2035524085,948970.9019110308,962240.7295409843
2019-08-06,987315.6660358986,975008.3495978148,977617.4634594113,959592.2213045403,974664.5270391742
2019-08-07,989479.1110055813,977228.204672247,982586.1228555758,962431.5527942708,975373.7682855716
2019-08-08,1005222.3041234015,995039.4082402055,1003134.3245707868,977406.1228599185,994429.0913565776
2019-08-09,1001686.7146984794,988073.1994593114,996132.264982087,969957.9445650717,987550.3828476062
2019-08-12,994005.8027000312,976961.504026222,984112.0950314299,959871.1262173532,976028.8820286042
2019-08-13,1003159.8824692969,989196.1747571711,1000121.4171558558,972075.8003669367,991179.5355008496
2019-08-14,979561.7841806773,962585.6577989663,974413.5878416514,943785.1813088448,961422.4680522132
2019-08-15,985247.5911979827,965135.17344912,977247.1768046216,947282.8941130873,964488.5878213887
2019-08-16,996038.0661499858,979599.7334991591,991644.7247112717,960410.2610566576,978643.8446828936
2019-08-19,1005643.0076826498,990031.4427723804,1002758.5899243593,968657.6354547989,990700.4459053698
2019-08-20,997848.7704530398,982942.5522904589,998081.6024060152,963451.3402377183,983084.2107763714
2019-08-21,1004365.5520009131,990627.8428640864,1007792.6332187227,971567.4986561984,991087.8222670234
2019-08-22,1006261.226829882,990992.6243350437,1006769.6347321883,969658.4762756496,990766.218401863
2019-08-23,986004.8117963643,967004.8695909354,980243.209604632,949810.0085641559,965429.8264559704
2019-08-26,995140.7404767125,976436.5283400465,991665.4391420558,959112.3854002532,976159.0625969507
2019-08-27,992204.6229638469,971766.4816461201,990792.0522613548,956147.4637029236,972373.569895503
2019-08-28,998622.377082176,978602.8820350455,992500.3912458292,961096.6717505855,979161.434976151
2019-08-29,1006397.1734409162,990059.1574606819,1005856.6628305186,971850.8426269577,991917.3811130516
2019-08-30,1007228.6425407046,990750.5489109192,1005049.8059609934,973635.35444876,991558.8026556891
2019-09-03,1008186.3524366632,985740.2514833336,999378.7146179068,968560.97243865,986116.2854391389
2019-09-04,1016882.3836049866,995924.383425702,1010475.5501489836,980502.0198633422,996699.0432212487
2019-09-05,1021172.711817623,1006873.9355840367,1022839.0039663842,991653.6966263085,1009898.259738229
2019-09-06,1024125.1721101335,1007789.1526578597,1021291.2873768966,993439.6184044542,1010682.9334047465
2019-09-09,1022536.2747791175,1009044.4201432592,1012699.8768425228,994302.6822850731,1010988.2524766879
2019-09-10,1021083.6964999764,1010915.5385860415,1008180.5832069867,994769.6787943908,1011257.0190634528
2019-09-11,1026466.785971242,1019808.1904497021,1017180.752759672,1001832.697138011,1018561.9069588395
2019-09-12,1029672.9745247829,1022332.2178866034,1021860.3340814821,1006389.4334648524,1021594.6791823611
2019-09-13,1026724.7326228572,1021007.8979193991,1016677.0172920363,1008440.6306348217,1021384.4258799058
2019-09-16,1025763.6932117668,1019644.9890852728,1016361.4324469354,1004819.8830718506,1018080.117891941
2019-09-17,1030590.3688725146,1021888.2938594098,1022188.5243939,1006870.8409258806,1020891.2924529011
2019-09-18,1031469.5635176843,1021494.6544265732,1022274.3300736484,1006151.6106488566,1021565.3405146578
2019-09-19,1031547.3872747464,1020827.4676136785,1024208.1705759701,1006883.663453477,1021392.6380520738
2019-09-20,1029483.471838274,1017521.5404845537,1018924.6658388871,1003658.3296191043,1015988.1896582243
2019-09-23,1031041.6311579852,1018370.2196821497,1019613.9306971397,1003466.86370462,1016736.063038938
2019-09-24,1028441.3041738621,1011390.9605669116,1013225.204539354,996971.9170930843,1008384.2915504815
2019-09-25,1030085.0368256876,1016859.4963455799,1020280.5286851148,999166.1751126206,1014583.9837085194
2019-09-26,1030761.0739213858,1015086.5048363886,1020293.2729107065,999635.8855915212,1012636.6513199628
2019-09-27,1028552.7656062418,1010189.5710945519,1009754.5488796616,993472.559815736,1007020.8617710382
2019-09-30,1031849.1896729665,1015192.8244737393,1017306.8241558856,997125.7430004172,1012028.4252355084
2019-10-01,1021682.6018386221,1002492.2018411107,1008622.1134437645,986583.7213130671,999935.0525176544
2019-10-02,1008530.0873443596,987365.5854437776,993451.9478182017,970469.0891963135,982399.3889441029
2019-10-03,1015444.0579662528,994426.5237008119,999501.7706876837,977968.3160483422,990219.081212879
2019-10-04,1028097.3411485781,1006396.7918016906,1013895.3996389789,988386.9283377217,1003961.5555972904
2019-10-07,1023604.2657567009,1002310.4760304308,1009646.1329850929,985273.9577183187,999715.0537421863
2019-10-08,1012590.4347273824,988089.0474585447,997287.3798230623,972475.627646308,984289.40687864
2019-10-09,1018221.336715442,995251.158677412,1004544.8920041115,980638.2855547726,993478.7033872897
2019-10-10,1022697.7240347463,1000844.4225198529,1007993.2923130627,987475.4346408176,1000262.3901946924
2019-10-11,1027342.1536919315,1011050.5935172512,1011708.9223588776,1000680.5145517896,1010710.9583476124
2019-10-14,1025609.7243388502,1009025.3729298178,1008946.0330853628,998231.5395641349,1009832.9480961857
2019-10-15,1029529.8929473283,1016498.2375553828,1013269.4512629404,1008651.6950222929,1019615.7021534836
2019-10-16,1029766.737446152,1015378.4893639977,1012725.5595725852,1008193.493575526,1018071.9709255282
2019-10-17,1032474.3985273584,1019881.3082975983,1015752.838059181,1011051.9595294176,1020859.1138968214
2019-10-18,1033542.9249420878,1019101.9327284569,1015290.4879158365,1008073.5064093452,1016724.2673770089
2019-10-21,1038499.1543815159,1025344.9926162265,1019264.2906937061,1015177.415083224,1023842.1046673435
2019-10-22,1034654.88111025,1024127.9192625404,1016099.4317411601,1012463.832912719,1020299.5923835264
2019-10-23,1036673.65309272,1026505.6076325474,1019133.911777676,1015455.7442068198,1023346.2723430333
2019-10-24,1035880.9898920538,1026953.740731891,1021947.1003221853,1017651.1132132532,1025060.1347329299
2019-10-25,1033264.3045878725,1028632.3214645273,1019040.8350609684,1021571.6828082607,1029365.3075526567
2019-10-28,1033623.3414548425,1031669.7542335123,1017056.0658075415,1027084.3041913353,1035372.8999724503
2019-10-29,1036057.6637436091,1033314.4588107141,1018459.0031802249,1026229.6453137834,1034755.6571190218
2019-10-30,1040854.1340810697,1035685.3842269455,1024272.6808250558,1029487.4543239345,1038431.8954572034
2019-10-31,1038963.8871626875,1031574.2892545717,1023905.4477359799,1026509.8232193836,1035149.1232731325
2019-11-01,1041906.9628268898,1040458.8668405516,1026232.9223210926,1036666.5606388719,1045006.9823195396
2019-11-04,1039336.713610763,1042862.7887597608,1021634.4329992374,1041649.8082805994,1049202.0189466577
2019-11-05,1035278.2522787552,1040966.8175291212,1016098.7943845389,1041857.2802897556,1047918.5954234524
2019-11-06,1038072.1676393152,1040891.7006518756,1019221.2394253025,1041799.3699900338,1048523.3276390964
2019-11-07,1036975.5225848526,1041845.6932506813,1015790.6980633062,1045190.851779655,1052274.3281938646
2019-11-08,1035422.3610889186,1043341.5994445041,1015407.303701641,1046062.0430598542,1054877.6101138198
2019-11-11,1033390.4318613454,1041357.68599401,1012413.1044213641,1043483.6591922834,1052891.4321856997
2019-11-12,1031991.806005772,1041577.5666744217,1014766.5866621231,1044354.2543826847,1055013.7296070126
2019-11-13,1035440.3428104224,1042862.6929049897,1021597.6612590911,1042571.9120221902,1055507.4716758032
2019-11-14,1037285.2660831485,1044731.1155299506,1024433.7939829308,1042912.1087116901,1056964.124708069
2019-11-15,1042872.2708121964,1051643.7983212338,1029761.998840724,1050283.939348701,1064860.9574151554
2019-11-18,1044727.5816227593,1052118.239503564,1031417.0640321083,1050757.14718126,1065577.2861757614
2019-11-19,1044460.7104110135,1051851.1597721304,1031910.9399443947,1051098.149754504,1065109.37517993
2019-11-20,1042750.3477535343,1049313.8604214406,1032313.6899275314,1045999.3306451278,1061420.635617822
2019-11-21,1039441.6284306446,1046070.0224413086,1029623.5395803787,1044879.976835505,1059841.7554392524
2019-11-22,1040820.898915107,1048186.4240860691,1030365.2229664951,1047210.5158791345,1062223.7408172663
2019-11-25,1042731.7705132065,1055786.5973813096,1033794.7489658595,1055245.8731451654,1070306.3095167526
2019-11-26,1049232.7360033386,1059218.706756782,1038347.6984951533,1056250.3060264178,1072503.407153204
2019-11-27,1052551.7310422475,1063902.9659998124,1041949.4174374264,1060571.511711204,1077588.0303228819
