Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1005802.5374482451,1002050.0841444944,1003914.3916531028,1001450.9937933173,1002910.4094338053
2019-07-03,1015540.1999315167,1010479.4942392777,1012156.9666712397,1007914.4066106372,1010609.7296240041
2019-07-05,1012928.6230233324,1009121.3176320657,1010609.427661561,1003957.6652581342,1009320.1247932339
2019-07-08,1010372.5713148536,1004144.3113653589,1005697.5878559054,999208.6748271403,1004273.1435729524
2019-07-09,1010996.4251215828,1004912.5924123392,1009326.3272619591,997625.7935050128,1005525.872295921
2019-07-10,1014996.7217758081,1007930.2051019969,1014481.497390058,1002506.5559766126,1010204.7153454134
2019-07-11,1014053.2624924419,1008856.3290143636,1017196.7970635438,1003034.2215800565,1012230.9702620977
2019-07-12,1015479.1248666234,1013574.7832719056,1021095.7771648738,1006463.7592819312,1017204.3861389442
2019-07-15,1016510.9365339704,1013184.3152467366,1023048.3280271111,1006727.6498277552,1017462.3943121097
2019-07-16,1013159.5074013805,1010470.7494915107,1016293.6656743226,1003297.8811494727,1014146.7214368229
2019-07-17,1009273.1227757378,1005222.5000446148,1014970.7395045359,998549.0062066827,1007294.11903944
2019-07-18,1014188.8306688298,1009352.1949626827,1020746.1703514629,1002638.6744818306,1010978.428411297
2019-07-19,1006155.1322225442,1003640.5684216149,1013196.4216726606,998681.2402001043,1005562.8106944452
2019-07-22,1005371.3305307652,1004099.6080424015,1018480.1593969358,999736.3404305842,1007994.1421804435
2019-07-23,1010090.4128305392,1010732.5166195334,1021879.6068486862,1006199.8687361077,1014920.1853398164
2019-07-24,1011554.7970695674,1017014.500490577,1028374.8703895195,1009497.7498855803,1019599.464424367
2019-07-25,1009625.0578616202,1011738.2633547594,1023011.3778861079,1002242.5499425852,1014625.674803185
2019-07-26,1015360.9417572097,1018408.5416942694,1028259.844345249,1007255.0844547913,1021883.0423162683
2019-07-29,1016153.0599724251,1016702.964243143,1026777.1814424084,1006331.6407767137,1020041.1679385914
2019-07-30,1012967.3560231877,1015909.6581877737,1021437.8106496554,1000527.7810916477,1017572.7111819013
2019-07-31,1003579.1651485245,1005260.4104283685,1010804.8897553826,991426.271233517,1006041.6394793618
2019-08-01,998331.7461565019,996118.6969319757,1006126.6807201863,983511.4026700644,997605.2954589132
2019-08-02,996941.8786117121,989325.8524867028,994591.7378882123,974410.1237883411,990310.8026751373
2019-08-05,972920.2004888795,961702.655749846,961678.7432043802,947236.6155812296,961096.1423044017
2019-08-06,984941.1685530924,973218.9026123291,976550.0073589609,957789.5234413915,973474.5547069829
2019-08-07,987012.1919063658,975369.4684391216,981477.0873896161,960559.681243318,974137.8263216303
2019-08-08,1002662.8373776755,993111.2650901687,1001983.5500499734,975464.8775542092,993147.1484397266
2019-08-09,999033.273209388,986074.484261278,994939.0292983003,967946.2490182058,986221.5413154123
2019-08-12,991258.7974234202,974892.7005872825,982876.5763921572,957789.5234413914,974653.4689236259
2019-08-13,1000320.0568071841,987058.0248011803,998843.9989948337,969925.0239031708,989758.0970931721
2019-08-14,976628.2795890464,960377.3705378454,973093.815647378,941564.3547044637,959954.2910677285
2019-08-15,982222.7179061617,962858.5919415286,975885.9217299838,944994.0656386443,962975.0796620481
2019-08-16,992921.4334146872,977254.6872151748,990241.7331924419,958053.1830108074,977084.8627003467
2019-08-19,1002433.5481551066,987616.932657733,1001313.3794183072,966231.3646790645,989095.3238043066
2019-08-20,994545.5522173105,980457.8505465495,996593.773141699,960955.286085646,981432.3813961284
2019-08-21,1000969.3713795475,988073.4939202655,1006262.3521449341,969002.0421779087,989389.64746877
2019-08-22,1002771.4772748419,988368.1091844513,1005196.5375074875,967023.036316536,989021.3224258126
2019-08-23,982421.318351208,964310.1160011766,978627.3053396109,947104.7280524195,963638.2266952498
2019-08-26,991465.4834025338,973673.1742075367,990007.6340086365,956338.7028803796,974321.9576977473
2019-08-27,988436.8119149407,968933.8996008204,989091.8703904614,953304.7122767309,970490.4553482973
2019-08-28,994762.3950141196,975701.4416490367,990757.8451752856,958185.0705396173,977232.4917129981
2019-08-29,1002444.3483317924,987088.3389653404,1004071.7147672814,968870.0391608949,989942.2907600123
2019-08-30,1003182.2546331532,987709.622717994,1003221.9881363921,970584.5770354245,989536.9650278083
2019-09-03,1004046.2709204782,982629.1172815016,997508.0446723872,965440.0972503064,984047.7196767986
2019-09-04,1012648.5743693892,992743.2848131903,1008561.9553701564,977311.4184457527,994584.0085388125
2019-09-05,1016844.3332229764,1003622.1627389964,1020882.1604733673,988392.5116062757,1007736.2585887229
2019-09-06,1019701.7082383393,1004466.031270045,1019290.9927140712,990107.0494808054,1008473.3447096959
2019-09-09,1018017.4372068736,1005649.8357574266,1010656.2219370108,990898.6056300729,1008731.0414292483
2019-09-10,1016469.3445526886,1007449.2210509885,1006093.8637993833,991294.0372400951,1008952.1734946124
2019-09-11,1021756.7899807515,1016269.8570374219,1015051.0643384458,998285.4621254702,1016209.4164262507
2019-09-12,1024866.7557553714,1018721.2341253577,1019687.2896730271,1002770.1000578247,1019194.2009828856
2019-09-13,1021822.0670587447,1017324.1294707464,1014460.4568908708,1004748.8749427899,1018935.8190653839
2019-09-16,1020764.8189177287,1015888.525482399,1014101.5733535747,1001055.5621832951,1015583.3946637409
2019-09-17,1025495.3522172975,1018059.2738700723,1019885.3688141096,1003034.2215800564,1018346.611119953
2019-09-18,1026278.1249419716,1017592.9690886397,1019927.5982331961,1002242.5499425849,1018972.5705917401
2019-09-19,1026259.4854096023,1016853.1401716948,1021817.8019292249,1002902.2185630427,1018751.7499799893
2019-09-20,1024099.1711161018,1013474.6489114381,1016490.5542646357,999604.4529017739,1013299.1938646131
2019-09-23,1025561.1267826168,1014250.9493395117,1017136.1601084665,999340.7933323578,1013999.2170056164
2019-09-24,1022864.449297806,1007199.2310439016,1010703.7576474085,992773.6721079703,1005599.5622208013
2019-09-25,1024412.1463088628,1012595.7000904873,1017715.4351700499,994896.2298067432,1011751.7677328454
2019-09-26,1024991.978840006,1010750.3194912332,1017684.3504524931,995294.0866690467,1009756.6581774793
2019-09-27,1022687.4584718203,1005781.0713231118,1007101.7385922683,989058.8785425576,1004093.1856752518
2019-09-30,1025887.7838320732,1010712.2144191904,1014610.4565020473,992640.6296971219,1009053.3336281762
2019-10-01,1015623.9025707808,997929.1706119337,1005852.7451904389,982026.917297627,996912.3111695675
2019-10-02,1002375.1083917678,982721.1412532283,990610.1085344071,965841.3610146241,979329.571181322
2019-10-03,1009193.9998944759,989701.8950377663,996588.5344941765,973270.8326572462,987103.017331459
2019-10-04,1021751.5403998032,1001591.4379380066,1010910.4268785726,983619.1531642671,1000798.8785178297
2019-10-07,1017161.6185364125,997423.4742965219,1006588.3967360142,980435.1433838021,996505.1167156844
2019-10-08,1006051.337937133,983120.7385037363,994157.1973184069,967566.0041069916,981032.412666071
2019-10-09,1011586.8068153086,990202.6261262821,1001343.0918402969,975658.7822484929,990175.3826441226
2019-10-10,1015967.2726007367,995715.1449390389,1004719.4179478928,982425.4670891532,996912.3111695672
2019-10-11,1020515.3747206371,1005840.1210189926,1008362.7923619734,995559.5940497244,1007313.802907793
2019-10-14,1018686.0790006174,1003732.9576930864,1005527.5137444114,993038.7175358328,1006388.2250601179
2019-10-15,1022509.5590586518,1011124.0468334764,1009778.8103108794,1003387.1535310576,1016123.4552290102
2019-10-16,1022649.3044637041,1009922.0014328068,1009162.6548214679,1002856.4852343135,1014531.7403934468
2019-10-17,1025259.8455425146,1014342.5852556863,1012117.633726913,1005642.5226642714,1017270.9749214436
2019-10-18,1026230.9957774908,1013480.6392166509,1011582.7717210691,1002591.4398064511,1013088.0906055932
2019-10-21,1031089.7527101522,1019641.0662249996,1015483.9986139368,1009622.9390985661,1020158.0876249825
2019-10-22,1027147.4803459188,1018340.8313498847,1012246.268108253,1006836.4397157929,1016567.4012092497
2019-10-23,1029068.5070038564,1020635.3480864884,1015207.9142045687,1009755.6350448031,1019566.076597033
2019-10-24,1028177.9049275558,1021000.1135198104,1017948.0603342985,1011878.0772553722,1021231.7928110901
2019-10-25,1025463.3888000476,1022595.3972942883,1014968.6115493189,1015725.5667670222,1025488.7407961565
2019-10-28,1025724.8213051682,1025549.4942330286,1012910.9874349859,1021164.8301924971,1031447.9073587458
2019-10-29,1028061.4867740473,1027110.732514991,1014241.4312025384,1020236.4205216535,1030781.9572430253
2019-10-30,1032760.1231210922,1029398.0399937363,1019982.4848531942,1023420.5457903225,1034409.5197665594
2019-10-31,1030771.6195511353,1025203.1536118768,1019542.1868177573,1020369.0009796867,1031077.9004662773
2019-11-01,1033616.6394564041,1034004.2709308298,1021796.524760298,1030452.0450824376,1040887.0697229401
2019-11-04,1030947.9934745358,1036324.0662348402,1017124.8075070388,1035360.8711875759,1045032.9533495434
2019-11-05,1026791.2564589015,1034343.7790007415,1011516.4059964423,1035493.5671338128,1043700.1810479857
2019-11-06,1029487.2996433971,1034184.5559878437,1014566.5303328683,1035360.8711875759,1044255.6274217467
2019-11-07,1028292.6120472213,1035054.4267882503,1011063.420116564,1038677.576914278,1047957.31590522
2019-11-08,1026641.5609526379,1036466.204914204,1010607.8566908146,1039473.7525917001,1050511.1109519242
2019-11-11,1024511.9352160715,1034398.1082151051,1007541.5816553286,1036820.2956197754,1048475.3255546759
2019-11-12,1023015.8054954228,1034533.9990361126,1009823.2559532163,1037616.009344382,1050548.111641171
2019-11-13,1026367.0589986611,1035735.1966397996,1016582.3802274882,1035758.7280498792,1050992.2444935783
2019-11-14,1028114.4712965547,1037519.5800203662,1019345.9564384816,1036024.1199423532,1052399.2673365208
2019-11-15,1033603.7983462618,1044348.0712102139,1024601.4256780582,1043321.1266151462,1060246.4034115386
