ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
VOO,3.0,2026-03-31,18.2636,1.19,14.7516,-18.6894,0.03,6.302103856382979,994.36,5.7637,-0.141363
IVV,3.0,2026-03-31,18.2818,1.23,14.8279,-18.7545,0.03,6.03686329787234,854.92,5.6529,-0.169681
SPY,3.0,2026-03-31,18.1808,1.14,15.1458,-18.7552,0.095,70.38874760638298,783.8,5.6402,-0.11395
VTI,3.0,2026-03-31,17.8402,1.17,15.3232,-19.3036,0.03,3.59336329787234,660.72,5.6211,-0.009994
QQQ,3.0,2026-03-31,22.3186,0.49,19.6378,-22.7683,0.18,46.6684472074468,495.18,2.5213,-0.160011
VEA,3.0,2026-03-31,16.0714,2.94,14.761,-13.4533,0.03,11.938651329787234,231.13,,0.169343
VUG,3.0,2026-03-31,21.1473,0.46,19.3409,-22.8454,0.03,6.800387234042553,231.9,2.605,0.030681
IEFA,3.0,2026-03-31,14.4956,3.52,14.7312,-13.7572,0.07,9.767459973404256,186.62,,0.052216
VTV,3.0,2026-03-31,15.0875,2.02,12.3236,-14.5195,0.03,2.665450664893617,178.9,7.7042,0.072841
IEMG,3.0,2026-03-31,16.0662,2.68,16.7239,-17.2063,0.09,11.214016622340425,162.03,,0.172648
VXUS,3.0,2026-03-31,15.4989,2.99,14.4439,-13.58,0.05,4.025393617021277,153.22,,0.003349
IWF,3.0,2026-03-31,21.0038,0.4,19.1017,-23.3567,0.18,6.127761170212766,133.24,2.6729,0.142028
VWO,3.0,2026-03-31,13.7299,2.71,15.7788,-17.3679,0.06,9.57713590425532,121.67,,0.222726
VGT,3.0,2026-03-31,22.5719,0.44,23.2983,-27.2288,0.09,4.236340425531915,148.99,0.8,0.049158
IJH,3.0,2026-03-31,12.0547,1.32,18.0461,-24.1047,0.05,8.803483776595746,119.12,6.5789,-0.043215
VIG,3.0,2026-03-31,13.8014,1.61,12.3208,-14.9505,0.04,1.0985797872340426,108.57,6.2267,0.074711
IJR,3.0,2026-03-31,10.4868,1.29,20.5665,-28.0241,0.06,4.515980186170213,103.49,7.3314,0.080332
VO,3.0,2026-03-31,12.6067,1.51,14.8368,-19.0185,0.03,2.691018085106383,103.02,8.2576,-0.066768
XLK,3.0,2026-03-31,21.5709,0.57,23.2779,-25.6563,0.08,13.112409574468085,124.52,0.8,-0.228226
SCHD,3.0,2026-03-31,12.0473,3.44,13.2101,-16.1248,0.06,13.541104787234042,94.95,6.9541,0.035559
RSP,3.0,2026-03-31,11.7207,1.62,14.0488,-17.8096,0.2,9.040541888297872,88.26,8.1699,-0.158103
ITOT,3.0,2026-03-31,17.8216,1.13,15.2449,-19.4404,0.03,1.9827441489361701,93.42,5.8582,0.0575
EFA,3.0,2026-03-31,14.3612,3.35,14.7194,-14.0535,0.32,15.205456515957447,77.2,,0.034941
VYM,3.0,2026-03-31,15.2054,2.37,12.676,-14.4553,0.04,1.2777291223404257,78.86,7.9681,0.035913
IWM,3.0,2026-03-31,12.9408,1.02,21.1634,-27.5031,0.19,34.17095066489362,80.93,6.8776,-0.152238
VB,3.0,2026-03-31,13.0329,1.34,19.0171,-25.3614,0.03,0.7462457446808511,78.61,7.0225,0.164497
IWD,3.0,2026-03-31,14.1011,1.67,13.0525,-15.7135,0.18,2.411930186170213,75.56,8.5616,0.117456
VT,3.0,2026-03-31,16.8534,1.82,14.09,-16.5145,0.06,2.2836125,76.01,6.0024,0.068523
IVW,3.0,2026-03-31,21.7025,0.43,18.7279,-22.1536,0.18,2.5648579787234045,76.07,3.2038,-0.181799
SCHX,3.0,2026-03-31,18.2368,1.17,14.9902,-19.0375,0.03,9.723164627659575,72.63,5.8072,-0.190873
VEU,3.0,2026-03-31,15.682,2.93,14.4404,-13.693,0.04,2.6495005319148937,66.77,,-0.070429
SCHF,3.0,2026-03-31,16.1525,3.4,14.684,-13.4081,0.03,8.403222739361702,66.49,6.7935,0.066983
IXUS,3.0,2026-03-31,15.5462,3.18,14.5506,-13.7464,0.07,1.8664226063829785,58.44,,0.097123
SCHG,3.0,2026-03-31,21.9084,0.43,19.3953,-23.3926,0.04,8.051060372340427,61.46,3.1287,0.149514
IWR,3.0,2026-03-31,13.1416,1.28,15.9582,-21.0941,0.18,1.6143783244680852,54.8,8.0321,-0.17474
XLF,3.0,2026-03-31,17.2429,1.6,16.1804,-15.5403,0.08,43.08787952127659,49.42,0.8296,-0.382153
SMH,3.0,2026-03-31,43.4592,0.29,34.0361,-35.7388,0.35,7.7693442819148935,67.82,0.8919,0.144434
QUAL,3.0,2026-03-31,16.9019,0.98,14.6197,-17.9975,0.15,1.4665752659574467,47.11,5.4496,0.212279
VV,3.0,2026-03-31,18.4898,1.13,15.1415,-18.9747,0.03,0.2953921542553192,53.19,5.7274,-0.274291
IVE,3.0,2026-03-31,13.6859,1.64,12.7301,-17.5837,0.18,0.7481436170212766,48.28,8.3126,0.055489
IWB,3.0,2026-03-31,17.9426,1.06,14.9654,-19.0949,0.15,0.9636550531914893,48.87,6.0716,0.021905
DIA,3.0,2026-03-31,13.5733,1.52,13.3955,-15.9543,0.16,3.9891985372340426,44.83,4.7031,-0.179505
VONG,3.0,2026-03-31,21.0963,0.51,19.0769,-23.2657,0.06,1.2026393617021276,46.02,2.7992,0.07614
XLE,3.0,2026-03-31,17.7056,2.44,21.392,-20.1373,0.08,35.58909375,38.67,0.8,-0.221833
SCHB,3.0,2026-03-31,17.8403,1.18,15.0471,-19.3435,0.03,4.202839095744681,43.31,5.3967,0.343877
DGRO,3.0,2026-03-31,14.5891,2.1,11.8704,-14.0263,0.08,1.7159523936170213,40.46,7.0671,0.033827
XLV,3.0,2026-03-31,5.983,1.71,13.7112,-17.109,0.08,9.899781914893618,38.25,0.8,-0.365512
SPDW,3.0,2026-03-31,16.0215,3.28,14.6923,-13.5293,0.03,3.585744015957447,40.94,,-0.026268
VNQ,3.0,2026-03-31,6.4374,3.93,16.9555,-17.4548,0.13,4.132816489361702,36.91,0.8,-0.068356
VBR,3.0,2026-03-31,13.4187,1.91,18.2306,-24.1947,0.05,0.4497752659574468,35.58,7.3421,0.220741
SPYV,3.0,2026-03-31,13.8382,1.82,12.7103,-17.5373,0.04,2.699391888297872,35.25,8.1967,-0.191473
GDX,3.0,2026-03-31,43.2193,0.69,36.3887,-30.8356,0.51,22.57595744680851,27.13,,0.067766
VGK,3.0,2026-03-31,14.2865,3.01,15.0756,-14.3066,0.06,2.9181242021276597,30.19,,-0.0465
XLI,3.0,2026-03-31,18.6749,1.27,16.0358,-18.4907,0.08,9.971229122340425,30.22,1.0,-0.209549
EFV,3.0,2026-03-31,20.5683,4.01,14.2741,-13.7164,0.31,2.6798393617021277,30.12,,0.051342
ACWI,3.0,2026-03-31,16.9755,1.59,14.1575,-16.5472,0.32,3.362591090425532,32.93,5.7339,0.116783
MGK,3.0,2026-03-31,22.1156,0.39,19.878,-23.3629,0.05,1.847032579787234,34.6,2.3923,0.102609
TQQQ,3.0,2026-03-31,45.082,0.75,58.4178,-58.0401,0.82,146.67757127659573,39.77,,-0.144707
IUSG,3.0,2026-03-31,21.3422,0.58,18.4888,-22.2776,0.04,0.5057,32.58,2.7739,0.307514
EEM,3.0,2026-03-31,15.719,2.16,17.194,-17.2924,0.72,29.018390824468085,30.33,,0.03623
VXF,3.0,2026-03-31,15.0795,1.18,20.0463,-26.9177,0.05,0.42169561170212766,30.13,6.9493,-0.068206
XLU,3.0,2026-03-31,14.1191,2.59,16.1793,-18.3923,0.08,25.693778856382977,22.35,0.8,-0.255521
MDY,3.0,2026-03-31,11.7562,1.16,18.0836,-24.0344,0.23,0.9114986702127659,26.4,6.6667,-0.081166
SOXX,3.0,2026-03-31,31.2999,0.51,34.9971,-41.361,0.34,4.518784840425532,38.37,0.863,0.063593
IUSV,3.0,2026-03-31,13.6837,1.81,12.9146,-17.7628,0.04,0.7174803191489362,26.01,8.2508,0.21619
FNDX,3.0,2026-03-31,17.1178,1.62,13.2508,-16.3032,0.25,2.6960242021276595,25.47,8.5106,0.165543
FNDF,3.0,2026-03-31,20.3781,3.25,14.601,-13.8852,0.25,1.1658053191489361,24.55,8.4962,0.03371
USMV,3.0,2026-03-31,10.2821,1.59,10.3216,-9.3595,0.15,2.5174077127659573,23.09,6.6445,0.186177
DVY,3.0,2026-03-31,13.0871,3.46,14.0875,-16.0002,0.38,0.5151123670212766,22.36,6.0864,0.069644
MTUM,3.0,2026-03-31,21.0448,0.82,19.6568,-20.992,0.15,0.76166875,26.66,4.415,0.069379
VOOG,3.0,2026-03-31,21.7921,0.54,18.7613,-22.1752,0.07,1.144473670212766,26.45,3.272,-0.040983
XLY,3.0,2026-03-31,14.3062,0.82,20.7132,-26.0074,0.08,9.174796941489362,23.78,0.8162,-0.444367
VOE,3.0,2026-03-31,13.7265,1.99,14.0112,-18.4496,0.05,0.33363125,22.55,8.0775,-0.054642
VBK,3.0,2026-03-31,12.4644,0.52,20.9314,-27.5428,0.05,0.25218656914893617,23.93,5.8582,0.193584
RDVY,3.0,2026-03-31,16.9375,1.03,16.8952,-19.1093,0.47,0.9308591755319149,22.37,4.81,0.190296
SCHA,3.0,2026-03-31,13.1005,1.17,20.3904,-27.2874,0.04,2.5708248670212765,22.78,6.6094,0.181789
SDY,3.0,2026-03-31,8.4893,2.53,12.3334,-14.3862,0.35,0.3197683510638298,21.03,7.5019,-0.005542
EWJ,3.0,2026-03-31,16.2658,4.33,18.4555,-14.6762,0.49,6.463403856382979,21.3,,-0.112809
IYW,3.0,2026-03-31,25.4016,0.15,23.3104,-26.4748,0.38,0.9046509308510639,25.22,1.1569,-0.060052
IWP,3.0,2026-03-31,12.5367,0.36,19.25,-25.1966,0.23,0.8827587765957446,20.54,5.8582,-0.172298
VYMI,3.0,2026-03-31,20.4128,3.64,13.6224,-12.8357,0.07,0.6223498670212766,19.5,,0.09438
OEF,3.0,2026-03-31,20.6505,0.98,15.865,-19.7984,0.2,0.43932686170212765,20.72,3.7418,0.006181
EWY,3.0,2026-03-31,29.2279,1.69,27.9381,-27.364,0.59,5.117441622340426,25.45,,0.159537
IWV,3.0,2026-03-31,17.6736,0.99,15.1232,-19.2766,0.2,0.1858281914893617,19.82,5.7504,0.128112
VONV,3.0,2026-03-31,14.2451,1.82,13.0141,-15.7005,0.06,0.6763558510638298,19.77,8.569,0.159063
SPYG,3.0,2026-03-31,21.8487,0.58,18.798,-22.1427,0.04,2.6365440159574467,53.86,3.3529,-0.184213
VOT,3.0,2026-03-31,10.4885,0.72,17.6786,-21.774,0.05,0.18427659574468083,19.21,5.8343,-0.06184
SPEM,3.0,2026-03-31,14.385,2.84,15.6205,-17.6249,0.07,1.9269476063829787,17.97,,0.247821
SPHQ,3.0,2026-03-31,18.1851,1.19,14.0492,-16.5687,0.15,1.1061932180851064,18.88,5.1921,0.004069
