Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001481.1568846806,1002067.0474816796,1003956.9595909566,1001523.2160155396,1002957.6316560275
2019-07-03,1008698.2119892563,1010580.7670438489,1012242.0995581731,1008058.9558490778,1010704.3115044496
2019-07-05,1004538.1264498703,1009303.1831035225,1010737.3338364562,1004175.0083148301,1009462.4299109117
2019-07-08,999496.3886888744,1004410.6921330012,1005868.4968421576,999498.5259374381,1004463.1110298565
2019-07-09,996532.256672136,1005165.147603487,1009540.1602314007,997987.8096862703,1005763.2637623827
2019-07-10,1000095.6234902286,1008165.0107058706,1014738.0405716002,1002940.6229096233,1010489.5899780669
2019-07-11,1002130.4049247686,1009092.0192881144,1017496.1091656464,1003540.6917643321,1012563.5490063091
2019-07-12,1006642.3354520642,1013858.8597369234,1021437.7408094442,1007042.6708266543,1017584.7646789736
2019-07-15,1007550.0979241312,1013536.3451404374,1023433.3921905077,1007379.2504217598,1017890.8075037067
2019-07-16,1005423.6594686781,1010903.1597560496,1016721.5575621107,1004022.1898515204,1014623.1814637069
2019-07-17,1000451.2217866022,1005749.9868161269,1015442.0607075489,999345.7753112578,1007818.4693281696
2019-07-18,1003767.7358809869,1010030.7679038438,1021260.5075824826,1003507.5610146318,1011550.3453667591
2019-07-19,1000997.2461940049,1004423.4611164768,1013753.3702100785,999622.5395260626,1006182.4682979155
2019-07-22,1001880.3479260767,1004833.0211594582,1019079.662594094,1000749.7667350012,1008661.2846944189
2019-07-23,1010007.0418524954,1011558.9206444836,1022521.2379484278,1007285.498220667,1015634.9275771725
2019-07-24,1015115.9432496786,1017971.0234485982,1029059.2487320155,1010656.0493606594,1020362.133448253
2019-07-25,1009843.3010351398,1012799.1286169443,1023738.6407080835,1003473.7575884894,1015436.4915795578
2019-07-26,1014505.3945617257,1019461.4740913722,1029029.9548142183,1008558.676284858,1022741.771971729
2019-07-29,1014102.7065087262,1017855.6925711781,1027590.368870397,1007707.9788073244,1020948.1531821615
2019-07-30,1008182.2089078597,1017178.742702727,1022293.8661970734,1001976.7986296478,1018527.8650361795
