Strategy,Rebalance_Date,Evaluation_Date,Forward_Period_Return,Preference_Score,Score_Return_CAGR,Score_Return_Div,Score_Risk_Vol,Score_Risk_MaxDD,Score_Cost,Score_Liq_Volume,Score_Liq_AUM,Score_Div_Score,Score_FinBERT,Portfolio_Volatility,Raw_Return_CAGR_%,Raw_Dividend_Yield_%,Raw_Expense_Ratio_%,Raw_Liquidity_Volume_M,Raw_Liquidity_AUM_B,Raw_FinBERT_Score,Raw_Portfolio_Volatility_%,Raw_Portfolio_MaxDD_%,Raw_Sector_HHI
Preference_Driven,2019-07-01,2019-09-30,0.017348064442906708,0.7272718812163395,0.364602514681445,0.6709863139442953,0.8561771658257986,0.6536864668369627,0.96793475920731,0.6621799430898693,0.9449984489290626,0.8766922473983038,0.0,0.11164102351832429,10.22249095179345,2.965088521319841,0.055251377124243405,19.41445231909895,221.3639904521542,0.0,11.16410235183243,-18.79571607862597,0.1233077526016962
EqualWeight,2019-07-01,2019-09-30,0.015344896496845006,0.6063305916826192,0.38553546358062724,0.41658730340650385,0.8479648190216834,0.5090366510761226,0.8904646519458121,0.33900186047721287,0.6343367145062073,0.8796774898799861,0.0,0.11344773981522964,11.668252699008022,1.8408992937533402,0.11625908659267295,5.379059625068692,64.94211499168082,0.0,11.344773981522964,-17.539741869672284,0.12032251012001394
MaxSharpe,2019-07-01,2019-09-30,0.017307300610574394,0.6027630800248015,0.4605299843312274,0.24602298763374864,0.7721755458367346,0.42515342310992754,0.8947646853726928,0.6028395792072846,0.6016819897830499,0.6539144244571979,0.0,0.13012137991591838,16.84784826741563,1.0871755823535352,0.11287281026900425,15.723930164376261,56.99629351112833,0.0,13.012137991591835,-18.033968873489336,0.346085575542802
VT,2019-07-01,2019-09-30,-0.0028742569995823253,0.6797373244872821,0.35676235537089457,0.411857886399638,0.8237064637519911,1.0,0.9619047619047618,0.35013630490632075,0.9184835516853215,0.833429614233,0.0,0.11878457797456196,9.681,1.82,0.06,1.5196549071618037,76.01,0.0,11.878457797456196,-19.97257124795976,0.166570385767
VOO,2019-07-01,2019-09-30,0.01202842523550851,0.7030253462673902,0.4101993996494951,0.26929169495360944,0.784750648630483,1.0,1.0,0.48749499768051885,1.0,0.8265134546299999,0.0,0.12735485730129373,13.3717,1.19,0.03,2.617830106100796,994.36,0.0,12.735485730129373,-19.476775103229084,0.17348654537000002
Preference_Driven,2019-09-30,2019-12-31,0.0833291163723826,0.7076417909700089,0.2923580373688077,0.6888741320569305,0.856496516343535,0.6317914339274687,0.9848946496807254,0.5760570435536392,0.9440968717505259,0.8765613171876651,0.0,0.1115707664044223,11.72494334064142,3.0441347895595756,0.04189546337642879,3.7436025720610333,179.9626775519714,0.0,11.15707664044223,-18.826733553410506,0.12343868281233493
EqualWeight,2019-09-30,2019-12-31,0.07058377272586336,0.6035967928875692,0.2996188198009724,0.4610906940858084,0.8660483781179947,0.5534773728855655,0.8904195498546219,0.34581730732286403,0.6431510490056456,0.8941142993747283,0.0,0.10946935681404116,12.316344058399626,2.037559777165187,0.11629460448948528,2.7991382041602333,67.07014999632955,0.0,10.946935681404115,-16.777906980279013,0.10588570062527172
MaxSharpe,2019-09-30,2019-12-31,0.051636141803474755,0.6589097218350374,0.3466368401362525,0.4056505096276425,0.914964740272991,1.0,0.9263067934007717,0.5064598483451593,0.5383766823274481,0.7958987705442484,0.0,0.09870775713994198,16.146026497398772,1.7925696020445518,0.08803340019689221,10.944379414113504,22.498514532469606,0.0,9.870775713994199,-11.95054411552595,0.20410122945575157
VT,2019-09-30,2019-12-31,0.09546661172462811,0.6712010749483589,0.29893075212970255,0.411857886399638,0.8238881462742003,1.0,0.9619047619047618,0.3655666144215399,0.9184835516853215,0.833429614233,0.0,0.11874460781967593,12.2603,1.82,0.06,1.593975331564987,76.01,0.0,11.874460781967592,-19.97257124795979,0.166570385767
VOO,2019-09-30,2019-12-31,0.09349802539672036,0.6895736933800456,0.33207568033746515,0.26929169495360944,0.7823556396229736,1.0,1.0,0.49497847826153474,1.0,0.8265134546299999,0.0,0.12788175928294582,14.96,1.19,0.03,2.632352122015915,994.36,0.0,12.788175928294581,-19.476775103229073,0.17348654537000002
Preference_Driven,2019-12-31,2020-03-31,-0.2157351252586056,0.7453637573220037,0.6125494975791973,0.6876119763158061,0.5157152226052655,0.8162208959250553,0.9751927407453782,0.6463266640353171,0.9446350093603106,0.8765841359213153,0.0,0.1865426510268416,1.1873308808327416,3.038557323339546,0.04953571666301472,13.648504194562712,169.62201557934873,0.0,18.65426510268416,-33.95053551258647,0.1234158640786846
EqualWeight,2019-12-31,2020-03-31,-0.22302138097118196,0.618027940707215,0.6274808972790085,0.4545775688410152,0.4809302040294563,0.41536211551030555,0.9037215189863157,0.4141979919572558,0.667258954277353,0.8905773324822897,0.0,0.1941953551135196,2.178430518843883,2.008778276708446,0.10581930379827634,6.453123691455017,70.36942568616409,0.0,19.41953551135196,-36.173477864296906,0.10942266751771029
MaxSharpe,2019-12-31,2020-03-31,-0.12796966977564495,0.6900069454189368,0.7563839537562496,0.3401112106363436,0.44260676607180227,0.5996329722865581,0.9283816765743914,0.8756663209556069,0.7332686058073782,0.601874583764332,0.0,0.2026265114642035,10.734612469738936,1.5029514398020019,0.08639942969766677,24.368864316584812,62.66366690222535,0.0,20.262651146420353,-32.95032463054526,0.39812541623566805
VT,2019-12-31,2020-03-31,-0.2173401565664148,0.6881394558478683,0.6111946449734952,0.411857886399638,0.48102378211994246,1.0,0.9619047619047618,0.3811883134726871,0.9184835516853215,0.833429614233,0.0,0.19417476793361266,1.0974,1.82,0.06,1.7904180132450331,76.01,0.0,19.417476793361267,-34.236215896949105,0.166570385767
VOO,2019-12-31,2020-03-31,-0.19284749734374562,0.7104597082734975,0.6713767498731893,0.26929169495360944,0.4236512207327694,1.0,1.0,0.5187814169602515,1.0,0.8265134546299999,0.0,0.20679673143879074,5.0921,1.19,0.03,3.0383433112582785,994.36,0.0,20.679673143879075,-33.992995068668826,0.17348654537000002
Preference_Driven,2020-03-31,2020-06-30,0.17345080017528947,0.6582078795405211,0.46855774339357015,0.6460086370731843,0.4413740332445022,0.15954278948855727,0.9846328851447376,0.6892054830298832,0.9171654402632701,0.8749646358696647,0.0,0.2028977126862095,5.59988165732107,2.8547121672264013,0.0421016029485193,5.96596694155301,259.0432343706212,0.0,20.289771268620953,-33.140126770687765,0.12503536413033534
EqualWeight,2020-03-31,2020-06-30,0.18928011537195277,0.5537702939632814,0.48517956995266853,0.4103972471842645,0.4027307784271118,0.4504953957709734,0.8811051160350372,0.29964193966458885,0.5898007851277782,0.870844746336778,0.0,0.2113992287460354,6.8958045358117355,2.0593073961125343,0.12362972112240828,2.2721546930762146,75.42248273335565,0.0,21.139922874603545,-34.73721519973411,0.12915525366322203
