Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001363.5378370616,1001994.417991287,1003914.7880823344,1001450.9937933173,1002910.4094338053
2019-07-03,1008462.8368710394,1010435.3428767949,1012157.4781629586,1007914.4066106372,1010609.7296240041
2019-07-05,1004184.1762115099,1009084.3520172092,1010609.9306314013,1003957.6652581342,1009320.1247932339
2019-07-08,999024.4218842746,1004118.5694058153,1005698.3607765654,999208.6748271403,1004273.1435729524
2019-07-09,995942.87246196,1004800.0503233431,1009327.4158571202,997625.7935050128,1005525.872295921
2019-07-10,999389.2628106946,1007726.9776396871,1014482.5732325102,1002506.5559766126,1010204.7153454134
2019-07-11,1001306.6871539237,1008580.863557311,1017197.7536052592,1003034.2215800565,1012230.9702620977
2019-07-12,1005701.042456688,1013274.532305902,1021096.4155499521,1006463.7592819312,1017204.3861389442
2019-07-15,1006490.7127653558,1012878.5206991845,1023049.0675175516,1006727.6498277552,1017462.3943121097
2019-07-16,1004246.0807206547,1010171.8628149289,1016294.1366224773,1003297.8811494727,1014146.7214368229
2019-07-17,999155.6938131175,1004945.3956515025,1014971.7954583903,998549.0062066827,1007294.11903944
2019-07-18,1002354.8268169413,1009153.2772584392,1020747.4012121052,1002638.6744818306,1010978.428411297
2019-07-19,999466.5884072711,1003472.7359686652,1013197.1491874496,998681.2402001043,1005562.8106944452
2019-07-22,1000232.2318162655,1003809.4516898933,1018480.7365572765,999736.3404305842,1007994.1421804435
2019-07-23,1008241.4087558481,1010462.5626786279,1021879.5068568188,1006199.8687361077,1014920.1853398164
2019-07-24,1013231.8349026873,1016801.3907225459,1028374.6803411935,1009497.7498855803,1019599.464424367
2019-07-25,1007840.1232588663,1011555.8000149374,1023011.0384863375,1002242.5499425852,1014625.674803185
2019-07-26,1012383.7881592994,1018144.7901435434,1028259.5075637146,1007255.0844547913,1021883.0423162683
2019-07-29,1011862.1773038103,1016465.2264054499,1026776.8637309193,1006331.6407767137,1020041.1679385914
2019-07-30,1005822.7941479842,1015714.5613837615,1021437.285656392,1000527.7810916477,1017572.7111819013
2019-07-31,994687.9070754324,1005110.2246992065,1010804.7611182504,991426.271233517,1006041.6394793618
2019-08-01,985071.4311719249,995884.084747952,1006127.263887262,983511.4026700644,997605.2954589132
2019-08-02,978747.9337990438,989151.3527158492,994592.2195537674,974410.1237883411,990310.8026751373
2019-08-05,951982.7220716071,961632.8598876168,961679.4724189073,947236.6155812296,961096.1423044017
2019-08-06,960320.6819123559,973079.3933656489,976550.9397110222,957789.5234413915,973474.5547069829
2019-08-07,963492.0813504203,975234.0619422927,981478.4126303892,960559.681243318,974137.8263216303
2019-08-08,977886.6636565591,992895.29950614,1001984.8348876613,975464.8775542092,993147.1484397266
2019-08-09,969493.3261819492,985866.8008212263,994940.4374846342,967946.2490182058,986221.5413154123
2019-08-12,959631.7528766003,974699.2299171151,982878.088718952,957789.5234413914,974653.4689236259
2019-08-13,971318.3825241171,986722.6087714306,998845.0640568946,969925.0239031708,989758.0970931721
2019-08-14,945850.8377467694,960107.6356059776,973095.693977802,941564.3547044637,959954.2910677285
2019-08-15,948048.574902851,962565.8382791791,975888.237149568,944994.0656386443,962975.0796620481
2019-08-16,962206.4741556811,976963.1204091004,990243.747239938,958053.1830108074,977084.8627003467
2019-08-19,971504.1769285839,987256.0668510179,1001315.0191998556,966231.3646790645,989095.3238043066
2019-08-20,966480.5614316401,980054.8233889231,996595.6746141688,960955.286085646,981432.3813961284
2019-08-21,974691.0301479959,987639.9088303468,1006264.2520887365,969002.0421779087,989389.64746877
2019-08-22,974709.9757037965,987998.8991586074,1005198.3384954367,967023.036316536,989021.3224258126
2019-08-23,954425.8932581493,963990.0103128608,978629.573763691,947104.7280524195,963638.2266952498
2019-08-26,962899.0147338525,973284.648641381,990009.7906395907,956338.7028803796,974321.9576977473
2019-08-27,960814.5268164644,968510.82533893,989094.2881658953,953304.7122767309,970490.4553482973
2019-08-28,966664.4291999034,975328.7841493548,990759.7062478019,958185.0705396173,977232.4917129981
2019-08-29,976099.1174671359,986643.7240327211,1004073.4526318515,968870.0391608949,989942.2907600123
2019-08-30,978768.6376407098,987288.7326303511,1003223.5608842303,970584.5770354245,989536.9650278083
2019-09-03,974079.7926493547,982327.747123044,997510.3198852243,965440.0972503064,984047.7196767986
2019-09-04,986429.5890926862,992391.6888796285,1008563.8874660366,977311.4184457527,994584.0085388125
2019-09-05,996798.3518324852,1003144.957336306,1020883.2565421036,988392.5116062757,1007736.2585887229
2019-09-06,999614.5666938302,1004040.0598104396,1019291.7411364093,990107.0494808054,1008473.3447096959
2019-09-09,1003027.2521640707,1005377.425261103,1010656.0725110255,990898.6056300729,1008731.0414292483
2019-09-10,1006438.9596416177,1007297.6021309905,1006093.2505282119,991294.0372400951,1008952.1734946124
2019-09-11,1013070.4030296041,1016181.8761192434,1015050.5757228612,998285.4621254702,1016209.4164262507
2019-09-12,1017526.9552470901,1018549.8933866651,1019686.7600204826,1002770.1000578247,1019194.2009828856
2019-09-13,1018801.7988286398,1017170.6318255499,1014459.5839327234,1004748.8749427899,1018935.8190653839
2019-09-16,1012654.4764490628,1015779.4544105273,1014101.2241817092,1001055.5621832951,1015583.3946637409
2019-09-17,1014806.4328608108,1017926.3583933018,1019885.4606955212,1003034.2215800564,1018346.611119953
2019-09-18,1013959.7245463749,1017400.3909797791,1019927.642649604,1002242.5499425849,1018972.5705917401
2019-09-19,1014238.5851800146,1016616.5107510518,1021818.0742016556,1002902.2185630427,1018751.7499799893
2019-09-20,1010141.7924976565,1013399.3937503207,1016491.2767958544,999604.4529017739,1013299.1938646131
2019-09-23,1010520.4568469307,1014193.8790766351,1017136.6569950932,999340.7933323578,1013999.2170056164
2019-09-24,1004898.6053446297,1007238.65958935,1010704.7996951264,992773.6721079703,1005599.5622208013
2019-09-25,1006778.5004979345,1012571.8728499075,1017716.2146309835,994896.2298067432,1011751.7677328454
2019-09-26,1007899.0590858506,1010733.9651814073,1017685.2916603859,995294.0866690467,1009756.6581774793
2019-09-27,1005926.8110165255,1005938.889721734,1007102.2383959605,989058.8785425576,1004093.1856752518
2019-09-30,1010010.4789138535,1010776.1436699948,1014610.9715806838,992640.6296971219,1009053.3336281762
2019-10-01,998202.623536269,997968.9821527147,1005853.1757616537,982026.917297627,996912.3111695675
2019-10-02,978927.2716646445,982731.6160292154,990610.4379326409,965841.3610146241,979329.571181322
2019-10-03,985709.25580005,989734.7969522002,996588.7829070684,973270.8326572462,987103.017331459
2019-10-04,997150.62979417,1001632.1696309339,1010910.6750477434,983619.1531642671,1000798.8785178297
2019-10-07,992918.3096222597,997450.2545197293,1006588.6585567622,980435.1433838021,996505.1167156844
2019-10-08,979532.4837064049,983139.2633195015,994157.4090330718,967566.0041069916,981032.412666071
2019-10-09,987670.9223678905,990208.7481238899,1001343.2833387306,975658.7822484929,990175.3826441226
2019-10-10,994880.0816211802,995726.3853569748,1004719.6293956684,982425.4670891532,996912.3111695672
2019-10-11,1008677.4129164744,1005886.5652568863,1008363.1684415812,995559.5940497244,1007313.802907793
2019-10-14,1006242.9165368265,1003785.5409247826,1005527.8430784007,993038.7175358328,1006388.2250601179
2019-10-15,1015563.995671716,1011145.1187400359,1009779.1681685136,1003387.1535310576,1016123.4552290102
2019-10-16,1014939.9083961699,1009931.0736062705,1009163.032121619,1002856.4852343135,1014531.7403934468
2019-10-17,1017486.120976314,1014324.0334867787,1012118.0552971011,1005642.5226642714,1017270.9749214436
2019-10-18,1016390.8231424744,1013459.8838330847,1011583.2088512469,1002591.4398064511,1013088.0906055932
2019-10-21,1023254.9426653864,1019681.2439464764,1015484.5552230036,1009622.9390985661,1020158.0876249825
2019-10-22,1023027.0338560735,1018311.2608557142,1012247.2073105364,1006836.4397157929,1016567.4012092497
2019-10-23,1024512.9492945272,1020582.9504004257,1015208.8511215455,1009755.6350448031,1019566.076597033
2019-10-24,1025127.509184977,1020962.7536470089,1017948.9212914524,1011878.0772553722,1021231.7928110901
2019-10-25,1029164.6833655705,1022562.5599646511,1014969.6072489277,1015725.5667670222,1025488.7407961565
2019-10-28,1034267.826089592,1025501.405614574,1012911.9437703721,1021164.8301924971,1031447.9073587458
2019-10-29,1034187.9617552477,1027023.4579077188,1014242.4153856863,1020236.4205216535,1030781.9572430253
2019-10-30,1037044.150080156,1029307.7371734766,1019983.392723979,1023420.5457903225,1034409.5197665594
2019-10-31,1032291.5295464873,1025108.9200308879,1019543.1173774548,1020369.0009796867,1031077.9004662773
2019-11-01,1042596.7049274503,1033911.3729699949,1021797.6004817567,1030452.0450824376,1040887.0697229401
2019-11-04,1048226.3306146353,1036247.4813460888,1017126.0880246897,1035360.8711875759,1045032.9533495434
2019-11-05,1047517.651268944,1034272.5420056339,1011517.7945285594,1035493.5671338128,1043700.1810479857
2019-11-06,1048887.2252162765,1034057.5126111264,1014567.8481215041,1035360.8711875759,1044255.6274217467
2019-11-07,1053308.3722205583,1034933.0366273944,1011064.7311856791,1038677.576914278,1047957.31590522
2019-11-08,1054045.3288943074,1036334.4048425095,1010609.1906020511,1039473.7525917001,1050511.1109519242
2019-11-11,1050679.442309574,1034252.0103321947,1007542.8875398319,1036820.2956197754,1048475.3255546759
2019-11-12,1051095.5400638566,1034372.9464984775,1009824.5735463187,1037616.009344382,1050548.111641171
2019-11-13,1049309.565075989,1035544.8502229211,1016583.6657393484,1035758.7280498792,1050992.2444935783
2019-11-14,1049443.6910079792,1037357.3340577112,1019347.1686677086,1036024.1199423532,1052399.2673365208
2019-11-15,1056108.1615128876,1044139.2513564348,1024602.6353591139,1043321.1266151462,1060246.4034115386
2019-11-18,1056566.328608594,1044510.3733814023,1026184.5905830202,1043718.9834774496,1060912.6649808723
2019-11-19,1053179.1259051824,1044151.1302055189,1026605.1338592772,1043984.6063463314,1060394.6553314168
2019-11-20,1048236.5766535093,1041501.2121986453,1026934.7399416142,1038810.388348719,1056655.8415772514
2019-11-21,1047329.6484141878,1038160.4265362998,1024171.4495352888,1037616.0093443821,1055027.0637617186
2019-11-22,1049631.4600130878,1040183.4515934854,1024840.1988976401,1039871.6094540035,1057359.228417277
2019-11-25,1056863.7877032056,1047697.9199668431,1028196.6639344419,1047831.8648815738,1065391.8662643104
2019-11-26,1058844.1086476364,1051035.4118617445,1032676.2383214474,1048760.621017029,1067538.6537292993
2019-11-27,1062201.311183133,1055679.614848268,1036204.5054713013,1053006.0828791864,1072572.86535144
2019-11-29,1056393.8106583685,1050926.3176512183,1033835.4713105317,1046505.0209074077,1068464.418449142
2019-12-02,1050786.378102273,1042477.429557954,1026004.4440415128,1039075.7802411932,1059765.519032775
2019-12-03,1043488.9473791125,1037748.3574541379,1023596.9355513032,1033636.0548629028,1052324.8922136913
2019-12-04,1051962.4198457326,1044653.4586370416,1030046.234551654,1041463.72983244,1059062.0076113036
2019-12-05,1052159.4468723459,1046045.5653756325,1031401.9017162608,1042392.2549914875,1061023.7916300583
2019-12-06,1061716.0759264627,1053866.0293659014,1035413.3263040963,1051679.7008578356,1070462.7048313625
2019-12-09,1060068.2327106358,1051115.0108918631,1032279.7443634843,1048097.1412858441,1067205.3983631872
2019-12-10,1058707.559217179,1049570.3451804908,1031277.0920317546,1047168.3851503889,1066205.7568462961
2019-12-11,1062836.6759971438,1050529.3825786407,1033692.0679540443,1051679.7008578356,1068982.1789357078
2019-12-12,1072188.612564967,1057096.4606658875,1036951.2619514563,1061364.310657264,1078384.2160292102
2019-12-13,1073714.0674965496,1056304.3739441235,1040695.4216560547,1063221.4764635628,1078791.3481923705
2019-12-16,1080758.574447408,1063842.1991379603,1049613.688913707,1072243.1839728253,1086416.4801319076
