Rebalance_Date,Next_Rebalance_Date,Feature_Universe,DEA_Universe,Candidate_Universe,Selected_Universe,Optimized_Holdings
2019-07-01,2019-09-30,342,224,56,39,39
2019-09-30,2019-12-31,342,224,56,38,38
2019-12-31,2020-03-31,342,224,56,37,37
2020-03-31,2020-06-30,342,224,56,30,30
2020-06-30,2020-09-30,342,224,56,27,27
2020-09-30,2020-12-31,342,224,56,27,27
2020-12-31,2021-03-31,342,224,56,27,27
2021-03-31,2021-06-30,342,224,56,28,28
2021-06-30,2021-09-30,342,224,56,31,31
2021-09-30,2021-12-31,342,224,56,31,31
2021-12-31,2022-03-31,342,224,56,29,29
2022-03-31,2022-06-30,342,224,56,28,28
2022-06-30,2022-09-30,342,224,56,29,29
2022-09-30,2023-01-03,342,224,56,29,29
2023-01-03,2023-03-31,342,224,56,30,30
2023-03-31,2023-06-30,342,224,56,33,33
2023-06-30,2023-10-02,342,224,56,34,34
2023-10-02,2024-01-02,342,224,56,34,34
2024-01-02,2024-04-01,342,224,56,34,34
2024-04-01,2024-07-01,342,224,56,33,33
2024-07-01,2024-09-30,342,224,56,34,34
2024-09-30,2024-12-31,342,224,56,34,34
2024-12-31,2025-03-31,342,224,56,33,33
2025-03-31,2025-06-30,342,224,56,35,35
2025-06-30,2025-09-30,342,224,56,34,34
2025-09-30,2025-12-31,342,224,56,34,34
2025-12-31,2026-03-31,342,224,56,33,33
2026-03-31,2026-06-05,342,224,56,34,34
