Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001643.6579936023,1002128.7513937383,1004449.4037458095,1001523.2160155396,1002957.6316560275
2019-07-03,1008837.5398955697,1010616.674479259,1012266.3871052159,1008058.9558490778,1010704.3115044496
2019-07-05,1005040.6736852967,1009339.3174266968,1011054.5035655757,1004175.0083148301,1009462.4299109117
2019-07-08,1000107.1318228825,1004439.6127387981,1006289.8942805163,999498.5259374381,1004463.1110298565
2019-07-09,997415.5932116196,1005285.8301539073,1009424.2281538049,997987.8096862703,1005763.2637623827
2019-07-10,1000597.1669754225,1008368.7931987508,1014324.5362659415,1002940.6229096233,1010489.5899780669
2019-07-11,1001737.9004334926,1009355.7471488367,1016797.1977618559,1003540.6917643321,1012563.5490063091
2019-07-12,1005993.1051366659,1014163.5142798244,1020836.4594256354,1007042.6708266543,1017584.7646789736
2019-07-15,1006896.5840965477,1013822.3761371872,1022577.4619380021,1007379.2504217598,1017890.8075037067
2019-07-16,1004431.7242728418,1011203.6477094217,1016446.6527541508,1004022.1898515204,1014623.1814637069
2019-07-17,999623.0631980723,1006031.565839128,1014860.6250480164,999345.7753112578,1007818.4693281696
2019-07-18,1003757.2964754227,1010223.0977500055,1020953.8690416452,1003507.5610146318,1011550.3453667591
2019-07-19,1000870.938878647,1004553.7490765387,1013075.9586821399,999622.5395260626,1006182.4682979155
2019-07-22,1000785.1874090295,1005066.1141003536,1017892.3352694159,1000749.7667350012,1008661.2846944189
2019-07-23,1008470.2848957296,1011774.5184114228,1021438.3094132869,1007285.498220667,1015634.9275771725
2019-07-24,1013723.3053140086,1018156.3473056678,1028051.3683462854,1010656.0493606594,1020362.133448253
2019-07-25,1008847.4723830014,1012872.8778887218,1022138.5439454995,1003473.7575884894,1015436.4915795578
2019-07-26,1013220.9232589809,1019741.2777165486,1028910.1675603021,1008558.676284858,1022741.771971729
2019-07-29,1013193.1232150884,1018082.1590640069,1027854.3333172335,1007707.9788073244,1020948.1531821615
2019-07-30,1007867.0524320869,1017370.6488807814,1022666.9034053994,1001976.7986296478,1018527.8650361795
2019-07-31,997236.7028793839,1006807.4991160558,1012180.5006206186,992947.5491112627,1007044.8453783348
2019-08-01,987323.5720267777,997737.9177257115,1007906.8345869342,985104.283556288,998656.0088797505
2019-08-02,981917.7761272738,990954.1287478466,996338.4559161541,976074.0360536465,991408.6252349268
2019-08-05,956827.5712077715,963418.8218812286,964732.7180153258,948970.9019110308,962240.7295409843
2019-08-06,964664.1825382215,974954.283378918,978334.8267226655,959592.2213045403,974664.5270391742
2019-08-07,966749.6381171097,977188.928188491,982860.7095855273,962431.5527942708,975373.7682855716
2019-08-08,980887.0017277485,995005.0144598967,1002658.4531772719,977406.1228599185,994429.0913565776
2019-08-09,973809.318302897,988037.3636597948,995951.1159679864,969957.9445650717,987550.3828476062
