Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001524.6513094753,1002057.6585976455,1004403.7053521586,1001450.9937933173,1002910.4094338053
2019-07-03,1008599.3544582708,1010474.3260300623,1012174.6700688406,1007914.4066106372,1010609.7296240041
2019-07-05,1004682.4743002437,1009125.1147305978,1010916.4228759216,1003957.6652581342,1009320.1247932339
2019-07-08,999629.4166420938,1004153.6685045335,1006105.4934602935,999208.6748271403,1004273.1435729524
2019-07-09,996818.9657361385,1004928.4544152692,1009193.6293875539,997625.7935050128,1005525.872295921
2019-07-10,999881.9952455501,1007940.0222374913,1014047.6456887668,1002506.5559766126,1010204.7153454134
2019-07-11,1000903.8183162563,1008855.3974650544,1016473.8564231329,1003034.2215800565,1012230.9702620977
2019-07-12,1005039.9734657119,1013591.5376010793,1020466.588593098,1006463.7592819312,1017204.3861389442
2019-07-15,1005823.9118316865,1013178.4530289279,1022161.0479821973,1006727.6498277552,1017462.3943121097
2019-07-16,1003239.4161511381,1010487.8033814487,1015983.6001179856,1003297.8811494727,1014146.7214368229
2019-07-17,998311.4142300296,1005243.9737507501,1014351.1732806156,998549.0062066827,1007294.11903944
2019-07-18,1002326.8802025893,1009364.1447717065,1020398.039869447,1002638.6744818306,1010978.428411297
2019-07-19,999321.3013324869,1003623.1090353276,1012473.4555278029,998681.2402001043,1005562.8106944452
2019-07-22,999116.6662722043,1004064.1703809812,1017243.6131733502,999736.3404305842,1007994.1421804435
2019-07-23,1006682.8894246484,1010701.3253985342,1020743.3000409837,1006199.8687361077,1014920.1853398164
2019-07-24,1011816.1233985493,1017011.4290744137,1027310.0341982235,1009497.7498855803,1019599.464424367
2019-07-25,1006819.9037579774,1011655.8228916944,1021350.6886842583,1002242.5499425852,1014625.674803185
2019-07-26,1011073.582991793,1018452.4214201595,1028075.9942053118,1007255.0844547913,1021883.0423162683
2019-07-29,1010925.5133927021,1016721.0792918456,1026973.5814342267,1006331.6407767137,1020041.1679385914
2019-07-30,1005479.1913336146,1015937.4124133296,1021739.5325978909,1000527.7810916477,1017572.7111819013
2019-07-31,994729.2805388566,1005302.1749671773,1011206.7625815955,991426.271233517,1006041.6394793618
2019-08-01,984697.8691524975,996161.249202414,1006887.1061521936,983511.4026700644,997605.2954589132
2019-08-02,979174.9738851693,989306.7790625446,995272.7665715012,974410.1237883411,990310.8026751373
2019-08-05,953968.3407747647,961701.1764386868,963621.3656072718,947236.6155812296,961096.1423044017
2019-08-06,961691.5408039127,973168.1982872805,977178.9444618428,957789.5234413915,973474.5547069829
2019-08-07,963662.6845431247,975333.6832222306,981659.7085119031,960559.681243318,974137.8263216303
2019-08-08,977685.4541866852,993080.4924901078,1001412.1969960675,975464.8775542092,993147.1484397266
2019-08-09,970491.5341606154,986042.4026379194,994658.8710085002,967946.2490182058,986221.5413154123
2019-08-12,960896.0520856059,974857.0306149804,983338.5602598699,957789.5234413914,974653.4689236259
2019-08-13,971902.995713903,986996.4580780194,998470.9204624556,969925.0239031708,989758.0970931721
2019-08-14,946424.2117250117,960317.6805826799,973101.8111667174,941564.3547044637,959954.2910677285
2019-08-15,947831.5427667814,962795.05003041,975999.1035200862,944994.0656386443,962975.0796620481
2019-08-16,962141.9475696856,977164.7153390943,989686.7679303683,958053.1830108074,977084.8627003467
2019-08-19,971601.0016579862,987514.7494416882,1000711.390567605,966231.3646790645,989095.3238043066
2019-08-20,965593.9287932636,980371.2026847319,996192.5184056737,960955.286085646,981432.3813961284
2019-08-21,973394.4948256677,987980.8274753421,1005643.6066479052,969002.0421779087,989389.64746877
2019-08-22,973669.2595366025,988275.7802919921,1004782.437736364,967023.036316536,989021.3224258126
2019-08-23,953099.5331173358,964250.7977716193,979414.0897994704,947104.7280524195,963638.2266952498
2019-08-26,961286.8804026593,973582.9427580674,990460.5386792201,956338.7028803796,974321.9576977473
2019-08-27,958818.7795990452,968820.1774937288,988900.9217450402,953304.7122767309,970490.4553482973
2019-08-28,965216.3763815262,975577.0591615202,990732.2370863187,958185.0705396173,977232.4917129981
2019-08-29,974042.402565064,986967.4481590915,1003786.9707083143,968870.0391608949,989942.2907600123
2019-08-30,976764.170303525,987578.444387291,1003182.1764693309,970584.5770354245,989536.9650278083
2019-09-03,973165.8544971349,982496.5043224546,998629.8223431914,965440.0972503064,984047.7196767986
2019-09-04,984793.38557173,992614.6625412164,1009615.1382515383,977311.4184457527,994584.0085388125
2019-09-05,994732.0313312646,1003473.4831429297,1020704.9293228544,988392.5116062757,1007736.2585887229
2019-09-06,997489.5184114146,1004302.84595544,1019178.7684984565,990107.0494808054,1008473.3447096959
2019-09-09,1002205.3678981718,1005482.6172207932,1012223.1655162354,990898.6056300729,1008731.0414292483
2019-09-10,1006797.7176810886,1007285.200886933,1009094.5640929111,991294.0372400951,1008952.1734946124
2019-09-11,1013713.0490714666,1016100.1780567964,1018220.4173950963,998285.4621254702,1016209.4164262507
2019-09-12,1017376.8038321531,1018531.476805751,1022189.0523272174,1002770.1000578247,1019194.2009828856
2019-09-13,1018494.8685989642,1017142.680056957,1017242.3476740606,1004748.8749427899,1018935.8190653839
2019-09-16,1012508.1451467994,1015746.6031945155,1017007.356883302,1001055.5621832951,1015583.3946637409
2019-09-17,1014323.306469226,1017904.088865462,1022174.7331244457,1003034.2215800564,1018346.611119953
2019-09-18,1013972.8596762893,1017455.4030685953,1022990.1080187154,1002242.5499425849,1018972.5705917401
2019-09-19,1014001.3139095033,1016716.0721381844,1024758.0838223344,1002902.2185630427,1018751.7499799893
2019-09-20,1011390.0714388503,1013366.8120386596,1019969.2121290915,999604.4529017739,1013299.1938646131
2019-09-23,1012102.9613152544,1014119.5262350385,1020645.2800577369,999340.7933323578,1013999.2170056164
2019-09-24,1006927.2612685082,1007027.2717496062,1014688.1236098332,992773.6721079703,1005599.5622208013
2019-09-25,1008709.7367205943,1012422.3082606178,1021537.8569692896,994896.2298067432,1011751.7677328454
2019-09-26,1009467.7486732767,1010572.2585310069,1021808.8255920216,995294.0866690467,1009756.6581774793
2019-09-27,1008852.7629225587,1005575.6767558979,1011966.5512650561,989058.8785425576,1004093.1856752518
2019-09-30,1012397.3788756207,1010514.5838138319,1019050.587765638,992640.6296971219,1009053.3336281762
2019-10-01,1000356.0667353068,997734.0395515991,1010254.5510183484,982026.917297627,996912.3111695675
2019-10-02,981544.0746397072,982528.9839098485,994945.2096411871,965841.3610146241,979329.571181322
2019-10-03,987712.0248503365,989508.3727058399,1000949.7983473002,973270.8326572462,987103.017331459
2019-10-04,999046.1530790696,1001395.5907726339,1015334.3660981111,983619.1531642671,1000798.8785178297
2019-10-07,995223.9564205124,997228.4421180128,1010993.4219171302,980435.1433838021,996505.1167156844
2019-10-08,981852.2754316552,982928.5030247156,998507.8211705949,967566.0041069916,981032.412666071
2019-10-09,989250.1111439388,990009.0058834108,1005725.1625544003,975658.7822484929,990175.3826441226
2019-10-10,995882.1010458049,995520.4468003884,1009116.2641169606,982425.4670891532,996912.3111695672
2019-10-11,1009451.4940709155,1005643.4430832017,1012775.5826409578,995559.5940497244,1007313.802907793
2019-10-14,1006879.6023411578,1003536.6917835457,1009927.8962967158,993038.7175358328,1006388.2250601179
2019-10-15,1015545.1871993999,1010926.3357000622,1014197.7973578199,1003387.1535310576,1016123.4552290102
2019-10-16,1015198.172930076,1009724.5253425208,1013578.9454530164,1002856.4852343135,1014531.7403934468
2019-10-17,1017609.4257319154,1014144.2447822017,1016546.8559167135,1005642.5226642714,1017270.9749214436
2019-10-18,1016834.6193150713,1013282.4672846312,1016009.6532514583,1002591.4398064511,1013088.0906055932
2019-10-21,1023829.4664899127,1019441.6897078353,1019927.9526664771,1009622.9390985661,1020158.0876249825
