Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001550.9333755946,1002079.1526073174,1003956.9646068066,1001523.2160155396,1002957.6316560275
2019-07-03,1010128.3768853875,1010581.1708552403,1012242.1140103603,1008058.9558490778,1010704.3115044496
2019-07-05,1007237.214926967,1009300.3119308536,1010737.3525174523,1004175.0083148301,1009462.4299109117
2019-07-08,1003841.7402949515,1004416.6873221865,1005868.5137845767,999498.5259374381,1004463.1110298565
2019-07-09,1000730.2580053706,1005180.7871409976,1009540.1993921935,997987.8096862703,1005763.2637623827
2019-07-10,1002895.5214169973,1008175.6160868793,1014738.0620595572,1002940.6229096233,1010489.5899780669
2019-07-11,1003207.9852335383,1009087.3197027625,1017496.1173005906,1003540.6917643321,1012563.5490063091
2019-07-12,1009313.7274092279,1013873.0682901504,1021437.763722132,1007042.6708266543,1017584.7646789736
2019-07-15,1009704.4931961499,1013539.0956604324,1023433.4122821769,1007379.2504217598,1017890.8075037067
2019-07-16,1007896.9603432729,1010902.0598427855,1016721.560305141,1004022.1898515204,1014623.1814637069
2019-07-17,1001320.857127277,1005757.085790484,1015442.0950468933,999345.7753112578,1007818.4693281696
2019-07-18,1005271.60354952,1010044.4905136112,1021260.5701937978,1003507.5610146318,1011550.3453667591
2019-07-19,1001774.2473712412,1004430.1416707505,1013753.4120745765,999622.5395260626,1006182.4682979155
2019-07-22,1000790.2149363299,1004835.0114854528,1019079.6869100294,1000749.7667350012,1008661.2846944189
2019-07-23,1009342.7670144158,1011560.8304017531,1022521.2346717078,1007285.498220667,1015634.9275771725
2019-07-24,1015848.9031322739,1017975.8653286677,1029059.2495597963,1010656.0493606594,1020362.133448253
2019-07-25,1010934.9683118644,1012803.0096400189,1023738.6377042036,1003473.7575884894,1015436.4915795578
2019-07-26,1014809.6645302146,1019468.8768688795,1029029.9405272785,1008558.676284858,1022741.771971729
2019-07-29,1014286.1592687963,1017863.4694580467,1027590.3501950167,1007707.9788073244,1020948.1531821615
2019-07-30,1011832.5903828795,1017186.9834639247,1022293.8417703786,1001976.7986296478,1018527.8650361795
2019-07-31,1000944.7396524379,1006661.5654579559,1011704.1833719109,992947.5491112627,1007044.8453783348
2019-08-01,989333.8913790486,997499.0650103077,1007069.1549922073,985104.283556288,998656.0088797505
2019-08-02,985077.1277070579,990850.368509249,995576.5213613632,976074.0360536465,991408.6252349268
2019-08-05,958715.557712732,963403.7175762127,962705.88790271,948970.9019110308,962240.7295409843
2019-08-06,965539.3467559677,974903.2437676673,977618.3586684659,959592.2213045403,974664.5270391742
2019-08-07,967600.1286287928,977138.3062456581,982587.4380067093,962431.5527942708,975373.7682855716
2019-08-08,981346.9739135549,994864.9513609579,1003135.6031325494,977406.1228599185,994429.0913565776
2019-08-09,972007.1290952282,987916.565598494,996133.6624826207,969957.9445650717,987550.3828476062
2019-08-12,962153.5725778894,976822.3258446635,984113.5819854139,959871.1262173532,976028.8820286042
2019-08-13,972967.0593826472,988913.3991411357,1000122.4395518587,972075.8003669367,991179.5355008496
2019-08-14,946429.9131142256,962371.6705338507,974415.4523410702,943785.1813088448,961422.4680522132
2019-08-15,946037.4482742868,964898.3381837913,977249.487893246,947282.8941130873,964488.5878213887
2019-08-16,961100.9705811484,979366.9757912,991646.7320224084,960410.2610566576,978643.8446828936
2019-08-19,971999.2020806201,989730.0102619678,1002760.1857805876,968657.6354547989,990700.4459053698
2019-08-20,964454.1921988684,982598.0068509954,998083.4764777662,963451.3402377183,983084.2107763714
