Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001399.9809946421,1002006.4291319624,1003914.7931373622,1001450.9937933173,1002910.4094338053
2019-07-03,1009826.2429271862,1010435.557887254,1012157.4926922382,1007914.4066106372,1010609.7296240041
2019-07-05,1006782.5993904313,1009081.1970500352,1010609.9494271782,1003957.6652581342,1009320.1247932339
2019-07-08,1003235.0719452385,1004124.1860794773,1005698.3778713901,999208.6748271403,1004273.1435729524
2019-07-09,999972.0463543735,1004815.2167174786,1009327.4552069871,997625.7935050128,1005525.872295921
2019-07-10,1001986.2378279653,1007737.0146657566,1014482.5949449618,1002506.5559766126,1010204.7153454134
2019-07-11,1002147.3480653575,1008575.5002044174,1017197.7620003585,1003034.2215800565,1012230.9702620977
2019-07-12,1008101.7576316212,1013287.9822081575,1021096.4387591284,1006463.7592819312,1017204.3861389442
2019-07-15,1008340.2847700237,1012880.4163405643,1023049.0879428299,1006727.6498277552,1017462.3943121097
2019-07-16,1006380.4963609722,1010169.8123275777,1016294.1397360065,1003297.8811494727,1014146.7214368229
2019-07-17,999652.4429079695,1004951.44885722,1014971.8302061561,998549.0062066827,1007294.11903944
2019-07-18,1003452.2776544888,1009165.8591579908,1020747.4642675162,1002638.6744818306,1010978.428411297
2019-07-19,999803.4219990456,1003478.180205958,1013197.1915309334,998681.2402001043,1005562.8106944452
2019-07-22,998668.4730281401,1003810.1109682211,1018480.7613886965,999736.3404305842,1007994.1421804435
2019-07-23,1007070.3066572618,1010463.0466590677,1021879.5041326495,1006199.8687361077,1014920.1853398164
2019-07-24,1013424.4703199354,1016804.7114280729,1028374.6817612998,1009497.7498855803,1019599.464424367
2019-07-25,1008357.6101221333,1011558.0638790798,1023011.0361150955,1002242.5499425852,1014625.674803185
2019-07-26,1012080.1666775439,1018150.4802870789,1028259.4939500527,1007255.0844547913,1021883.0423162683
2019-07-29,1011403.9718153205,1016471.1943771068,1026776.8457698994,1006331.6407767137,1020041.1679385914
2019-07-30,1008797.8250696835,1015720.8971097801,1021437.2619850095,1000527.7810916477,1017572.7111819013
2019-07-31,997757.7140973972,1005121.7388785192,1010804.769525758,991426.271233517,1006041.6394793618
2019-08-01,985996.23508691,995886.2587335577,1006127.2671922087,983511.4026700644,997605.2954589132
2019-08-02,981590.6272648148,989165.2617868512,994592.1969239467,974410.1237883411,990310.8026751373
2019-08-05,955080.847347135,961646.7035537849,961679.4453226068,947236.6155812296,961096.1423044017
2019-08-06,961760.4263581568,973076.2216104687,976550.9209662786,957789.5234413915,973474.5547069829
2019-08-07,963676.0066125852,975240.5392979536,981478.4215674375,960559.681243318,974137.8263216303
2019-08-08,977277.3980364143,992896.3193127706,1001984.8482428667,975464.8775542092,993147.1484397266
2019-08-09,967790.062987621,985875.8804392193,994940.4470649567,967946.2490182058,986221.5413154123
2019-08-12,957790.4454406525,974710.0812527741,982878.0842264636,957789.5234413914,974653.4689236259
2019-08-13,968459.3890973397,986730.3519823143,998845.0428501415,969925.0239031708,989758.0970931721
2019-08-14,941776.1098701145,960117.0158358949,973095.7022417773,941564.3547044637,959954.2910677285
2019-08-15,941241.5861913007,962573.956551602,975888.2554458708,944994.0656386443,962975.0796620481
2019-08-16,956163.1894043544,976972.6933801902,990243.7636206074,958053.1830108074,977084.8627003467
2019-08-19,966917.2508218193,987264.8071292572,1001314.9989258094,966231.3646790645,989095.3238043066
2019-08-20,959226.4293705629,980061.1409185586,996595.6714342891,960955.286085646,981432.3813961284
2019-08-21,967134.4339036254,987647.704734725,1006264.257302164,969002.0421779087,989389.64746877
2019-08-22,969247.275849289,988004.9658200006,1005198.3376542316,967023.036316536,989021.3224258126
2019-08-23,946119.3329493037,963991.8390447975,978629.5998704135,947104.7280524195,963638.2266952498
2019-08-26,953371.5903241697,973288.4583815805,990009.7878298997,956338.7028803796,974321.9576977473
2019-08-27,947794.2233748598,968516.9646192773,989094.285608947,953304.7122767309,970490.4553482973
2019-08-28,956516.22134912,975327.7204127256,990759.6861135293,958185.0705396173,977232.4917129981
2019-08-29,966074.9327415238,986648.7876253736,1004073.4168246062,968870.0391608949,989942.2907600123
2019-08-30,969271.6098209801,987304.4911572011,1003223.5169845117,970584.5770354245,989536.9650278083
2019-09-03,965578.9403000178,982331.0829195019,997510.2895324256,965440.0972503064,984047.7196767986
2019-09-04,977981.0210705652,992397.8053745845,1008563.8477189511,977311.4184457527,994584.0085388125
2019-09-05,989906.5295741534,1003157.166933253,1020883.1805162614,988392.5116062757,1007736.2585887229
2019-09-06,993737.954917013,1004049.4904035513,1019291.6510715908,990107.0494808054,1008473.3447096959
2019-09-09,1004429.3990599681,1005385.9040690038,1010655.9246937515,990898.6056300729,1008731.0414292483
2019-09-10,1013081.0698451923,1007310.5439035664,1006093.0890551832,991294.0372400951,1008952.1734946124
2019-09-11,1021735.2264793884,1016198.170012411,1015050.4311374396,998285.4621254702,1016209.4164262507
2019-09-12,1023591.2096901472,1018558.5925524838,1019686.598957034,1002770.1000578247,1019194.2009828856
2019-09-13,1022936.9620461554,1017178.5576439112,1014459.4021351391,1004748.8749427899,1018935.8190653839
2019-09-16,1019855.2642030795,1015791.382851022,1014101.0942222747,1001055.5621832951,1015583.3946637409
2019-09-17,1018536.6313198329,1017935.2519355487,1019885.3503001627,1003034.2215800564,1018346.611119953
2019-09-18,1017202.7986417743,1017412.7370113742,1019927.5242303435,1002242.5499425849,1018972.5705917401
2019-09-19,1014749.494222392,1016627.103246486,1021817.9482737841,1002902.2185630427,1018751.7499799893
2019-09-20,1011192.340557832,1013388.7895919345,1016491.1839818533,999604.4529017739,1013299.1938646131
2019-09-23,1012994.6618667335,1014203.6961386594,1017136.5539400629,999340.7933323578,1013999.2170056164
2019-09-24,1007069.519153473,1007245.3963165917,1010704.7214719757,992773.6721079703,1005599.5622208013
2019-09-25,1010405.5180586093,1012571.5418574753,1017716.1202565208,994896.2298067432,1011751.7677328454
2019-09-26,1011540.5115926688,1010735.7179149018,1017685.1928062071,995294.0866690467,1009756.6581774793
