ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment
VOO,0.2923251041627156,0.1,0.6153486327287757,0.3423625254582485,0.8831307459465865,0.7116529977956378,0.20989912449192866
IVV,0.2945160081921637,0.1,0.6158475028853305,0.35050916496945006,0.8768394161757418,0.6979996440160466,0.1551255772469986
SPY,0.29976324744655547,0.17428571428571438,0.6130790476209331,0.33217922606924644,1.0,0.6964346837904076,0.2629221928804189
VTI,0.3105530280607887,0.1,0.6037430489768365,0.33828920570264764,0.804310562803627,0.6940810821912182,0.46399708790810257
QQQ,0.43133712865387136,0.2714285714285716,0.726498000027106,0.19979633401221997,1.0,0.31210756192067035,0.1738295888953662
VEA,0.21736398217765285,0.1,0.5552594482672715,0.6987780040733198,0.9804009469698843,,0.8108762334079266
VUG,0.4275519531497142,0.1,0.6943921420945453,0.19368635437881876,0.8943549697271154,0.3224215123841341,0.542671924908863
IEFA,0.22123273141680055,0.14571428571428577,0.5120660640530399,0.8169042769857435,0.9491669618612619,,0.5843255847690072
VTV,0.19250487047142253,0.1,0.5282903083203351,0.5114052953156824,0.7659400363665312,0.9507715267604091,0.6242190946188088
IEMG,0.3035412346802911,0.16857142857142865,0.5551169139368272,0.6458248472505093,0.9706009461029588,,0.8172688661377978
VXUS,0.21395757580677702,0.12285714285714289,0.5395669666943259,0.7089613034623219,0.8195953157780594,,0.4898055292136009
IWF,0.43094628906346316,0.2714285714285716,0.6904587427832478,0.18146639511201632,0.8790217714820434,0.33078850445664526,0.7580427196359348
VWO,0.2902896018704047,0.1342857142857143,0.4910778838951283,0.6519348268839105,0.9461345503774921,,0.9141312751685066
VGT,0.5556308899198131,0.16857142857142865,0.7334410665466293,0.18961303462321794,0.8265870391049259,0.1,0.5784107070419434
IJH,0.42428661023797876,0.12285714285714289,0.4451599011335592,0.3688391038696538,0.9332191487180039,0.812106192751619,0.3997400071459082
VIG,0.19864177693791624,0.11142857142857145,0.4930377309387364,0.42790224032586566,0.6711125867077281,0.768706272163424,0.6278361061785241
IJR,0.5220354543464999,0.1342857142857143,0.40218305945981014,0.3627291242362526,0.8354334173769185,0.9048331667510988,0.6387084173962567
VO,0.29844991799516063,0.1,0.46029046851917654,0.4075356415478615,0.7665800390816104,1.0,0.35418306957052026
XLK,0.5327360613535058,0.1571428571428572,0.7060032079361167,0.21608961303462323,0.9951661007410815,0.1,0.1
SCHD,0.23013867906603538,0.1342857142857143,0.4449570638171577,0.8006109979633401,0.9897505115124483,0.8583402932760109,0.5521071026566123
RSP,0.26812550368108756,0.2942857142857145,0.43600481144733416,0.4299389002036661,0.9183444454346226,1.0,0.1775201012247442
ITOT,0.3112255899343073,0.1,0.6032332146410169,0.33014256619144605,0.7187125744944306,0.7232977805769679,0.5945460602136788
EFA,0.22528899104235955,0.4314285714285717,0.50838209982002,0.7822810590631365,0.9651609214627097,,0.5509117480342036
VYM,0.19738943330023329,0.11142857142857145,0.5315220001586761,0.5826883910386966,0.652727574514117,0.9832906608979011,0.5527918203529435
IWM,0.5243948407886929,0.28285714285714303,0.4694482992502177,0.3077393075356416,0.9707621128501813,0.8489135643577913,0.1888643647529423
VB,0.45831156004188467,0.1,0.4719728015259702,0.3729124236252547,0.6071702833391891,0.8667688979558307,0.8015029510451562
IWD,0.22164189820955255,0.2714285714285716,0.5012526422529928,0.4401221995926681,0.7163661369898195,1.0,0.7105148008951191
VT,0.2502250169446832,0.1342857142857143,0.5766944187302294,0.4706720977596742,0.7105524680271249,0.7410668565247751,0.6158670861081934
IVW,0.40752875783317627,0.2714285714285716,0.7096104229142821,0.18757637474541752,0.7246196505693818,0.39620877089694273,0.13168656864773093
SCHX,0.3012496539040118,0.1,0.6146140327180247,0.33828920570264764,0.9063883279774845,0.7170132946314881,0.11413535854459882
VEU,0.2155209896189867,0.11142857142857145,0.5445858197528523,0.6967413441955195,0.7131515634536105,,0.34710185068275656
