Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001981.0610040035,1002128.7513937383,1004449.4037458095,1001523.2160155396,1002957.6316560275
2019-07-03,1008938.893818739,1010616.6744792594,1012266.3871052157,1008058.9558490778,1010704.3115044496
2019-07-05,1005898.7133773578,1009339.3174266968,1011054.5035655757,1004175.0083148301,1009462.4299109117
2019-07-08,998927.8687601786,1004439.6127387984,1006289.8942805165,999498.5259374381,1004463.1110298565
2019-07-09,999441.6022606702,1005285.8301539073,1009424.2281538051,997987.8096862703,1005763.2637623827
2019-07-10,1004476.9131645383,1008368.7931987508,1014324.5362659415,1002940.6229096233,1010489.5899780669
2019-07-11,1005892.06143284,1009355.7471488367,1016797.1977618559,1003540.6917643321,1012563.5490063091
2019-07-12,1010665.7148857686,1014163.5142798249,1020836.4594256354,1007042.6708266543,1017584.7646789736
2019-07-15,1011266.830985849,1013822.376137187,1022577.4619380024,1007379.2504217598,1017890.8075037067
2019-07-16,1006448.0639462041,1011203.6477094217,1016446.6527541507,1004022.1898515204,1014623.1814637069
2019-07-17,1003592.6002377546,1006031.565839128,1014860.6250480165,999345.7753112578,1007818.4693281696
2019-07-18,1008085.0706858166,1010223.0977500058,1020953.8690416453,1003507.5610146318,1011550.3453667591
2019-07-19,1003847.6107717212,1004553.749076539,1013075.95868214,999622.5395260626,1006182.4682979155
2019-07-22,1008672.3186711436,1005066.1141003534,1017892.335269416,1000749.7667350012,1008661.2846944189
2019-07-23,1014782.077700641,1011774.518411423,1021438.309413287,1007285.498220667,1015634.9275771725
2019-07-24,1020786.4455991059,1018156.3473056679,1028051.3683462855,1010656.0493606594,1020362.133448253
2019-07-25,1012168.5427301241,1012872.8778887219,1022138.5439454996,1003473.7575884894,1015436.4915795578
2019-07-26,1018536.8123440493,1019741.2777165483,1028910.1675603022,1008558.676284858,1022741.771971729
2019-07-29,1016712.5605292049,1018082.1590640066,1027854.3333172336,1007707.9788073244,1020948.1531821615
2019-07-30,1011695.2111741911,1017370.6488807814,1022666.9034053993,1001976.7986296478,1018527.8650361795
2019-07-31,1001175.9564448015,1006807.4991160558,1012180.5006206185,992947.5491112627,1007044.8453783348
2019-08-01,994448.0298098185,997737.9177257117,1007906.8345869341,985104.283556288,998656.0088797505
2019-08-02,982689.4258448005,990954.1287478463,996338.4559161538,976074.0360536465,991408.6252349268
2019-08-05,951196.024877747,963418.8218812285,964732.7180153257,948970.9019110308,962240.7295409843
2019-08-06,961783.7221092649,974954.2833789181,978334.8267226653,959592.2213045403,974664.5270391742
2019-08-07,966562.5401557239,977188.9281884911,982860.7095855272,962431.5527942708,975373.7682855716
2019-08-08,984174.8841748732,995005.0144598971,1002658.4531772718,977406.1228599185,994429.0913565776
2019-08-09,975270.6198399246,988037.3636597948,995951.1159679863,969957.9445650717,987550.3828476062
2019-08-12,964211.5846927725,976921.9483605865,984676.6327394709,959871.1262173532,976028.8820286042
2019-08-13,979195.8867883736,989130.592479383,999854.44210473,972075.8003669367,991179.5355008496
2019-08-14,951711.167844765,962521.8187389231,974531.2172027782,943785.1813088448,961422.4680522132
2019-08-15,952198.7688371714,965067.3529866488,977473.4761408829,947282.8941130873,964488.5878213887
2019-08-16,967178.5182876989,979505.3537915768,991206.4030787431,960410.2610566576,978643.8446828936
2019-08-19,976717.1913675049,989924.7195472762,1002276.7778296126,968657.6354547989,990700.4459053698
2019-08-20,972558.8283444935,982851.2300433363,997804.0844943457,963451.3402377183,983084.2107763714
2019-08-21,981884.8695143042,990530.3685962403,1007301.1697035603,971567.4986561984,991087.8222670234
2019-08-22,979692.285918658,990895.3525252495,1006486.3751023363,969658.4762756496,990766.218401863
2019-08-23,957376.8619408668,966940.4736725272,981164.4079543268,949810.0085641559,965429.8264559704
2019-08-26,966806.9739907263,976341.0894113415,992256.3152112867,959112.3854002532,976159.0625969507
2019-08-27,963882.1057851666,971647.419944404,990742.6658283069,956147.4637029236,972373.569895503
2019-08-28,966468.0307586693,978473.0276276136,992619.917953635,961096.6717505855,979161.434976151
2019-08-29,979370.7911249312,989932.662106261,1005720.6512398397,971850.8426269577,991917.3811130516
2019-08-30,980799.6608837423,990613.6311955942,1005162.3375432161,973635.35444876,991558.8026556891
2019-09-03,972448.8341432656,985601.7641570295,1000656.4586024976,968560.97243865,986116.2854391389
2019-09-04,986324.2517267988,995789.7533971819,1011688.3980083823,980502.0198633422,996699.0432212487
2019-09-05,1000015.9239361646,1006719.1126760927,1022825.1367637394,991653.6966263085,1009898.259738229
2019-09-06,1000315.0762351729,1007619.6853395199,1021346.0730468992,993439.6184044542,1010682.9334047465
2019-09-09,998402.8815317489,1008870.7807745634,1014437.4785987469,994302.6822850731,1010988.2524766879
2019-09-10,998102.8824302994,1010744.9597088825,1011355.6478186906,994769.6787943908,1011257.0190634528
2019-09-11,1007127.6793277755,1019631.8156148844,1020528.2347118071,1001832.697138011,1018561.9069588395
2019-09-12,1011510.8058742126,1022135.6260714058,1024544.0200452376,1006389.4334648524,1021594.6791823611
2019-09-13,1010958.9484677053,1020819.4742839148,1019644.6182010504,1008440.6306348217,1021384.4258799058
2019-09-16,1008202.6875411386,1019495.9539957059,1019456.720237163,1004819.8830718506,1018080.117891941
2019-09-17,1011246.0484822551,1021725.8584969916,1024671.174563481,1006870.8409258806,1020891.2924529011
2019-09-18,1010116.5338025244,1021349.6997104409,1025533.9109183,1006151.6106488566,1021565.3405146578
2019-09-19,1011983.1426443232,1020682.8728701118,1027349.3414415092,1006883.663453477,1021392.6380520738
2019-09-20,1006053.1845491076,1017406.0385961486,1022608.0317747447,1003658.3296191043,1015988.1896582243
2019-09-23,1006360.9977655568,1018230.9953517825,1023331.6035340755,1003466.86370462,1016736.063038938
2019-09-24,998136.9066894265,1011211.063006233,1017421.971614966,996971.9170930843,1008384.2915504815
2019-09-25,1003182.886392122,1016678.0298064954,1024319.2386357477,999166.1751126206,1014583.9837085194
2019-09-26,1003191.6972094177,1014900.2311091757,1024637.9141314352,999635.8855915212,1012636.6513199628
2019-09-27,994224.4219496634,1009975.8254704209,1014843.4184591264,993472.559815736,1007020.8617710382
2019-09-30,1000537.064065869,1014986.7058517844,1021974.9371504339,997125.7430004172,1012028.4252355084
2019-10-01,989850.9888190567,1002288.5666478744,1013252.2204673502,986583.7213130671,999935.0525176544
2019-10-02,974344.5626686384,987164.9080483328,998015.6672678803,970469.0891963135,982399.3889441029
2019-10-03,983204.1665929314,994224.4656378708,1004091.9653303685,977968.3160483422,990219.081212879
2019-10-04,995280.9604994977,1006192.3931206217,1018548.5835811467,988386.9283377217,1003961.5555972904
2019-10-07,992307.3632441951,1002106.8763711292,1014280.7213159142,985273.9577183187,999715.0537421863
2019-10-08,978179.8958668002,987888.2286002442,1001867.8838637582,972475.627646308,984289.40687864
2019-10-09,987621.4476645329,995048.9393686611,1009157.1563194275,980638.2855547726,993478.7033872897
2019-10-10,993590.7813107372,1000641.1095267645,1012620.6474939646,987475.4346408176,1000262.3901946924
2019-10-11,1005445.4129381564,1010845.2848504941,1016352.5378542921,1000680.5145517896,1010710.9583476124
2019-10-14,1003815.3277879803,1008820.4602665573,1013577.5576438442,998231.5395641349,1009832.9480961857
2019-10-15,1014900.8852391433,1016291.8636781992,1017919.8959341537,1008651.6950222929,1019615.7021534836
2019-10-16,1013034.2459620675,1015172.3344378764,1017373.6240687441,1008193.493575526,1018071.9709255282
2019-10-17,1016623.5937149307,1019674.2729083551,1020414.150510519,1011051.9595294176,1020859.1138968214
2019-10-18,1011190.6841703721,1018895.0497351809,1019949.7770336745,1008073.5064093452,1016724.2673770089
2019-10-21,1017030.176982694,1025136.8888801049,1023940.9699397812,1015177.415083224,1023842.1046673435
2019-10-22,1011032.5117428568,1023920.0535080517,1020762.2609533725,1012463.832912719,1020299.5923835264
2019-10-23,1014084.5484274391,1026297.2769544289,1023810.0204604403,1015455.7442068198,1023346.2723430333
2019-10-24,1019212.3862944269,1026745.3224276269,1026635.5200612047,1017651.1132132532,1025060.1347329299
2019-10-25,1023182.9113806721,1028423.5749373313,1023716.5364220488,1021571.6828082607,1029365.3075526567
2019-10-28,1029863.5980063218,1031460.4137789172,1021723.08143514,1027084.3041913353,1035372.8999724503
2019-10-29,1028080.7667658777,1033104.7967571944,1023132.1583326522,1026229.6453137834,1034755.6571190218
2019-10-30,1032319.7353819261,1035475.2585721964,1028971.27775339,1029487.4543239345,1038431.8954572034
2019-10-31,1029290.4318241286,1031364.9674668148,1028602.4375814094,1026509.8232193836,1035149.1232731325
2019-11-01,1039089.333797772,1040247.8077981919,1030940.0976447066,1036666.5606388719,1045006.9823195396
2019-11-04,1042001.7318269399,1042651.2596641681,1026321.4844456803,1041649.8082805994,1049202.0189466577
2019-11-05,1040398.9213121115,1040755.6591641249,1020761.6208075557,1041857.2802897556,1047918.5954234524
2019-11-06,1040195.8588815622,1040680.5569749313,1023897.7302707145,1041799.3699900338,1048523.3276390964
2019-11-07,1043172.8478573791,1041634.3630338574,1020452.1761973324,1045190.851779655,1052274.3281938646
2019-11-08,1045140.3031269915,1043129.9767241939,1020067.104027913,1046062.0430598542,1054877.6101138198
2019-11-11,1044380.8074903071,1041146.4512001644,1017059.8015534511,1043483.6591922834,1052891.4321856997
2019-11-12,1046650.8293094238,1041366.2888859914,1019423.5830869173,1044354.2543826847,1055013.7296070126
2019-11-13,1047194.0812324149,1042651.16382814,1026284.5517852989,1042571.9120221902,1055507.4716758032
2019-11-14,1048929.4086481296,1044519.2211092481,1029133.0959735526,1042912.1087116901,1056964.124708069
2019-11-15,1057213.8611484633,1051430.5522223134,1034484.6180845991,1050283.939348701,1064860.9574151554
2019-11-18,1058223.3625317053,1051904.9006343212,1036146.9261608291,1050757.14718126,1065577.2861757614
2019-11-19,1060003.9653522605,1051637.8731265846,1036642.9633694676,1051098.149754504,1065109.37517993
2019-11-20,1056525.229835149,1049101.0699092154,1037047.4758642955,1045999.3306451278,1061420.635617822
2019-11-21,1053936.180012808,1045857.8662161281,1034345.5528997963,1044879.976835505,1059841.7554392524
2019-11-22,1055486.5536733328,1047973.8540282148,1035090.4820356182,1047210.5158791345,1062223.7408172663
2019-11-25,1065613.4184991224,1055572.5412161066,1038535.0163029456,1055245.8731451654,1070306.3095167526
2019-11-26,1068527.6460416163,1059003.9794907018,1043107.8904184852,1056250.3060264178,1072503.407153204
2019-11-27,1073636.2485701186,1063687.3227925012,1046725.3711782871,1060571.511711204,1077588.0303228819
2019-11-29,1068098.3410452132,1059017.040295883,1044419.9706693989,1054146.5001787443,1073530.2326947812
2019-12-02,1058404.7041417893,1050690.5887948452,1036628.5060051674,1046792.8404307066,1064881.7885426185
2019-12-03,1053798.1268066757,1046062.8654268183,1034283.9288085275,1041428.1594143225,1057491.206206378
2019-12-04,1060002.2101292892,1053020.2931334565,1040834.5481305907,1049330.4858767109,1064278.0147239005
2019-12-05,1061029.1008093997,1054512.0508569872,1042269.8208463982,1050334.2278606906,1066289.8100041258
2019-12-06,1070238.647250298,1062391.8614973484,1046372.5825186397,1059696.9576121215,1075778.8271067014
2019-12-09,1065832.843062821,1059691.4675045668,1043299.3106152087,1056190.352685192,1072572.0702662542
2019-12-10,1064538.8639395367,1058227.988449828,1042366.0408310217,1055337.2924543852,1071622.8245598415
2019-12-11,1068486.8803058877,1059277.0868223822,1044865.2882118133,1059924.2369896483,1074449.5952544375
2019-12-12,1075806.5550637601,1065923.4466376884,1048212.4654825191,1069684.8014341386,1083902.1120619453
2019-12-13,1078501.9260955951,1065206.6352183507,1052047.098425882,1071618.6213295404,1084360.1679241958
2019-12-16,1087703.5454038982,1072851.3348796398,1061078.6502970431,1080717.1170565477,1092036.2427885088
