Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,1001912.6415385273,1002057.6585976455,1004403.7053521586,1001450.9937933173,1002910.4094338053
2019-07-03,1008801.9200097164,1010474.3260300627,1012174.6700688404,1007914.4066106372,1010609.7296240041
2019-07-05,1005692.7545720553,1009125.1147305978,1010916.4228759216,1003957.6652581342,1009320.1247932339
2019-07-08,998653.2938978885,1004153.6685045337,1006105.4934602937,999208.6748271403,1004273.1435729524
2019-07-09,999098.8628927057,1004928.4544152692,1009193.6293875541,997625.7935050128,1005525.872295921
2019-07-10,1004066.1790139652,1007940.0222374913,1014047.6456887668,1002506.5559766126,1010204.7153454134
2019-07-11,1005413.0765107308,1008855.3974650544,1016473.8564231329,1003034.2215800565,1012230.9702620977
2019-07-12,1010118.43920205,1013591.5376010798,1020466.588593098,1006463.7592819312,1017204.3861389442
2019-07-15,1010651.1278908477,1013178.4530289277,1022161.0479821975,1006727.6498277552,1017462.3943121097
2019-07-16,1005763.9268483781,1010487.8033814487,1015983.6001179855,1003297.8811494727,1014146.7214368229
2019-07-17,1002840.2744898259,1005243.9737507501,1014351.1732806157,998549.0062066827,1007294.11903944
2019-07-18,1007264.7008878012,1009364.1447717068,1020398.0398694471,1002638.6744818306,1010978.428411297
2019-07-19,1002958.9731803559,1003623.1090353278,1012473.455527803,998681.2402001043,1005562.8106944452
2019-07-22,1007715.614262694,1004064.170380981,1017243.6131733503,999736.3404305842,1007994.1421804435
2019-07-23,1013757.1668110905,1010701.3253985343,1020743.3000409838,1006199.8687361077,1014920.1853398164
2019-07-24,1019692.9257602857,1017011.4290744138,1027310.0341982236,1009497.7498855803,1019599.464424367
2019-07-25,1011006.2433487864,1011655.8228916945,1021350.6886842584,1002242.5499425852,1014625.674803185
2019-07-26,1017306.3887305936,1018452.4214201592,1028075.9942053119,1007255.0844547913,1021883.0423162683
2019-07-29,1015413.7080677835,1016721.0792918453,1026973.5814342268,1006331.6407767137,1020041.1679385914
2019-07-30,1010327.9934406898,1015937.4124133296,1021739.5325978908,1000527.7810916477,1017572.7111819013
2019-07-31,999740.8802849326,1005302.1749671773,1011206.7625815953,991426.271233517,1006041.6394793618
2019-08-01,992945.6198262769,996161.2492024142,1006887.1061521935,983511.4026700644,997605.2954589132
2019-08-02,981120.1179794347,989306.7790625443,995272.7665715009,974410.1237883411,990310.8026751373
2019-08-05,949560.387627566,961701.1764386867,963621.3656072717,947236.6155812296,961096.1423044017
2019-08-06,960083.5665612516,973168.1982872806,977178.9444618426,957789.5234413915,973474.5547069829
2019-08-07,964797.3540799777,975333.6832222308,981659.708511903,960559.681243318,974137.8263216303
2019-08-08,982344.367916684,993080.4924901081,1001412.1969960674,975464.8775542092,993147.1484397266
2019-08-09,973373.9184084259,986042.4026379194,994658.8710085001,967946.2490182058,986221.5413154123
2019-08-12,962249.1971523877,974857.0306149803,983338.5602598697,957789.5234413914,974653.4689236259
2019-08-13,977168.4572183979,986996.4580780198,998470.9204624556,969925.0239031708,989758.0970931721
2019-08-14,949617.9922673333,960317.6805826802,973101.8111667174,941564.3547044637,959954.2910677285
2019-08-15,950041.5794208774,962795.0500304103,975999.1035200862,944994.0656386443,962975.0796620481
2019-08-16,964957.2141099275,977164.7153390947,989686.7679303683,958053.1830108074,977084.8627003467
2019-08-19,974430.8944982433,987514.7494416884,1000711.390567605,966231.3646790645,989095.3238043066
2019-08-20,970207.1085175177,980371.202684732,996192.5184056737,960955.286085646,981432.3813961284
2019-08-21,979467.9652257335,987980.8274753424,1005643.6066479052,969002.0421779087,989389.64746877
2019-08-22,977209.6391333486,988275.7802919922,1004782.437736364,967023.036316536,989021.3224258126
